A,B
"(3.193, 3.424]","(1.714, 2.244]"
"(3.067, 3.193]","(1.522, 1.714]"
"(3.067, 3.193]","(1.714, 2.244]"
"(3.719, 3.98]","(2.244, 7.237]"
"(3.193, 3.424]","(1.714, 2.244]"
"(3.193, 3.424]","(1.714, 2.244]"
"(3.067, 3.193]","(1.394, 1.522]"
"(3.193, 3.424]","(1.714, 2.244]"
"(2.9, 3.067]","(1.394, 1.522]"
"(3.193, 3.424]","(1.714, 2.244]"
"(3.424, 3.719]","(1.714, 2.244]"
"(3.067, 3.193]","(1.522, 1.714]"
"(3.193, 3.424]","(1.714, 2.244]"
"(3.193, 3.424]","(2.244, 7.237]"
"(2.9, 3.067]","(1.135, 1.249]"
"(3.067, 3.193]","(1.394, 1.522]"
"(2.762, 2.9]","(1.249, 1.394]"
"(3.067, 3.193]","(1.394, 1.522]"
"(2.9, 3.067]","(1.522, 1.714]"
"(2.9, 3.067]","(1.249, 1.394]"
"(3.067, 3.193]","(1.394, 1.522]"
"(3.424, 3.719]","(1.394, 1.522]"
"(2.762, 2.9]","(1.394, 1.522]"
"(2.762, 2.9]","(1.394, 1.522]"
"(2.762, 2.9]","(1.522, 1.714]"
"(2.513, 2.613]","(1.522, 1.714]"
"(2.253, 2.376]","(1.249, 1.394]"
"(2.253, 2.376]","(0.935, 1.008]"
"(2.253, 2.376]","(0.935, 1.008]"
"(2.253, 2.376]","(0.935, 1.008]"
"(2.762, 2.9]","(1.249, 1.394]"
"(2.9, 3.067]","(1.522, 1.714]"
"(2.762, 2.9]","(1.394, 1.522]"
"(2.762, 2.9]","(1.522, 1.714]"
"(2.513, 2.613]","(1.249, 1.394]"
"(2.613, 2.762]","(1.249, 1.394]"
"(2.613, 2.762]","(1.522, 1.714]"
"(2.613, 2.762]","(1.249, 1.394]"
"(2.613, 2.762]","(1.249, 1.394]"
"(2.513, 2.613]","(1.135, 1.249]"
"(2.613, 2.762]","(1.135, 1.249]"
"(2.762, 2.9]","(1.008, 1.135]"
"(3.193, 3.424]","(1.714, 2.244]"
"(2.613, 2.762]","(1.008, 1.135]"
"(2.513, 2.613]","(1.008, 1.135]"
"(2.613, 2.762]","(1.008, 1.135]"
"(2.513, 2.613]","(0.824, 0.935]"
"(2.613, 2.762]","(0.824, 0.935]"
"(2.613, 2.762]","(0.935, 1.008]"
"(2.513, 2.613]","(0.692, 0.824]"
"(2.762, 2.9]","(1.008, 1.135]"
"(2.9, 3.067]","(1.135, 1.249]"
