A,B,C,D,E
1,0,0,0,2
2,3,3,4,234
1,1,0,2,83
1,1,1,2,117
0,2,1,2,92
0,3,1,3,140
2,1,0,2,100
0,1,1,2,100
2,3,0,4,179
3,3,0,4,191
1,2,3,3,208
2,3,0,4,169
0,1,1,1,55
2,1,0,3,112
0,1,1,1,83
1,3,1,3,166
0,0,2,0,29
1,3,3,4,231
1,3,0,4,228
0,3,1,3,134
1,1,1,2,95
0,1,0,0,23
1,2,0,2,105
2,3,3,4,241
0,3,1,3,128
3,2,1,4,211
1,3,1,3,159
2,1,0,2,111
3,1,0,4,190
0,1,1,1,58
1,1,3,2,153
1,2,1,2,128
0,1,1,1,82
3,1,1,3,172
1,3,1,4,201
3,2,3,4,238
1,1,1,2,115
2,1,1,3,138
1,0,3,2,105
1,0,1,2,99
2,1,2,2,131
2,0,1,1,62
0,2,0,1,58
0,3,0,3,153
1,3,3,4,219
1,2,1,3,163
0,2,1,2,94
1,3,1,3,151
3,1,1,3,135
0,3,0,2,70
1,0,1,0,50
3,2,0,3,160
1,1,0,1,56
0,1,0,2,60
2,2,3,3,198
1,1,1,3,133
2,0,2,1,77
0,3,1,3,190
1,2,1,3,140
1,1,0,2,92
1,2,1,2,135
1,1,1,1,57
1,1,3,3,221
3,2,3,4,227
1,1,1,2,86
1,0,0,1,43
2,1,0,2,105
1,0,2,2,99
1,0,0,1,55
2,2,1,3,149
3,2,3,4,227
2,3,1,4,202
1,3,1,3,143
3,3,0,4,187
3,3,0,4,188
3,2,0,4,196
0,3,1,4,218
1,0,1,2,102
3,2,0,4,198
3,2,1,3,183
1,1,3,2,160
1,2,1,2,114
0,2,0,2,90
1,1,0,1,61
1,3,0,3,121
2,1,0,2,81
1,2,3,3,158
1,2,3,3,152
1,1,0,2,56
1,1,2,2,143
1,0,0,0,28
0,0,0,0,9
1,1,1,2,117
1,0,0,1,54
1,0,1,1,79
0,1,0,2,71
2,3,0,4,209
2,1,0,2,101
0,0,2,0,15
3,1,1,3,133
1,3,3,4,266
2,0,1,2,137
2,1,1,3,139
2,0,1,2,104
0,1,2,2,103
3,3,2,4,267
1,2,1,3,143
1,1,2,2,110
2,1,1,3,156
0,3,3,3,171
3,1,3,3,205
1,2,1,2,118
1,3,1,3,191
3,2,2,4,234
0,1,1,0,45
0,2,1,2,86
2,1,0,2,89
0,2,1,2,137
0,3,1,3,134
1,1,0,3,117
2,1,0,2,103
1,3,2,4,218
2,2,2,3,183
0,2,3,3,158
3,1,0,3,170
0,3,2,2,146
1,3,3,4,243
3,1,1,4,204
1,1,3,2,141
3,3,3,3,188
0,1,1,1,85
0,3,0,3,102
0,1,0,1,32
1,1,3,2,102
3,1,2,3,182
2,0,3,2,109
2,1,1,3,132
3,3,3,4,273
2,3,0,4,262
1,1,1,2,104
2,1,1,2,112
3,3,1,4,235
1,1,0,2,93
2,3,3,4,230
1,1,0,1,55
1,2,0,3,116
3,3,1,4,254
1,0,0,1,51
2,1,3,2,120
1,1,0,2,75
1,2,3,3,166
0,1,2,1,65
1,0,2,2,105
1,0,1,0,24
3,1,3,3,182
1,1,0,2,98
3,2,1,3,184
3,2,1,4,187
2,2,1,3,164
1,0,1,1,70
2,0,1,0,35
2,1,0,3,159
1,1,1,2,104
3,2,1,4,210
3,3,0,4,241
1,1,0,2,110
1,1,2,2,136
3,1,1,3,165
0,3,1,3,173
1,1,1,2,118
0,1,3,1,75
1,0,1,2,104
3,0,2,2,88
2,1,1,3,162
1,3,0,4,195
2,1,0,3,136
3,1,0,3,100
1,1,0,2,110
2,1,2,2,99
2,0,1,0,29
1,0,1,1,53
1,1,3,2,99
0,3,1,3,166
0,3,0,3,106
1,2,0,3,138
2,0,1,1,61
2,0,3,2,113
3,3,0,4,224
1,1,1,2,100
2,1,1,3,141
0,2,0,2,107
3,1,1,3,147
1,1,1,2,109
3,0,1,1,65
1,3,0,4,202
0,0,2,0,22
2,1,0,2,72
2,3,3,4,274
0,3,0,3,112
0,3,1,4,216
2,3,1,4,214
2,1,0,3,98
3,2,0,4,140
3,2,1,4,200
1,3,3,3,195
0,2,0,1,55
1,3,1,3,153
1,1,1,2,121
1,3,0,3,167
3,2,0,3,173
0,1,0,2,83
3,2,0,4,186
3,1,3,4,222
1,3,2,4,244
1,1,2,2,89
2,2,0,3,161
3,0,1,0,49
1,2,1,2,119
1,0,1,2,85
0,1,2,1,61
2,3,2,4,259
1,0,1,0,44
1,3,1,3,173
1,3,1,4,194
2,2,3,3,195
1,3,1,3,178
0,1,2,1,64
1,3,1,4,270
3,1,0,3,124
