A,B
"(-0.001, 22.0]","(61.075, 82.6]"
"(-0.001, 22.0]","(61.075, 82.6]"
"(116.0, 142.95]","(38.35, 41.37]"
"(116.0, 142.95]","(38.35, 41.37]"
"(116.0, 142.95]","(41.37, 46.135]"
"(93.8, 116.0]","(46.135, 52.825]"
"(93.8, 116.0]","(41.37, 46.135]"
"(93.8, 116.0]","(34.445, 38.35]"
"(93.8, 116.0]","(41.37, 46.135]"
"(-0.001, 22.0]","(38.35, 41.37]"
"(116.0, 142.95]","(34.445, 38.35]"
"(116.0, 142.95]","(26.97, 31.615]"
"(22.0, 93.8]","(41.37, 46.135]"
"(177.5, 203.5]","(41.37, 46.135]"
"(22.0, 93.8]","(46.135, 52.825]"
"(-0.001, 22.0]","(52.825, 61.075]"
"(203.5, 359.4]","(38.35, 41.37]"
"(22.0, 93.8]","(52.825, 61.075]"
"(93.8, 116.0]","(38.35, 41.37]"
"(-0.001, 22.0]","(41.37, 46.135]"
"(22.0, 93.8]","(41.37, 46.135]"
"(203.5, 359.4]","(26.97, 31.615]"
"(203.5, 359.4]","(2.329, 13.272]"
"(203.5, 359.4]","(41.37, 46.135]"
"(-0.001, 22.0]","(46.135, 52.825]"
"(-0.001, 22.0]","(52.825, 61.075]"
"(93.8, 116.0]","(38.35, 41.37]"
"(22.0, 93.8]","(46.135, 52.825]"
"(22.0, 93.8]","(34.445, 38.35]"
"(-0.001, 22.0]","(38.35, 41.37]"
"(22.0, 93.8]","(52.825, 61.075]"
"(93.8, 116.0]","(52.825, 61.075]"
"(116.0, 142.95]","(41.37, 46.135]"
"(-0.001, 22.0]","(41.37, 46.135]"
"(177.5, 203.5]","(52.825, 61.075]"
"(203.5, 359.4]","(38.35, 41.37]"
"(203.5, 359.4]","(26.97, 31.615]"
"(116.0, 142.95]","(34.445, 38.35]"
"(-0.001, 22.0]","(41.37, 46.135]"
"(203.5, 359.4]","(34.445, 38.35]"
"(22.0, 93.8]","(46.135, 52.825]"
"(22.0, 93.8]","(41.37, 46.135]"
"(203.5, 359.4]","(38.35, 41.37]"
"(-0.001, 22.0]","(52.825, 61.075]"
"(22.0, 93.8]","(41.37, 46.135]"
"(22.0, 93.8]","(34.445, 38.35]"
"(-0.001, 22.0]","(13.272, 18.08]"
"(93.8, 116.0]","(38.35, 41.37]"
"(203.5, 359.4]","(23.71, 26.97]"
"(93.8, 116.0]","(31.615, 34.445]"
"(116.0, 142.95]","(38.35, 41.37]"
"(177.5, 203.5]","(46.135, 52.825]"
"(203.5, 359.4]","(31.615, 34.445]"
"(22.0, 93.8]","(46.135, 52.825]"
"(203.5, 359.4]","(13.272, 18.08]"
"(116.0, 142.95]","(13.272, 18.08]"
"(-0.001, 22.0]","(41.37, 46.135]"
"(116.0, 142.95]","(2.329, 13.272]"
"(22.0, 93.8]","(46.135, 52.825]"
"(116.0, 142.95]","(31.615, 34.445]"
"(22.0, 93.8]","(52.825, 61.075]"
"(93.8, 116.0]","(46.135, 52.825]"
"(-0.001, 22.0]","(2.329, 13.272]"
"(177.5, 203.5]","(46.135, 52.825]"
"(93.8, 116.0]","(46.135, 52.825]"
"(22.0, 93.8]","(52.825, 61.075]"
"(203.5, 359.4]","(41.37, 46.135]"
"(116.0, 142.95]","(26.97, 31.615]"
"(177.5, 203.5]","(38.35, 41.37]"
"(-0.001, 22.0]","(61.075, 82.6]"
"(177.5, 203.5]","(31.615, 34.445]"
"(203.5, 359.4]","(26.97, 31.615]"
"(93.8, 116.0]","(31.615, 34.445]"
"(93.8, 116.0]","(34.445, 38.35]"
"(22.0, 93.8]","(26.97, 31.615]"
"(116.0, 142.95]","(34.445, 38.35]"
"(116.0, 142.95]","(38.35, 41.37]"
"(93.8, 116.0]","(31.615, 34.445]"
"(93.8, 116.0]","(26.97, 31.615]"
"(-0.001, 22.0]","(38.35, 41.37]"
"(93.8, 116.0]","(31.615, 34.445]"
"(203.5, 359.4]","(23.71, 26.97]"
"(93.8, 116.0]","(38.35, 41.37]"
"(177.5, 203.5]","(34.445, 38.35]"
"(203.5, 359.4]","(26.97, 31.615]"
"(142.95, 177.5]","(26.97, 31.615]"
"(177.5, 203.5]","(34.445, 38.35]"
"(177.5, 203.5]","(23.71, 26.97]"
"(177.5, 203.5]","(34.445, 38.35]"
"(142.95, 177.5]","(38.35, 41.37]"
"(177.5, 203.5]","(38.35, 41.37]"
"(177.5, 203.5]","(34.445, 38.35]"
"(177.5, 203.5]","(23.71, 26.97]"
"(177.5, 203.5]","(46.135, 52.825]"
"(203.5, 359.4]","(41.37, 46.135]"
"(93.8, 116.0]","(46.135, 52.825]"
"(93.8, 116.0]","(46.135, 52.825]"
"(22.0, 93.8]","(41.37, 46.135]"
"(116.0, 142.95]","(52.825, 61.075]"
"(116.0, 142.95]","(52.825, 61.075]"
"(93.8, 116.0]","(46.135, 52.825]"
"(93.8, 116.0]","(34.445, 38.35]"
"(-0.001, 22.0]","(46.135, 52.825]"
"(93.8, 116.0]","(46.135, 52.825]"
"(203.5, 359.4]","(31.615, 34.445]"
"(93.8, 116.0]","(52.825, 61.075]"
"(177.5, 203.5]","(52.825, 61.075]"
"(203.5, 359.4]","(46.135, 52.825]"
"(142.95, 177.5]","(46.135, 52.825]"
"(177.5, 203.5]","(52.825, 61.075]"
"(177.5, 203.5]","(34.445, 38.35]"
"(177.5, 203.5]","(52.825, 61.075]"
"(142.95, 177.5]","(52.825, 61.075]"
"(177.5, 203.5]","(52.825, 61.075]"
"(177.5, 203.5]","(18.08, 23.71]"
"(177.5, 203.5]","(34.445, 38.35]"
"(177.5, 203.5]","(61.075, 82.6]"
"(203.5, 359.4]","(52.825, 61.075]"
"(93.8, 116.0]","(52.825, 61.075]"
"(93.8, 116.0]","(61.075, 82.6]"
"(22.0, 93.8]","(52.825, 61.075]"
"(116.0, 142.95]","(61.075, 82.6]"
"(116.0, 142.95]","(61.075, 82.6]"
"(93.8, 116.0]","(52.825, 61.075]"
"(93.8, 116.0]","(46.135, 52.825]"
"(-0.001, 22.0]","(52.825, 61.075]"
"(93.8, 116.0]","(52.825, 61.075]"
"(203.5, 359.4]","(52.825, 61.075]"
"(93.8, 116.0]","(61.075, 82.6]"
"(177.5, 203.5]","(61.075, 82.6]"
"(203.5, 359.4]","(61.075, 82.6]"
"(142.95, 177.5]","(46.135, 52.825]"
"(177.5, 203.5]","(61.075, 82.6]"
"(177.5, 203.5]","(61.075, 82.6]"
"(177.5, 203.5]","(61.075, 82.6]"
"(142.95, 177.5]","(61.075, 82.6]"
"(177.5, 203.5]","(61.075, 82.6]"
"(177.5, 203.5]","(61.075, 82.6]"
"(177.5, 203.5]","(46.135, 52.825]"
"(177.5, 203.5]","(61.075, 82.6]"
"(203.5, 359.4]","(61.075, 82.6]"
"(93.8, 116.0]","(61.075, 82.6]"
"(93.8, 116.0]","(61.075, 82.6]"
"(22.0, 93.8]","(52.825, 61.075]"
"(116.0, 142.95]","(61.075, 82.6]"
"(116.0, 142.95]","(61.075, 82.6]"
"(93.8, 116.0]","(61.075, 82.6]"
"(93.8, 116.0]","(52.825, 61.075]"
"(-0.001, 22.0]","(52.825, 61.075]"
"(93.8, 116.0]","(61.075, 82.6]"
"(203.5, 359.4]","(61.075, 82.6]"
"(93.8, 116.0]","(61.075, 82.6]"
"(177.5, 203.5]","(61.075, 82.6]"
"(203.5, 359.4]","(61.075, 82.6]"
"(142.95, 177.5]","(52.825, 61.075]"
"(177.5, 203.5]","(61.075, 82.6]"
"(177.5, 203.5]","(61.075, 82.6]"
"(177.5, 203.5]","(61.075, 82.6]"
"(142.95, 177.5]","(61.075, 82.6]"
"(177.5, 203.5]","(61.075, 82.6]"
"(177.5, 203.5]","(61.075, 82.6]"
"(177.5, 203.5]","(52.825, 61.075]"
