A,B
"(-0.359, 44.925]","(72.566, 82.6]"
"(-0.359, 44.925]","(52.499, 62.532]"
"(134.775, 179.7]","(32.431, 42.465]"
"(134.775, 179.7]","(32.431, 42.465]"
"(89.85, 134.775]","(42.465, 52.499]"
"(89.85, 134.775]","(42.465, 52.499]"
"(89.85, 134.775]","(42.465, 52.499]"
"(89.85, 134.775]","(32.431, 42.465]"
"(89.85, 134.775]","(42.465, 52.499]"
"(-0.359, 44.925]","(32.431, 42.465]"
"(89.85, 134.775]","(32.431, 42.465]"
"(89.85, 134.775]","(22.398, 32.431]"
"(44.925, 89.85]","(42.465, 52.499]"
"(179.7, 224.625]","(32.431, 42.465]"
"(44.925, 89.85]","(42.465, 52.499]"
"(-0.359, 44.925]","(52.499, 62.532]"
"(179.7, 224.625]","(32.431, 42.465]"
"(-0.359, 44.925]","(52.499, 62.532]"
"(89.85, 134.775]","(32.431, 42.465]"
"(-0.359, 44.925]","(42.465, 52.499]"
"(44.925, 89.85]","(32.431, 42.465]"
"(179.7, 224.625]","(22.398, 32.431]"
"(179.7, 224.625]","(2.25, 12.364]"
"(179.7, 224.625]","(42.465, 52.499]"
"(-0.359, 44.925]","(52.499, 62.532]"
"(-0.359, 44.925]","(52.499, 62.532]"
"(89.85, 134.775]","(32.431, 42.465]"
"(-0.359, 44.925]","(42.465, 52.499]"
"(44.925, 89.85]","(32.431, 42.465]"
"(-0.359, 44.925]","(32.431, 42.465]"
"(44.925, 89.85]","(52.499, 62.532]"
"(89.85, 134.775]","(52.499, 62.532]"
"(89.85, 134.775]","(32.431, 42.465]"
"(-0.359, 44.925]","(32.431, 42.465]"
"(179.7, 224.625]","(52.499, 62.532]"
"(224.625, 269.55]","(32.431, 42.465]"
"(224.625, 269.55]","(22.398, 32.431]"
"(134.775, 179.7]","(32.431, 42.465]"
"(-0.359, 44.925]","(32.431, 42.465]"
"(224.625, 269.55]","(32.431, 42.465]"
"(-0.359, 44.925]","(42.465, 52.499]"
"(44.925, 89.85]","(42.465, 52.499]"
"(224.625, 269.55]","(32.431, 42.465]"
"(-0.359, 44.925]","(52.499, 62.532]"
"(44.925, 89.85]","(32.431, 42.465]"
"(44.925, 89.85]","(32.431, 42.465]"
"(-0.359, 44.925]","(12.364, 22.398]"
"(89.85, 134.775]","(32.431, 42.465]"
"(224.625, 269.55]","(22.398, 32.431]"
"(89.85, 134.775]","(32.431, 42.465]"
"(134.775, 179.7]","(32.431, 42.465]"
"(179.7, 224.625]","(42.465, 52.499]"
"(224.625, 269.55]","(32.431, 42.465]"
"(44.925, 89.85]","(42.465, 52.499]"
"(179.7, 224.625]","(12.364, 22.398]"
"(89.85, 134.775]","(12.364, 22.398]"
"(-0.359, 44.925]","(32.431, 42.465]"
"(89.85, 134.775]","(2.25, 12.364]"
"(44.925, 89.85]","(42.465, 52.499]"
"(134.775, 179.7]","(32.431, 42.465]"
"(44.925, 89.85]","(52.499, 62.532]"
"(89.85, 134.775]","(42.465, 52.499]"
"(-0.359, 44.925]","(2.25, 12.364]"
"(179.7, 224.625]","(42.465, 52.499]"
"(89.85, 134.775]","(42.465, 52.499]"
"(-0.359, 44.925]","(52.499, 62.532]"
"(179.7, 224.625]","(42.465, 52.499]"
"(134.775, 179.7]","(22.398, 32.431]"
"(179.7, 224.625]","(32.431, 42.465]"
"(-0.359, 44.925]","(62.532, 72.566]"
"(179.7, 224.625]","(32.431, 42.465]"
"(224.625, 269.55]","(22.398, 32.431]"
"(89.85, 134.775]","(32.431, 42.465]"
"(89.85, 134.775]","(32.431, 42.465]"
"(89.85, 134.775]","(22.398, 32.431]"
"(89.85, 134.775]","(32.431, 42.465]"
"(89.85, 134.775]","(32.431, 42.465]"
"(89.85, 134.775]","(32.431, 42.465]"
"(89.85, 134.775]","(22.398, 32.431]"
"(-0.359, 44.925]","(32.431, 42.465]"
"(89.85, 134.775]","(32.431, 42.465]"
"(179.7, 224.625]","(22.398, 32.431]"
"(89.85, 134.775]","(32.431, 42.465]"
"(179.7, 224.625]","(32.431, 42.465]"
"(269.55, 314.475]","(22.398, 32.431]"
"(134.775, 179.7]","(22.398, 32.431]"
"(179.7, 224.625]","(32.431, 42.465]"
"(179.7, 224.625]","(22.398, 32.431]"
"(179.7, 224.625]","(32.431, 42.465]"
"(134.775, 179.7]","(32.431, 42.465]"
"(179.7, 224.625]","(32.431, 42.465]"
"(179.7, 224.625]","(32.431, 42.465]"
"(179.7, 224.625]","(22.398, 32.431]"
"(179.7, 224.625]","(42.465, 52.499]"
"(224.625, 269.55]","(42.465, 52.499]"
"(89.85, 134.775]","(42.465, 52.499]"
"(89.85, 134.775]","(42.465, 52.499]"
"(89.85, 134.775]","(42.465, 52.499]"
"(89.85, 134.775]","(52.499, 62.532]"
"(89.85, 134.775]","(52.499, 62.532]"
"(89.85, 134.775]","(42.465, 52.499]"
"(89.85, 134.775]","(32.431, 42.465]"
"(-0.359, 44.925]","(42.465, 52.499]"
"(89.85, 134.775]","(42.465, 52.499]"
"(179.7, 224.625]","(32.431, 42.465]"
"(89.85, 134.775]","(52.499, 62.532]"
"(179.7, 224.625]","(52.499, 62.532]"
"(269.55, 314.475]","(42.465, 52.499]"
"(134.775, 179.7]","(42.465, 52.499]"
"(179.7, 224.625]","(52.499, 62.532]"
"(179.7, 224.625]","(32.431, 42.465]"
"(179.7, 224.625]","(52.499, 62.532]"
"(134.775, 179.7]","(52.499, 62.532]"
"(179.7, 224.625]","(52.499, 62.532]"
"(179.7, 224.625]","(22.398, 32.431]"
"(179.7, 224.625]","(32.431, 42.465]"
"(179.7, 224.625]","(52.499, 62.532]"
"(224.625, 269.55]","(52.499, 62.532]"
"(89.85, 134.775]","(52.499, 62.532]"
"(89.85, 134.775]","(52.499, 62.532]"
"(89.85, 134.775]","(52.499, 62.532]"
"(89.85, 134.775]","(62.532, 72.566]"
"(89.85, 134.775]","(62.532, 72.566]"
"(89.85, 134.775]","(52.499, 62.532]"
"(89.85, 134.775]","(42.465, 52.499]"
"(-0.359, 44.925]","(52.499, 62.532]"
"(89.85, 134.775]","(52.499, 62.532]"
"(179.7, 224.625]","(52.499, 62.532]"
"(89.85, 134.775]","(62.532, 72.566]"
"(179.7, 224.625]","(62.532, 72.566]"
"(269.55, 314.475]","(72.566, 82.6]"
"(134.775, 179.7]","(42.465, 52.499]"
"(179.7, 224.625]","(62.532, 72.566]"
"(179.7, 224.625]","(62.532, 72.566]"
"(179.7, 224.625]","(62.532, 72.566]"
"(134.775, 179.7]","(62.532, 72.566]"
"(179.7, 224.625]","(72.566, 82.6]"
"(179.7, 224.625]","(62.532, 72.566]"
"(179.7, 224.625]","(42.465, 52.499]"
"(179.7, 224.625]","(62.532, 72.566]"
"(224.625, 269.55]","(62.532, 72.566]"
"(89.85, 134.775]","(62.532, 72.566]"
"(89.85, 134.775]","(62.532, 72.566]"
"(89.85, 134.775]","(52.499, 62.532]"
"(89.85, 134.775]","(62.532, 72.566]"
"(89.85, 134.775]","(62.532, 72.566]"
"(89.85, 134.775]","(62.532, 72.566]"
"(89.85, 134.775]","(52.499, 62.532]"
"(-0.359, 44.925]","(52.499, 62.532]"
"(89.85, 134.775]","(62.532, 72.566]"
"(179.7, 224.625]","(62.532, 72.566]"
"(89.85, 134.775]","(72.566, 82.6]"
"(179.7, 224.625]","(72.566, 82.6]"
"(269.55, 314.475]","(72.566, 82.6]"
"(134.775, 179.7]","(52.499, 62.532]"
"(179.7, 224.625]","(72.566, 82.6]"
"(179.7, 224.625]","(72.566, 82.6]"
"(179.7, 224.625]","(72.566, 82.6]"
"(134.775, 179.7]","(62.532, 72.566]"
"(179.7, 224.625]","(72.566, 82.6]"
"(179.7, 224.625]","(72.566, 82.6]"
"(179.7, 224.625]","(52.499, 62.532]"
"(179.7, 224.625]","(62.532, 72.566]"
"(224.625, 269.55]","(62.532, 72.566]"
"(89.85, 134.775]","(62.532, 72.566]"
"(89.85, 134.775]","(62.532, 72.566]"
"(89.85, 134.775]","(52.499, 62.532]"
"(89.85, 134.775]","(72.566, 82.6]"
"(89.85, 134.775]","(62.532, 72.566]"
