A,B
0,76
0,58
2,37
2,38
2,41
2,44
2,40
2,33
2,42
0,36
2,35
2,25
2,40
3,39
2,44
0,49
3,36
2,53
2,37
0,39
2,38
3,25
3,5
3,41
0,49
0,50
2,38
2,49
2,34
0,35
2,52
2,49
2,38
0,39
3,50
3,35
3,27
2,34
0,39
3,33
2,47
2,40
3,36
0,50
2,38
2,32
0,12
2,37
3,23
2,29
2,36
3,43
3,30
2,46
3,11
2,11
0,38
2,6
2,47
2,30
2,51
2,48
0,6
3,47
2,45
2,52
3,41
2,27
3,37
0,68
3,31
3,25
2,30
2,33
2,26
2,34
2,37
2,30
2,25
0,38
2,30
3,22
2,38
3,32
3,25
2,25
3,32
3,21
3,32
2,36
3,37
3,32
3,21
3,43
3,39
2,46
2,43
2,42
2,52
2,51
2,46
2,31
0,43
2,46
3,30
2,51
3,52
3,46
2,44
3,52
3,35
3,52
2,53
3,56
3,19
3,32
3,58
3,56
2,57
2,58
2,53
2,65
2,63
2,57
2,47
0,53
2,57
3,52
2,65
3,68
3,71
2,49
3,68
3,64
3,68
2,63
3,71
3,68
3,46
3,60
3,61
2,61
2,61
2,57
2,69
2,66
2,61
2,52
0,55
2,61
3,63
2,70
3,74
3,76
2,51
3,74
3,69
3,74
2,68
3,76
3,74
3,56
3,61
3,63
2,62
2,63
2,59
2,71
2,67
2,62
2,54
0,56
2,62
3,65
2,72
3,76
2,53
3,76
3,73
3,76
2,70
3,76
3,76
3,64
0,8
0,21
0,21
0,26
0,37
0,7
0,19
0,19
0,24
0,31
0,9
0,21
0,22
0,30
0,34
0,12
0,18
0,23
0,32
0,37
0,9
0,17
0,21
0,31
0,36
0,7
0,17
0,21
0,28
0,32
0,6
0,19
0,25
0,35
0,37
0,7
0,22
0,18
0,25
0,30
2,4
2,14
2,21
2,29
2,36
2,15
2,27
2,42
2,47
2,50
2,10
2,14
2,37
2,44
2,46
0,10
0,19
0,21
0,28
0,37
0,16
0,22
0,27
0,36
0,41
0,10
0,21
0,26
0,35
0,39
0,10
0,23
0,28
0,39
0,39
0,10
0,22
0,34
0,41
0,44
0,16
0,28
0,35
0,42
0,44
0,12
0,23
0,30
0,39
0,42
0,14
0,26
0,26
0,33
0,40
0,10
0,21
0,29
0,33
0,41
0,10
0,18
0,24
0,32
0,42
2,4
2,18
2,28
2,40
2,45
2,4
2,20
2,28
2,36
2,45
0,19
0,31
0,31
0,42
0,45
0,20
0,38
0,45
0,48
0,52
0,19
0,32
0,36
0,45
0,49
0,18
0,30
0,30
0,41
0,42
0,12
0,25
0,27
0,39
0,48
0,18
0,39
0,47
0,52
0,57
0,20
0,39
0,49
0,57
0,63
0,20
0,35
0,48
0,53
0,55
0,18
0,33
0,44
0,48
0,53
0,14
0,30
0,37
0,43
0,47
0,14
0,30
0,42
0,48
0,56
2,27
2,44
2,60
2,63
2,63
2,24
2,32
2,52
2,58
2,60
2,15
2,35
2,49
2,50
2,53
0,12
0,23
0,27
0,34
0,43
0,13
0,22
0,28
0,33
0,40
0,64
0,54
2,76
0,61
0,75
0,38
0,57
0,53
0,48
0,52
0,41
2,36
2,52
2,44
2,41
0,49
3,46
0,38
2,26
2,36
2,36
3,64
0,55
3,50
2,56
3,73
0,66
0,11
2,16
2,17
2,11
1,18
2,20
2,12
2,12
0,9
0,5
0,12
0,9
0,8
0,13
2,30
2,31
2,28
1,26
2,30
2,29
2,26
0,16
0,21
0,26
0,21
0,17
0,23
2,43
2,36
2,38
1,30
2,35
2,38
2,34
0,21
0,24
0,41
0,34
0,30
0,33
2,50
2,45
2,48
1,32
2,50
2,50
2,45
0,28
0,36
0,48
0,40
0,36
0,34
2,52
2,46
2,50
1,34
2,53
2,53
2,47
0,30
0,38
0,49
0,41
0,37
2,54
2,41
2,48
2,50
2,32
2,22
2,20
2,49
2,35
2,36
2,58
2,53
2,52
2,51
2,47
2,43
2,43
2,19
2,22
2,31
2,33
2,42
2,38
2,53
2,44
2,58
2,41
2,52
2,52
2,54
2,22
2,30
2,56
2,26
2,34
2,58
2,59
2,29
2,69
2,36
2,62
2,29
2,37
2,71
1,18
1,6
1,12
1,20
1,40
1,10
1,21
1,41
2,59
2,56
2,22
2,20
2,32
2,35
2,65
2,63
0,20
0,29
0,8
0,16
0,45
0,36
0,40
0,31
0,51
0,21
0,12
0,18
0,7
0,11
0,15
0,28
0,20
0,22
0,38
0,24
0,5
3,6
3,22
2,12
3,24
3,29
2,14
3,16
3,36
2,22
0,30
0,21
3,18
3,18
0,11
2,29
2,8
0,22
0,19
0,22
3,36
2,10
3,35
3,4
0,14
0,18
3,15
3,14
2,19
3,18
3,9
2,22
3,34
3,18
3,30
0,11
2,23
2,5
0,28
0,7
0,16
0,34
0,8
3,21
2,14
2,7
3,28
0,10
0,17
0,24
0,29
0,32
0,33
0,35
0,3
0,9
0,15
0,18
0,21
0,22
0,18
0,22
0,8
0,28
0,29
0,30
0,6
0,23
0,24
0,26
0,31
0,33
0,9
0,24
0,29
0,6
0,4
0,9
0,8
0,14
0,14
0,27
0,11
0,21
0,12
0,23
0,23
0,35
0,40
0,27
0,9
0,17
0,17
0,31
3,16
2,44
3,40
3,26
3,3
3,30
2,2
2,2
2,22
3,21
3,30
2,8
2,17
3,22
2,26
2,28
3,7
3,30
3,24
2,16
2,8
3,9
3,36
2,2
3,13
3,40
2,17
2,3
2,12
2,10
2,29
3,12
2,4
3,35
2,30
2,14
2,21
2,21
3,33
3,47
3,10
3,11
2,44
2,0
3,13
3,20
2,3
2,36
2,14
2,29
2,19
2,7
2,4
3,38
3,6
3,3
3,47
2,14
2,27
2,6
3,1
2,23
2,40
2,3
2,29
2,33
3,51
3,18
3,6
2,5
3,36
2,7
3,2
3,7
3,40
3,48
0,8
0,14
0,24
0,32
0,35
0,11
0,14
0,28
0,34
0,36
0,12
0,6
0,30
0,37
0,37
0,9
0,14
0,15
0,22
0,27
0,40
0,51
0,33
0,11
0,19
0,9
0,23
0,30
0,33
0,41
0,49
0,56
0,64
0,66
0,68
0,71
0,15
0,19
0,24
0,26
0,28
0,29
0,3
0,11
0,20
0,24
0,28
0,36
0,38
0,11
0,10
0,21
0,34
0,8
0,19
0,18
0,28
0,11
0,22
0,14
0,11
0,18
0,26
0,10
0,13
0,28
0,34
0,15
0,29
0,36
0,38
0,39
0,15
0,23
0,58
0,44
0,48
0,52
0,38
0,10
0,16
0,28
0,16
0,36
0,45
0,21
0,34
0,8
0,16
0,11
0,24
0,31
0,34
0,35
0,30
0,39
0,45
0,52
0,55
0,64
0,17
0,22
0,26
0,18
0,36
0,21
0,47
0,71
2,34
3,30
2,13
2,16
3,33
2,30
0,12
2,30
0,36
2,24
3,23
2,42
0,27
0,12
2,41
2,50
2,54
3,62
2,49
2,30
0,15
3,34
3,29
0,39
0,37
2,38
2,58
0,37
3,30
2,49
0,12
0,35
0,34
2,32
2,39
0,28
2,38
3,36
3,34
2,41
0,28
2,20
3,29
2,29
