A,B,C,D,E
26,2,0,5,38
26,2,0,5,30
25,3,0,7,58
25,3,1,6,54
24,2,0,4,19
0,0,1,0,0
26,1,1,4,32
25,2,1,4,20
26,2,0,5,40
27,3,0,6,51
26,1,0,4,18
26,3,1,6,59
15,3,1,6,49
26,1,1,5,38
7,1,15,3,19
25,3,1,5,44
24,3,8,6,55
26,1,15,4,35
25,2,0,4,16
13,0,0,1,0
25,2,0,6,44
19,1,15,3,16
25,2,1,5,43
26,1,0,5,29
14,3,0,4,22
27,1,0,5,34
25,1,0,3,4
26,2,15,5,55
27,3,1,7,64
10,1,15,4,23
25,3,0,7,59
25,2,1,5,35
25,1,0,4,23
27,2,1,6,51
25,2,0,5,39
27,3,0,7,48
25,3,1,6,57
26,3,0,6,46
25,3,13,6,52
25,2,0,6,47
26,3,0,6,52
26,0,0,3,7
25,3,6,5,42
25,2,1,4,24
25,3,0,5,39
25,3,14,7,62
18,2,1,4,25
25,0,15,4,37
27,1,0,5,34
23,0,12,1,3
25,3,1,5,46
27,2,0,5,38
25,0,0,2,2
25,1,0,3,7
26,0,1,3,12
26,2,0,4,15
26,3,11,7,63
11,3,0,7,60
26,2,10,6,56
26,1,0,3,8
25,1,15,3,23
25,0,0,2,1
26,3,1,6,52
27,2,0,6,47
26,1,0,4,24
26,1,1,4,23
26,1,1,4,28
25,0,9,2,7
25,1,0,4,21
26,2,1,5,43
27,1,0,5,38
26,1,1,5,36
25,3,1,6,51
27,1,0,4,24
27,2,15,6,59
27,0,3,3,12
3,0,1,1,0
26,1,0,5,31
27,3,0,7,66
27,1,1,5,44
25,3,0,6,44
25,2,1,5,41
25,3,15,5,54
26,3,0,7,63
25,3,15,6,54
26,1,0,5,27
25,2,1,5,32
25,2,0,5,34
25,2,0,5,32
25,3,1,5,49
25,2,0,5,27
16,2,1,4,32
25,1,0,5,30
25,2,0,5,32
25,1,0,5,30
24,2,1,5,38
26,2,2,5,48
26,2,0,6,43
2,2,5,2,9
27,2,0,5,37
26,3,0,5,44
26,2,0,6,35
26,1,15,4,35
26,1,0,5,25
24,2,0,5,30
27,3,0,7,66
25,3,7,5,54
25,1,1,4,19
26,1,1,4,22
8,3,1,5,41
27,2,0,7,58
25,1,15,3,16
25,1,15,4,25
27,3,1,7,62
12,2,1,4,34
6,1,1,3,12
26,1,0,4,21
24,1,1,4,17
25,1,15,4,24
25,0,0,3,5
26,1,0,5,30
25,1,1,4,26
26,1,0,5,28
20,0,15,3,13
27,2,0,7,58
5,1,1,3,11
26,3,1,5,39
27,2,1,7,59
25,2,1,4,20
27,1,15,4,34
24,2,1,4,29
22,0,15,0,0
4,1,15,2,14
25,1,0,4,21
27,0,0,3,10
26,3,1,7,66
26,1,15,5,42
27,0,1,5,37
26,3,15,6,59
25,2,0,5,42
26,2,0,6,47
27,2,1,6,53
26,0,1,3,15
26,2,1,6,51
25,1,0,4,14
25,1,15,4,27
27,1,1,5,50
25,1,0,5,27
26,2,0,5,40
25,3,15,7,65
26,3,1,6,58
25,1,1,2,1
26,2,0,5,40
26,2,0,5,35
27,0,0,4,19
25,0,0,0,0
27,0,0,3,13
27,1,0,6,51
26,1,0,5,26
26,2,1,5,36
26,2,0,5,35
26,1,1,5,31
25,1,1,5,44
27,0,0,4,27
27,1,0,4,20
26,2,1,5,40
25,2,0,5,32
27,2,1,7,60
25,3,0,5,42
25,1,15,5,42
24,2,1,5,33
25,1,0,4,23
27,1,0,4,21
26,1,1,4,29
26,0,0,2,6
26,0,1,3,10
27,1,0,5,45
25,1,1,2,8
26,1,0,4,26
26,1,1,4,26
25,2,1,4,33
25,2,0,4,16
17,2,1,5,39
21,1,15,3,18
25,1,2,4,23
26,2,0,6,47
26,3,1,7,61
27,3,15,7,65
25,2,1,5,44
27,1,1,5,34
25,2,0,4,24
27,1,4,5,39
26,1,0,4,11
27,1,0,5,32
26,2,0,6,48
1,3,0,5,36
26,2,0,5,35
26,0,1,3,15
9,3,2,5,37
24,2,0,5,33
