X,Y
1,"(22.801, 24.247]"
1,"(25.135, 25.406]"
0,"(31.436, 50.936]"
0,"(31.436, 50.936]"
0,"(18.767, 22.801]"
0,"(10.667, 18.767]"
0,"(10.667, 18.767]"
0,"(18.767, 22.801]"
0,"(18.767, 22.801]"
1,"(25.406, 26.241]"
1,"(24.563, 25.135]"
1,"(24.247, 24.563]"
1,"(24.563, 25.135]"
0,"(18.767, 22.801]"
1,"(24.247, 24.563]"
0,"(-3.072, 10.667]"
1,"(24.563, 25.135]"
1,"(24.247, 24.563]"
0,"(10.667, 18.767]"
0,"(10.667, 18.767]"
1,"(25.406, 26.241]"
0,"(24.563, 25.135]"
0,"(-3.072, 10.667]"
0,"(26.241, 31.436]"
0,"(18.767, 22.801]"
0,"(25.135, 25.406]"
1,"(25.406, 26.241]"
0,"(26.241, 31.436]"
1,"(22.801, 24.247]"
0,"(31.436, 50.936]"
1,"(24.247, 24.563]"
0,"(10.667, 18.767]"
1,"(25.406, 26.241]"
0,"(-3.072, 10.667]"
1,"(26.241, 31.436]"
0,"(10.667, 18.767]"
0,"(10.667, 18.767]"
1,"(26.241, 31.436]"
0,"(-3.072, 10.667]"
0,"(-3.072, 10.667]"
1,"(25.135, 25.406]"
0,"(10.667, 18.767]"
1,"(22.801, 24.247]"
0,"(18.767, 22.801]"
0,"(22.801, 24.247]"
1,"(24.563, 25.135]"
1,"(25.406, 26.241]"
0,"(-3.072, 10.667]"
1,"(26.241, 31.436]"
0,"(-3.072, 10.667]"
0,"(18.767, 22.801]"
0,"(31.436, 50.936]"
1,"(24.247, 24.563]"
1,"(25.406, 26.241]"
0,"(-3.072, 10.667]"
0,"(-3.072, 10.667]"
1,"(22.801, 24.247]"
1,"(24.247, 24.563]"
0,"(31.436, 50.936]"
0,"(22.801, 24.247]"
0,"(26.241, 31.436]"
0,"(31.436, 50.936]"
0,"(22.801, 24.247]"
1,"(24.563, 25.135]"
1,"(25.135, 25.406]"
0,"(26.241, 31.436]"
0,"(18.767, 22.801]"
0,"(24.247, 24.563]"
0,"(10.667, 18.767]"
0,"(18.767, 22.801]"
0,"(31.436, 50.936]"
1,"(24.247, 24.563]"
1,"(25.135, 25.406]"
0,"(18.767, 22.801]"
0,"(22.801, 24.247]"
1,"(22.801, 24.247]"
1,"(25.135, 25.406]"
1,"(24.563, 25.135]"
0,"(26.241, 31.436]"
0,"(10.667, 18.767]"
0,"(26.241, 31.436]"
0,"(31.436, 50.936]"
1,"(25.135, 25.406]"
1,"(25.135, 25.406]"
1,"(25.135, 25.406]"
1,"(25.406, 26.241]"
1,"(24.563, 25.135]"
1,"(25.406, 26.241]"
0,"(31.436, 50.936]"
1,"(24.563, 25.135]"
1,"(24.563, 25.135]"
0,"(31.436, 50.936]"
1,"(22.801, 24.247]"
1,"(24.247, 24.563]"
0,"(-3.072, 10.667]"
1,"(24.247, 24.563]"
1,"(25.406, 26.241]"
0,"(26.241, 31.436]"
1,"(25.135, 25.406]"
1,"(25.406, 26.241]"
