ACLED_fatalities_total,ACLED_fatalities_Violence_against_civilians,ACLED_events_total,CIESIN_GPWv411_GPW_Population_Density_population_density_max,spam2010v2r0_global_prod_P_RICE_I_min,ECMWF_ERA5_LAND_MONTHLY_soil_temperature_level_1_sum_sum,NASA_GPM_L3_IMERG_MONTHLY_V06_precipitationQualityIndex_max_max,NASA_FLDAS_NOAH01_C_GL_M_V001_Qle_tavg_max_std
"(1.0, 2.0]","(1.0, 2.0]","(3.0, 5.0]","(1727.656, 4743.648]","(89.565, 257.0]","(50636.652, 62267.491]","(20.3, 20.85]","(1.5970000000000002, 8.039]"
"(12.45, 17.1]","(-0.001, 1.0]","(15.0, 20.15]","(44.675, 98.654]","(-0.001, 0.41]","(212520.243, 241049.859]","(21.47, 22.348]","(30.033, 34.882]"
"(78.0, 140.05]","(8.0, 18.7]","(60.8, 110.1]","(4743.648, 8843.862]","(-0.001, 0.41]","(105583.164, 112260.095]","(21.47, 22.348]","(8.699, 9.111]"
"(4.85, 5.0]","(-0.001, 1.0]","(3.0, 5.0]","(501.12, 509.083]","(-0.001, 0.41]","(100759.612, 105583.164]","(20.3, 20.85]","(41.425, 43.235]"
"(7.0, 9.8]","(2.0, 3.0]","(48.5, 60.8]","(220.961, 261.309]","(20.715, 55.7]","(69293.196, 76184.635]","(25.711, 30.338]","(9.111, 9.804]"
"(2.0, 3.0]","(2.0, 3.0]","(2.0, 3.0]","(113.676, 118.193]","(-0.001, 0.41]","(69293.196, 76184.635]","(17.576, 17.919]","(22.673, 27.32]"
"(12.45, 17.1]","(5.0, 6.0]","(25.8, 29.45]","(184.402, 210.568]","(-0.001, 0.41]","(123581.622, 130957.878]","(16.423, 16.966]","(9.804, 10.241]"
"(1.0, 2.0]","(1.0, 2.0]","(12.0, 15.0]","(138.859, 184.402]","(-0.001, 0.41]","(185938.102, 212520.243]","(23.892, 25.711]","(13.749, 16.764]"
"(28.0, 38.0]","(-0.001, 1.0]","(29.45, 37.1]","(261.801, 464.562]","(-0.001, 0.41]","(185938.102, 212520.243]","(19.488, 19.77]","(16.764, 22.673]"
"(4.85, 5.0]","(1.0, 2.0]","(12.0, 15.0]","(606.352, 647.374]","(-0.001, 0.41]","(241049.859, 354783.815]","(20.3, 20.85]","(10.657, 11.431]"
"(78.0, 140.05]","(6.0, 8.0]","(110.1, 155.7]","(261.309, 261.801]","(-0.001, 0.41]","(165004.096, 185938.102]","(18.969, 19.488]","(16.764, 22.673]"
"(2.0, 3.0]","(-0.001, 1.0]","(8.0, 11.0]","(118.193, 138.859]","(-0.001, 0.41]","(105583.164, 112260.095]","(17.465, 17.576]","(41.425, 43.235]"
"(17.1, 22.75]","(1.0, 2.0]","(11.0, 12.0]","(184.402, 210.568]","(-0.001, 0.41]","(130957.878, 145810.844]","(13.854, 15.494]","(8.699, 9.111]"
"(5.0, 7.0]","(1.0, 2.0]","(15.0, 20.15]","(138.859, 184.402]","(0.41, 3.025]","(241049.859, 354783.815]","(23.892, 25.711]","(16.764, 22.673]"
"(28.0, 38.0]","(-0.001, 1.0]","(48.5, 60.8]","(4.67, 44.675]","(-0.001, 0.41]","(241049.859, 354783.815]","(8.213000000000001, 13.854]","(10.657, 11.431]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 2.0]","(138.859, 184.402]","(-0.001, 0.41]","(354783.815, 3539315.621]","(30.338, 36.463]","(12.305, 13.749]"
"(5.0, 7.0]","(3.0, 5.0]","(8.0, 11.0]","(118.193, 138.859]","(-0.001, 0.41]","(145810.844, 165004.096]","(22.348, 23.892]","(16.764, 22.673]"
"(3.0, 4.85]","(1.0, 2.0]","(15.0, 20.15]","(261.309, 261.801]","(10.6, 20.715]","(212520.243, 241049.859]","(30.338, 36.463]","(8.699, 9.111]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 2.0]","(216.225, 220.961]","(0.41, 3.025]","(212520.243, 241049.859]","(23.892, 25.711]","(10.241, 10.657]"
"(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(261.801, 464.562]","(89.565, 257.0]","(50636.652, 62267.491]","(17.465, 17.576]","(8.699, 9.111]"
"(4.85, 5.0]","(2.0, 3.0]","(29.45, 37.1]","(647.374, 1727.656]","(-0.001, 0.41]","(130957.878, 145810.844]","(25.711, 30.338]","(9.111, 9.804]"
"(4.85, 5.0]","(-0.001, 1.0]","(6.0, 8.0]","(261.309, 261.801]","(-0.001, 0.41]","(112260.095, 123581.622]","(19.77, 20.3]","(9.111, 9.804]"
"(9.8, 12.45]","(-0.001, 1.0]","(20.15, 25.8]","(1727.656, 4743.648]","(-0.001, 0.41]","(212520.243, 241049.859]","(19.77, 20.3]","(12.305, 13.749]"
"(22.75, 28.0]","(1.0, 2.0]","(12.0, 15.0]","(261.309, 261.801]","(-0.001, 0.41]","(76184.635, 83357.881]","(18.969, 19.488]","(13.749, 16.764]"
"(3.0, 4.85]","(-0.001, 1.0]","(2.0, 3.0]","(606.352, 647.374]","(-0.001, 0.41]","(87327.282, 94365.591]","(23.892, 25.711]","(44.572, 45.897]"
"(-0.001, 1.0]","(-0.001, 1.0]","(11.0, 12.0]","(138.859, 184.402]","(55.7, 89.565]","(62267.491, 69293.196]","(18.969, 19.488]","(9.804, 10.241]"
"(17.1, 22.75]","(6.0, 8.0]","(8.0, 11.0]","(98.654, 113.676]","(-0.001, 0.41]","(212520.243, 241049.859]","(17.919, 18.42]","(11.431, 12.305]"
"(9.8, 12.45]","(3.0, 5.0]","(60.8, 110.1]","(220.961, 261.309]","(-0.001, 0.41]","(112260.095, 123581.622]","(30.338, 36.463]","(12.305, 13.749]"
"(9.8, 12.45]","(3.0, 5.0]","(12.0, 15.0]","(1727.656, 4743.648]","(3.025, 10.6]","(7035.782999999999, 36285.002]","(17.465, 17.576]","(1.5970000000000002, 8.039]"
