ACLED_fatalities_total,ACLED_fatalities_Violence_against_civilians,ACLED_events_total,CIESIN_GPWv411_GPW_Population_Density_population_density_max,spam2010v2r0_global_prod_P_RICE_I_min,ECMWF_ERA5_LAND_MONTHLY_soil_temperature_level_1_sum_sum,NASA_GPM_L3_IMERG_MONTHLY_V06_precipitationQualityIndex_max_max,NASA_FLDAS_NOAH01_C_GL_M_V001_Qle_tavg_max_std
"(1.0, 3.0]","(1.0, 3.0]","(3.0, 6.0]","(1727.656, 8843.862]","(55.7, 257.0]","(50636.652, 69293.196]","(19.77, 20.85]","(1.5970000000000002, 8.699]"
"(9.8, 17.1]","(-0.001, 1.0]","(15.0, 25.8]","(4.67, 98.654]","(-0.001, 0.41]","(185938.102, 241049.859]","(20.85, 22.348]","(27.32, 34.882]"
"(78.0, 1224.0]","(8.0, 76.0]","(60.8, 155.7]","(1727.656, 8843.862]","(-0.001, 0.41]","(105583.164, 123581.622]","(20.85, 22.348]","(8.699, 9.804]"
"(3.0, 5.0]","(-0.001, 1.0]","(3.0, 6.0]","(501.12, 606.352]","(-0.001, 0.41]","(94365.591, 105583.164]","(19.77, 20.85]","(41.425, 44.572]"
"(5.0, 9.8]","(1.0, 3.0]","(37.1, 60.8]","(220.961, 261.801]","(10.6, 55.7]","(69293.196, 83357.881]","(25.711, 36.463]","(8.699, 9.804]"
"(1.0, 3.0]","(1.0, 3.0]","(1.0, 3.0]","(98.654, 118.193]","(-0.001, 0.41]","(69293.196, 83357.881]","(17.465, 17.919]","(16.764, 27.32]"
"(9.8, 17.1]","(5.0, 8.0]","(25.8, 37.1]","(184.402, 215.472]","(-0.001, 0.41]","(123581.622, 145810.844]","(16.423, 17.465]","(9.804, 10.657]"
"(1.0, 3.0]","(1.0, 3.0]","(11.0, 15.0]","(118.193, 184.402]","(-0.001, 0.41]","(185938.102, 241049.859]","(22.348, 25.711]","(12.305, 16.764]"
"(28.0, 78.0]","(-0.001, 1.0]","(25.8, 37.1]","(261.801, 501.12]","(-0.001, 0.41]","(185938.102, 241049.859]","(18.969, 19.77]","(16.764, 27.32]"
"(3.0, 5.0]","(1.0, 3.0]","(11.0, 15.0]","(606.352, 1727.656]","(-0.001, 0.41]","(241049.859, 3539315.621]","(19.77, 20.85]","(10.657, 12.305]"
"(78.0, 1224.0]","(5.0, 8.0]","(60.8, 155.7]","(220.961, 261.801]","(-0.001, 0.41]","(145810.844, 185938.102]","(18.969, 19.77]","(16.764, 27.32]"
"(1.0, 3.0]","(-0.001, 1.0]","(6.0, 11.0]","(118.193, 184.402]","(-0.001, 0.41]","(105583.164, 123581.622]","(17.465, 17.919]","(41.425, 44.572]"
"(17.1, 28.0]","(1.0, 3.0]","(11.0, 15.0]","(184.402, 215.472]","(-0.001, 0.41]","(123581.622, 145810.844]","(8.213000000000001, 15.494]","(8.699, 9.804]"
"(5.0, 9.8]","(1.0, 3.0]","(15.0, 25.8]","(118.193, 184.402]","(0.41, 10.6]","(241049.859, 3539315.621]","(22.348, 25.711]","(16.764, 27.32]"
"(28.0, 78.0]","(-0.001, 1.0]","(37.1, 60.8]","(4.67, 98.654]","(-0.001, 0.41]","(241049.859, 3539315.621]","(8.213000000000001, 15.494]","(10.657, 12.305]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 3.0]","(118.193, 184.402]","(-0.001, 0.41]","(241049.859, 3539315.621]","(25.711, 36.463]","(12.305, 16.764]"
"(5.0, 9.8]","(3.0, 5.0]","(6.0, 11.0]","(118.193, 184.402]","(-0.001, 0.41]","(145810.844, 185938.102]","(22.348, 25.711]","(16.764, 27.32]"
"(3.0, 5.0]","(1.0, 3.0]","(15.0, 25.8]","(220.961, 261.801]","(10.6, 55.7]","(185938.102, 241049.859]","(25.711, 36.463]","(8.699, 9.804]"
"(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 3.0]","(215.472, 220.961]","(0.41, 10.6]","(185938.102, 241049.859]","(22.348, 25.711]","(9.804, 10.657]"
