A,B,C,D,E
"(18.947, 20.398]","(18.163, 19.615]","(13.917, 15.267]","(98.549, 103.236]","(340.451, 355.132]"
"(20.398, 21.85]","(16.711, 18.163]","(12.566, 13.917]","(93.862, 98.549]","(325.77, 340.451]"
"(18.947, 20.398]","(18.163, 19.615]","(9.854, 11.216]","(93.862, 98.549]","(311.089, 325.77]"
"(18.947, 20.398]","(19.615, 21.067]","(13.917, 15.267]","(98.549, 103.236]","(325.77, 340.451]"
"(16.044, 17.496]","(19.615, 21.067]","(13.917, 15.267]","(89.175, 93.862]","(311.089, 325.77]"
"(14.581, 16.044]","(19.615, 21.067]","(15.267, 16.618]","(89.175, 93.862]","(311.089, 325.77]"
"(20.398, 21.85]","(19.615, 21.067]","(16.618, 17.969]","(98.549, 103.236]","(340.451, 355.132]"
"(17.496, 18.947]","(19.615, 21.067]","(15.267, 16.618]","(93.862, 98.549]","(325.77, 340.451]"
"(20.398, 21.85]","(18.163, 19.615]","(12.566, 13.917]","(93.862, 98.549]","(311.089, 325.77]"
"(21.85, 23.301]","(18.163, 19.615]","(13.917, 15.267]","(98.549, 103.236]","(340.451, 355.132]"
"(18.947, 20.398]","(18.163, 19.615]","(12.566, 13.917]","(98.549, 103.236]","(340.451, 355.132]"
"(20.398, 21.85]","(19.615, 21.067]","(17.969, 19.319]","(98.549, 103.236]","(355.132, 369.813]"
"(16.044, 17.496]","(19.615, 21.067]","(15.267, 16.618]","(93.862, 98.549]","(340.451, 355.132]"
"(20.398, 21.85]","(21.067, 22.519]","(13.917, 15.267]","(107.923, 112.61]","(369.813, 384.494]"
"(16.044, 17.496]","(22.519, 23.971]","(11.216, 12.566]","(98.549, 103.236]","(325.77, 340.451]"
"(18.947, 20.398]","(19.615, 21.067]","(15.267, 16.618]","(98.549, 103.236]","(355.132, 369.813]"
"(17.496, 18.947]","(21.067, 22.519]","(11.216, 12.566]","(98.549, 103.236]","(340.451, 355.132]"
"(18.947, 20.398]","(21.067, 22.519]","(13.917, 15.267]","(103.236, 107.923]","(355.132, 369.813]"
"(18.947, 20.398]","(15.26, 16.711]","(15.267, 16.618]","(89.175, 93.862]","(325.77, 340.451]"
"(16.044, 17.496]","(16.711, 18.163]","(9.854, 11.216]","(84.489, 89.175]","(281.609, 296.408]"
"(17.496, 18.947]","(16.711, 18.163]","(15.267, 16.618]","(89.175, 93.862]","(311.089, 325.77]"
"(16.044, 17.496]","(22.519, 23.971]","(15.267, 16.618]","(103.236, 107.923]","(355.132, 369.813]"
"(17.496, 18.947]","(21.067, 22.519]","(15.267, 16.618]","(103.236, 107.923]","(355.132, 369.813]"
"(20.398, 21.85]","(16.711, 18.163]","(12.566, 13.917]","(93.862, 98.549]","(325.77, 340.451]"
"(16.044, 17.496]","(16.711, 18.163]","(11.216, 12.566]","(84.489, 89.175]","(296.408, 311.089]"
"(23.301, 24.753]","(15.26, 16.711]","(15.267, 16.618]","(93.862, 98.549]","(325.77, 340.451]"
"(18.947, 20.398]","(15.26, 16.711]","(15.267, 16.618]","(84.489, 89.175]","(296.408, 311.089]"
"(20.398, 21.85]","(23.971, 25.423]","(17.969, 19.319]","(107.923, 112.61]","(384.494, 399.175]"
"(23.301, 24.753]","(19.615, 21.067]","(11.216, 12.566]","(107.923, 112.61]","(369.813, 384.494]"
