A,B,C,D,E
2,3,1,4,88
2,3,2,5,100
2,2,0,3,54
2,1,3,2,59
0,0,1,0,12
0,2,2,2,41
2,0,3,2,45
1,1,3,2,48
2,2,1,2,54
3,1,2,2,51
2,3,3,4,92
2,2,2,3,67
0,1,1,1,31
3,0,3,2,51
0,0,0,0,5
2,2,2,3,71
1,3,1,3,53
2,2,0,2,42
2,2,1,3,70
0,0,2,0,10
2,1,2,1,41
0,2,2,1,36
2,2,1,3,70
2,2,1,3,70
0,1,2,2,47
3,1,2,4,80
2,1,0,2,43
2,3,0,4,82
3,1,0,3,64
0,3,2,2,55
2,2,1,3,58
2,2,1,2,50
1,0,2,0,6
3,1,0,3,54
2,0,1,1,26
3,1,0,3,54
2,1,2,2,44
2,0,1,1,28
2,3,2,3,69
2,2,0,3,58
2,0,2,0,19
2,2,2,3,64
1,0,0,0,7
1,2,1,3,54
2,1,3,2,50
2,2,0,3,52
0,2,0,1,31
2,2,2,2,62
3,1,0,3,57
0,1,1,1,31
2,1,2,1,36
3,2,2,4,94
2,2,2,3,77
1,3,1,4,75
2,0,0,1,25
2,3,0,5,91
3,2,2,3,74
0,0,0,0,2
2,3,0,4,85
2,2,1,3,67
2,3,0,4,72
1,0,1,0,18
2,2,3,3,80
3,2,1,4,81
2,2,1,2,50
2,1,2,2,60
2,1,1,2,47
2,1,2,2,40
2,3,1,4,83
2,2,1,4,76
3,1,0,3,61
2,2,3,4,92
2,3,0,3,67
3,3,1,5,98
3,2,1,5,89
3,3,2,5,103
0,3,1,3,69
2,3,0,4,83
3,0,1,3,59
3,0,3,2,63
2,0,1,0,13
2,0,2,1,36
1,3,1,4,76
2,0,3,0,18
2,2,2,3,67
2,0,1,2,45
2,1,0,2,36
2,1,1,1,26
2,3,1,4,83
2,1,2,2,56
2,1,2,2,52
0,3,3,3,71
2,1,2,2,56
2,2,0,2,46
2,2,1,3,62
1,1,0,1,30
2,2,2,3,68
2,1,3,2,56
0,0,2,0,5
3,2,0,3,67
2,3,3,4,80
2,3,2,4,76
2,1,2,2,53
2,0,1,2,48
1,2,2,2,60
3,2,3,4,94
1,1,3,2,59
2,0,2,2,42
2,0,0,1,24
0,1,0,1,27
3,2,1,3,67
2,2,2,2,56
2,2,2,3,69
3,2,1,5,101
0,1,2,1,29
0,2,1,2,46
2,1,0,2,40
1,3,1,4,82
1,2,1,2,61
2,2,2,2,45
2,0,3,1,40
2,2,2,3,68
2,0,1,1,28
0,1,1,1,28
3,2,0,5,87
0,0,0,0,0
2,2,3,3,72
3,2,2,4,86
2,2,2,3,60
3,1,0,2,49
1,0,2,0,24
0,2,0,3,52
0,2,2,2,49
2,3,0,4,69
3,0,3,2,69
2,1,0,2,44
2,2,0,3,66
3,1,3,4,89
2,3,1,3,74
2,2,0,3,54
2,0,1,1,31
3,2,2,4,81
2,1,3,2,54
2,0,1,2,40
2,0,0,1,29
2,1,1,2,48
3,1,2,3,64
2,0,1,1,27
2,2,3,3,77
2,2,1,3,71
2,3,1,4,77
1,3,0,5,90
2,1,3,2,52
2,3,2,5,100
3,2,2,3,74
2,3,3,3,79
3,1,3,3,84
3,1,0,3,58
2,2,2,3,67
2,1,2,1,36
2,2,3,3,74
3,0,1,2,42
2,0,2,1,39
3,1,3,3,72
3,0,2,2,39
2,1,1,3,53
2,2,2,3,65
3,0,0,1,22
1,2,2,3,72
2,3,2,4,84
1,1,0,2,35
2,1,2,2,44
3,1,1,3,59
2,0,2,2,55
2,2,1,4,77
2,3,0,4,73
3,3,3,5,99
2,2,2,2,56
2,2,3,3,81
2,2,2,3,71
2,1,2,2,44
1,2,0,2,48
0,1,3,0,29
0,3,3,3,80
2,3,1,5,102
2,2,0,4,74
2,1,2,2,56
3,2,0,4,67
2,1,0,2,36
3,1,1,3,58
1,0,1,0,19
3,1,2,3,60
2,2,1,3,66
3,1,2,3,62
2,1,1,2,41
0,1,0,0,7
3,3,2,5,101
2,3,0,4,76
0,0,1,0,17
1,1,0,1,21
2,3,1,4,83
2,2,2,3,72
3,1,0,3,53
3,0,1,3,60
2,2,2,2,59
0,0,1,0,17
2,3,1,3,68
2,0,1,2,40
2,2,0,3,57
3,1,2,3,72
1,1,0,1,25
3,1,3,3,79
3,3,1,5,101
2,1,1,2,43
2,1,1,1,36
3,0,0,2,48
3,2,1,4,77
2,0,2,1,38
2,1,2,2,52
0,2,2,2,52
2,3,0,5,99
2,1,3,1,46
2,0,3,0,30
2,0,3,1,36
3,1,2,2,60
2,0,2,1,37
1,2,3,2,60
2,1,3,3,69
3,0,2,1,44
2,1,2,2,54
3,2,1,5,98
2,2,3,3,69
2,2,2,4,84
2,2,0,3,53
2,2,0,4,72
3,1,2,4,75
3,1,2,4,83
3,0,2,1,36
3,3,0,4,80
2,1,0,2,41
3,2,0,3,61
0,2,1,2,46
3,3,0,5,85
2,2,2,3,71
3,1,1,3,60
3,2,0,4,80
2,3,2,4,83
1,2,1,3,54
1,3,1,4,73
0,1,0,1,25
3,1,2,3,69
2,1,0,2,43
0,3,2,2,48
2,0,1,2,33
0,2,1,2,54
2,3,0,5,93
3,3,0,5,98
3,1,2,4,87
2,1,0,3,65
1,2,0,2,45
1,3,0,3,59
1,2,2,2,48
3,2,2,4,75
2,3,2,5,104
2,1,3,2,48
2,1,0,2,35
1,1,2,2,47
0,1,1,1,27
2,2,0,3,55
2,1,2,3,59
1,1,2,2,43
2,2,0,3,50
3,2,0,4,73
2,1,3,2,57
2,1,1,3,65
0,0,2,0,19
0,1,2,0,21
2,1,1,2,39
3,0,1,1,24
2,2,2,3,68
3,3,3,5,105
2,2,0,4,62
3,2,0,3,62
3,2,0,4,80
3,2,0,4,70
2,1,3,2,66
2,2,1,3,68
2,0,0,0,8
2,2,1,2,53
3,1,1,2,53
2,1,1,2,44
3,2,3,3,87
2,1,3,3,64
2,0,2,1,32
2,3,0,4,88
2,2,1,3,66
2,1,0,2,33
2,2,1,3,73
2,2,1,2,55
2,1,2,2,54
3,2,1,4,80
2,1,2,2,52
1,0,1,0,18
2,1,1,2,40
2,1,0,2,44
3,0,2,2,58
3,2,2,4,78
2,2,2,3,64
1,2,1,2,51
3,2,0,5,92
2,2,0,4,73
1,2,2,2,54
1,2,3,3,66
3,3,2,5,96
3,1,0,2,46
2,2,3,3,66
1,2,1,2,53
1,1,0,2,34
2,2,2,2,57
0,2,0,2,39
2,1,2,2,44
1,2,2,3,60
2,1,1,2,46
1,2,2,2,41
2,2,2,4,78
2,1,0,2,36
3,1,2,3,58
2,0,2,1,32
2,0,2,1,28
1,1,2,2,46
2,0,0,2,37
1,0,2,0,19
1,1,1,2,49
2,2,3,3,83
0,1,1,1,26
3,0,0,2,47
2,1,2,2,46
0,3,3,3,71
3,0,2,2,55
2,2,2,3,66
2,1,3,2,59
2,1,0,2,47
0,3,0,4,76
2,2,0,3,59
2,1,0,2,40
1,1,0,1,30
2,3,2,3,66
2,1,2,2,37
2,2,0,3,61
3,2,1,4,88
3,2,2,4,87
1,1,2,2,48
2,2,2,3,62
2,2,3,2,69
0,2,1,1,28
0,2,0,1,21
0,1,3,1,33
2,1,2,2,59
2,2,2,3,71
2,2,1,3,61
2,2,0,4,74
1,2,2,2,37
2,3,2,4,86
1,3,2,3,69
1,1,2,1,39
2,1,0,2,41
2,2,0,4,78
2,1,0,2,38
3,2,3,4,87
2,1,2,1,39
2,1,3,2,54
1,1,1,2,48
1,0,1,0,17
2,2,0,2,45
0,2,0,3,54
0,3,2,4,85
1,1,0,1,22
1,2,3,2,58
1,2,0,2,48
2,1,3,1,43
2,3,0,4,71
2,1,0,2,33
2,2,2,4,78
2,3,2,4,91
2,1,2,1,22
2,1,0,2,52
3,2,1,4,76
3,2,0,3,57
2,1,1,3,64
2,1,1,1,27
2,0,3,0,26
2,1,1,2,39
2,1,2,2,49
1,2,2,2,48
2,2,0,3,55
3,2,1,4,80
2,0,1,1,23
0,0,0,0,4
3,1,2,3,63
2,1,1,2,46
2,2,3,3,65
1,3,1,3,67
2,1,0,2,50
2,1,0,2,39
2,1,2,2,51
2,2,1,3,69
2,1,0,3,58
2,1,0,2,34
2,1,2,1,28
2,0,1,0,3
2,1,2,2,51
2,3,2,4,91
2,2,3,2,52
2,1,1,2,52
3,2,2,4,75
2,1,1,2,54
3,0,1,1,29
3,0,3,1,42
0,1,2,1,35
1,2,0,2,51
1,2,2,2,59
3,2,0,4,69
2,0,1,1,31
1,0,2,0,22
1,2,3,2,56
0,1,0,1,14
0,1,1,1,23
3,2,0,4,77
2,1,0,2,26
3,1,1,3,58
1,0,1,0,12
2,3,0,5,85
2,0,3,1,44
2,1,0,2,34
1,3,1,4,74
0,2,1,1,33
2,3,1,5,91
1,2,3,2,61
3,1,1,3,68
2,2,2,3,67
1,2,0,2,47
2,2,2,3,62
3,2,3,3,85
2,2,3,4,94
0,1,0,1,30
3,3,2,4,86
2,2,0,3,52
3,1,1,4,82
1,2,0,2,36
3,2,0,3,61
2,3,0,5,90
1,1,0,1,35
2,2,1,3,63
2,0,2,1,28
2,2,1,3,66
0,0,0,1,16
3,1,2,2,57
2,2,0,3,54
3,0,2,2,44
1,3,1,3,71
3,3,1,5,110
1,2,0,2,29
2,2,2,4,79
0,1,0,0,10
2,3,3,4,98
2,1,2,3,68
2,3,1,5,95
3,2,2,4,92
1,2,0,3,55
2,1,1,1,35
2,3,2,4,79
2,2,0,3,56
2,2,0,3,64
2,2,2,2,56
3,2,0,4,71
3,2,3,4,81
2,1,0,3,58
2,2,1,2,52
1,1,1,2,39
2,0,1,1,23
0,2,0,2,43
2,2,2,3,72
3,2,0,4,78
1,0,0,1,18
3,2,2,4,86
1,2,0,3,60
2,3,2,4,76
2,1,0,1,24
1,1,2,1,38
2,0,0,1,30
1,0,2,2,42
2,3,3,5,110
2,1,0,2,52
1,0,1,1,21
2,2,1,4,75
2,1,0,2,34
2,0,0,2,35
1,0,3,1,36
3,3,1,5,93
0,1,1,1,34
2,2,1,2,52
0,2,0,0,10
3,3,0,4,78
0,2,1,2,38
2,3,3,3,81
2,0,1,1,29
3,3,1,5,98
2,3,1,4,76
2,3,1,4,77
2,1,2,2,58
2,1,1,2,37
3,2,1,3,70
3,0,2,2,57
2,0,1,2,33
2,0,2,1,29
2,1,1,2,44
1,3,0,4,81
2,0,0,2,32
3,3,3,5,106
2,2,1,3,59
2,0,1,0,8
2,2,1,4,75
1,1,0,2,38
3,0,0,2,40
2,3,2,4,84
2,0,0,2,42
2,1,0,2,30
2,2,0,2,47
2,3,2,4,82
3,3,0,5,98
2,2,2,3,65
3,2,2,4,86
3,1,1,3,67
0,0,0,0,15
1,2,1,2,53
2,1,0,2,51
3,1,3,3,78
2,2,2,3,72
3,1,1,2,46
1,0,0,1,20
2,1,0,1,22
2,0,2,0,9
2,2,0,3,58
2,3,1,5,89
2,1,3,1,40
3,2,1,4,77
2,3,1,5,102
2,2,0,2,43
2,1,0,2,38
3,1,0,3,65
2,2,1,4,72
2,3,2,4,91
1,1,0,2,34
0,0,1,0,10
2,0,3,0,12
2,1,1,1,39
2,0,0,1,27
2,0,0,1,22
0,2,0,2,46
2,2,0,3,59
0,2,2,2,47
2,1,3,2,61
2,3,0,4,74
2,2,2,3,66
0,0,0,0,12
2,2,0,3,65
1,0,1,1,27
2,1,0,2,41
1,2,2,2,47
3,0,0,2,37
2,0,0,1,28
1,3,0,3,65
2,2,2,2,55
2,3,0,4,78
2,0,3,2,58
2,0,1,2,40
2,1,1,2,43
2,3,1,5,96
2,2,2,3,69
2,3,2,5,97
2,0,2,2,57
2,0,2,1,28
2,1,1,3,61
3,2,3,4,90
2,0,3,1,28
1,0,2,0,13
2,0,2,1,28
3,3,2,5,108
2,1,1,3,57
2,1,1,2,53
1,0,0,0,8
3,2,2,3,73
0,3,1,3,64
2,1,0,2,40
1,1,0,2,39
0,2,2,2,59
2,3,2,3,71
2,2,3,3,76
2,3,0,5,82
2,2,2,2,57
1,2,2,3,64
0,1,0,2,38
3,3,3,5,107
2,3,3,3,81
2,1,2,2,51
3,1,0,3,50
1,0,0,0,6
1,3,2,4,80
2,3,2,4,91
0,0,3,0,7
2,0,0,1,24
2,2,3,3,79
1,2,0,2,45
2,1,1,2,47
3,1,1,3,61
2,2,0,3,62
3,1,0,2,42
2,2,2,3,65
0,2,0,2,46
1,1,0,2,41
3,0,0,3,62
2,1,0,2,40
3,2,2,4,84
2,1,0,3,52
2,3,3,4,94
2,3,2,5,100
2,1,2,2,42
2,2,1,2,48
2,1,3,2,48
2,0,0,1,27
3,2,2,3,77
0,1,0,0,15
2,1,2,3,63
3,2,2,3,68
3,3,2,5,109
1,2,0,3,61
0,1,1,1,25
2,3,1,4,72
2,2,0,3,61
3,0,0,2,44
2,0,2,2,44
0,0,1,0,14
1,0,2,1,32
2,2,2,2,47
2,1,2,2,50
2,2,1,3,59
2,2,2,2,60
3,0,2,2,51
3,3,0,5,90
0,3,0,3,66
1,2,0,2,38
0,0,0,0,4
2,2,2,4,77
1,2,1,2,45
2,0,0,1,31
0,1,3,1,35
2,1,1,2,43
2,2,0,4,69
3,1,0,3,54
0,0,1,0,1
1,0,3,0,24
2,1,0,2,29
2,0,1,0,11
2,1,1,2,49
2,2,0,2,44
1,0,1,0,11
2,0,1,2,48
0,0,2,0,19
2,2,0,2,44
2,2,2,2,60
2,2,0,3,62
2,0,3,0,32
2,2,0,3,52
0,2,2,1,37
3,0,1,1,26
2,3,0,3,52
3,1,0,3,44
