A,B
"(6.079, 7.147]","(815.6, 860.843]"
"(10.197, 10.627]","(756.043, 792.8]"
"(8.97, 9.421]","(1007.6, 1231.643]"
"(12.323, 13.08]","(792.8, 815.6]"
"(10.197, 10.627]","(1231.643, 1446.4]"
"(7.944, 8.241]","(585.2, 646.843]"
"(11.783, 12.323]","(680.6, 713.543]"
"(13.08, 14.95]","(417.09900000000005, 540.814]"
"(12.323, 13.08]","(815.6, 860.843]"
"(10.197, 10.627]","(713.543, 756.043]"
"(10.197, 10.627]","(713.543, 756.043]"
"(13.08, 14.95]","(417.09900000000005, 540.814]"
"(7.944, 8.241]","(1007.6, 1231.643]"
"(11.104, 11.783]","(417.09900000000005, 540.814]"
"(10.627, 11.104]","(713.543, 756.043]"
"(9.421, 9.83]","(860.843, 923.729]"
"(7.147, 7.944]","(815.6, 860.843]"
"(8.241, 8.539]","(1446.4, 2003.1]"
"(10.627, 11.104]","(585.2, 646.843]"
"(8.539, 8.97]","(680.6, 713.543]"
"(11.104, 11.783]","(680.6, 713.543]"
"(11.783, 12.323]","(1231.643, 1446.4]"
"(8.539, 8.97]","(1007.6, 1231.643]"
"(12.323, 13.08]","(417.09900000000005, 540.814]"
"(7.944, 8.241]","(792.8, 815.6]"
"(8.241, 8.539]","(923.729, 1007.6]"
"(13.08, 14.95]","(540.814, 585.2]"
"(13.08, 14.95]","(585.2, 646.843]"
"(13.08, 14.95]","(540.814, 585.2]"
"(13.08, 14.95]","(540.814, 585.2]"
"(11.104, 11.783]","(417.09900000000005, 540.814]"
"(6.079, 7.147]","(680.6, 713.543]"
"(6.079, 7.147]","(860.843, 923.729]"
"(8.241, 8.539]","(860.843, 923.729]"
"(9.421, 9.83]","(923.729, 1007.6]"
"(11.783, 12.323]","(417.09900000000005, 540.814]"
"(6.079, 7.147]","(713.543, 756.043]"
"(10.627, 11.104]","(646.843, 680.6]"
"(11.104, 11.783]","(417.09900000000005, 540.814]"
"(6.079, 7.147]","(646.843, 680.6]"
"(8.241, 8.539]","(860.843, 923.729]"
"(6.079, 7.147]","(756.043, 792.8]"
"(9.421, 9.83]","(585.2, 646.843]"
"(8.241, 8.539]","(680.6, 713.543]"
"(9.421, 9.83]","(815.6, 860.843]"
"(10.197, 10.627]","(1231.643, 1446.4]"
"(10.197, 10.627]","(585.2, 646.843]"
"(8.539, 8.97]","(680.6, 713.543]"
"(8.539, 8.97]","(713.543, 756.043]"
"(10.197, 10.627]","(1446.4, 2003.1]"
"(11.783, 12.323]","(1231.643, 1446.4]"
"(9.421, 9.83]","(860.843, 923.729]"
"(8.97, 9.421]","(792.8, 815.6]"
"(9.83, 10.197]","(815.6, 860.843]"
"(8.97, 9.421]","(585.2, 646.843]"
"(9.83, 10.197]","(646.843, 680.6]"
"(12.323, 13.08]","(713.543, 756.043]"
"(12.323, 13.08]","(680.6, 713.543]"
"(10.197, 10.627]","(1231.643, 1446.4]"
"(13.08, 14.95]","(540.814, 585.2]"
"(8.539, 8.97]","(815.6, 860.843]"
"(8.539, 8.97]","(646.843, 680.6]"
"(6.079, 7.147]","(792.8, 815.6]"
"(8.241, 8.539]","(1446.4, 2003.1]"
"(13.08, 14.95]","(540.814, 585.2]"
"(8.241, 8.539]","(815.6, 860.843]"
"(13.08, 14.95]","(646.843, 680.6]"
"(8.97, 9.421]","(1007.6, 1231.643]"
"(8.241, 8.539]","(756.043, 792.8]"
"(6.079, 7.147]","(756.043, 792.8]"
"(6.079, 7.147]","(756.043, 792.8]"
"(9.83, 10.197]","(585.2, 646.843]"
"(11.104, 11.783]","(417.09900000000005, 540.814]"
"(9.83, 10.197]","(815.6, 860.843]"
"(6.079, 7.147]","(713.543, 756.043]"
"(7.147, 7.944]","(756.043, 792.8]"
"(7.147, 7.944]","(792.8, 815.6]"
"(7.147, 7.944]","(1007.6, 1231.643]"
"(8.97, 9.421]","(923.729, 1007.6]"
