A,B
"(6.071, 6.714]","(756.957, 870.243]"
"(9.881, 10.515]","(756.957, 870.243]"
"(8.614, 9.248]","(983.529, 1096.814]"
"(13.049, 13.683]","(756.957, 870.243]"
"(9.881, 10.515]","(1210.1, 1323.386]"
"(7.981, 8.614]","(530.386, 643.671]"
"(11.782, 12.416]","(643.671, 756.957]"
"(13.683, 14.316]","(530.386, 643.671]"
"(12.416, 13.049]","(756.957, 870.243]"
"(10.515, 11.149]","(643.671, 756.957]"
"(10.515, 11.149]","(643.671, 756.957]"
"(13.049, 13.683]","(415.514, 530.386]"
"(7.981, 8.614]","(983.529, 1096.814]"
"(11.149, 11.782]","(415.514, 530.386]"
"(10.515, 11.149]","(643.671, 756.957]"
"(9.248, 9.881]","(870.243, 983.529]"
"(7.347, 7.981]","(756.957, 870.243]"
"(7.981, 8.614]","(1436.671, 1549.957]"
"(10.515, 11.149]","(530.386, 643.671]"
"(8.614, 9.248]","(643.671, 756.957]"
"(11.149, 11.782]","(643.671, 756.957]"
"(11.782, 12.416]","(1323.386, 1436.671]"
"(8.614, 9.248]","(1096.814, 1210.1]"
"(12.416, 13.049]","(415.514, 530.386]"
"(7.347, 7.981]","(756.957, 870.243]"
"(7.981, 8.614]","(983.529, 1096.814]"
"(13.049, 13.683]","(530.386, 643.671]"
"(13.049, 13.683]","(530.386, 643.671]"
"(13.049, 13.683]","(530.386, 643.671]"
"(13.049, 13.683]","(530.386, 643.671]"
"(11.149, 11.782]","(415.514, 530.386]"
"(6.714, 7.347]","(643.671, 756.957]"
"(6.071, 6.714]","(870.243, 983.529]"
"(7.981, 8.614]","(870.243, 983.529]"
"(9.248, 9.881]","(870.243, 983.529]"
"(11.782, 12.416]","(415.514, 530.386]"
"(6.071, 6.714]","(643.671, 756.957]"
"(10.515, 11.149]","(643.671, 756.957]"
"(11.149, 11.782]","(530.386, 643.671]"
"(6.714, 7.347]","(643.671, 756.957]"
"(7.981, 8.614]","(870.243, 983.529]"
"(6.714, 7.347]","(756.957, 870.243]"
"(9.248, 9.881]","(530.386, 643.671]"
"(7.981, 8.614]","(643.671, 756.957]"
"(9.248, 9.881]","(756.957, 870.243]"
"(10.515, 11.149]","(1210.1, 1323.386]"
"(9.881, 10.515]","(530.386, 643.671]"
"(8.614, 9.248]","(643.671, 756.957]"
"(7.981, 8.614]","(643.671, 756.957]"
"(10.515, 11.149]","(1776.529, 1889.814]"
"(11.782, 12.416]","(1210.1, 1323.386]"
"(9.248, 9.881]","(870.243, 983.529]"
"(9.248, 9.881]","(756.957, 870.243]"
"(9.881, 10.515]","(756.957, 870.243]"
"(8.614, 9.248]","(643.671, 756.957]"
"(9.881, 10.515]","(643.671, 756.957]"
"(12.416, 13.049]","(643.671, 756.957]"
"(12.416, 13.049]","(643.671, 756.957]"
"(9.881, 10.515]","(1323.386, 1436.671]"
"(14.316, 14.95]","(530.386, 643.671]"
"(8.614, 9.248]","(756.957, 870.243]"
"(7.981, 8.614]","(643.671, 756.957]"
"(6.714, 7.347]","(756.957, 870.243]"
"(7.981, 8.614]","(1436.671, 1549.957]"
"(13.049, 13.683]","(530.386, 643.671]"
"(7.981, 8.614]","(756.957, 870.243]"
"(13.683, 14.316]","(643.671, 756.957]"
"(8.614, 9.248]","(1096.814, 1210.1]"
"(7.981, 8.614]","(643.671, 756.957]"
"(6.714, 7.347]","(756.957, 870.243]"
"(6.714, 7.347]","(643.671, 756.957]"
"(9.248, 9.881]","(643.671, 756.957]"
"(11.149, 11.782]","(415.514, 530.386]"
"(9.881, 10.515]","(756.957, 870.243]"
"(6.071, 6.714]","(643.671, 756.957]"
"(6.714, 7.347]","(756.957, 870.243]"
"(6.714, 7.347]","(756.957, 870.243]"
"(7.347, 7.981]","(1096.814, 1210.1]"
"(9.248, 9.881]","(870.243, 983.529]"
"(7.981, 8.614]","(1323.386, 1436.671]"
"(11.782, 12.416]","(756.957, 870.243]"
"(9.248, 9.881]","(756.957, 870.243]"
"(10.515, 11.149]","(415.514, 530.386]"
"(9.248, 9.881]","(983.529, 1096.814]"
"(10.515, 11.149]","(643.671, 756.957]"
"(7.347, 7.981]","(643.671, 756.957]"
"(6.714, 7.347]","(870.243, 983.529]"
"(7.981, 8.614]","(1889.814, 2003.1]"
"(12.416, 13.049]","(1096.814, 1210.1]"
"(9.248, 9.881]","(870.243, 983.529]"
"(7.981, 8.614]","(643.671, 756.957]"
"(8.614, 9.248]","(643.671, 756.957]"
"(14.316, 14.95]","(415.514, 530.386]"
"(7.347, 7.981]","(870.243, 983.529]"
"(8.614, 9.248]","(756.957, 870.243]"
"(7.981, 8.614]","(1663.243, 1776.529]"
"(7.981, 8.614]","(1096.814, 1210.1]"
"(10.515, 11.149]","(643.671, 756.957]"
"(9.248, 9.881]","(983.529, 1096.814]"
"(7.347, 7.981]","(643.671, 756.957]"
"(9.248, 9.881]","(643.671, 756.957]"
"(11.149, 11.782]","(530.386, 643.671]"
"(10.515, 11.149]","(1323.386, 1436.671]"
"(7.347, 7.981]","(530.386, 643.671]"
"(11.782, 12.416]","(415.514, 530.386]"
"(11.782, 12.416]","(530.386, 643.671]"
"(7.981, 8.614]","(643.671, 756.957]"
"(8.614, 9.248]","(643.671, 756.957]"
"(9.248, 9.881]","(756.957, 870.243]"
"(14.316, 14.95]","(643.671, 756.957]"
"(9.881, 10.515]","(643.671, 756.957]"
"(11.782, 12.416]","(530.386, 643.671]"
"(10.515, 11.149]","(643.671, 756.957]"
"(13.049, 13.683]","(530.386, 643.671]"
"(11.782, 12.416]","(530.386, 643.671]"
"(7.981, 8.614]","(643.671, 756.957]"
"(13.049, 13.683]","(1436.671, 1549.957]"
"(13.683, 14.316]","(415.514, 530.386]"
"(9.881, 10.515]","(983.529, 1096.814]"
"(9.881, 10.515]","(1210.1, 1323.386]"
"(11.782, 12.416]","(415.514, 530.386]"
"(9.881, 10.515]","(756.957, 870.243]"
"(9.881, 10.515]","(756.957, 870.243]"
"(9.881, 10.515]","(756.957, 870.243]"
"(9.248, 9.881]","(643.671, 756.957]"
"(10.515, 11.149]","(756.957, 870.243]"
"(10.515, 11.149]","(530.386, 643.671]"
"(8.614, 9.248]","(643.671, 756.957]"
"(9.881, 10.515]","(870.243, 983.529]"
"(7.347, 7.981]","(756.957, 870.243]"
"(7.347, 7.981]","(643.671, 756.957]"
"(10.515, 11.149]","(530.386, 643.671]"
"(8.614, 9.248]","(756.957, 870.243]"
"(8.614, 9.248]","(756.957, 870.243]"
"(7.981, 8.614]","(1323.386, 1436.671]"
"(6.071, 6.714]","(870.243, 983.529]"
"(9.248, 9.881]","(643.671, 756.957]"
"(9.881, 10.515]","(1663.243, 1776.529]"
"(7.981, 8.614]","(1323.386, 1436.671]"
"(7.981, 8.614]","(1323.386, 1436.671]"
"(11.782, 12.416]","(643.671, 756.957]"
"(9.248, 9.881]","(643.671, 756.957]"
"(10.515, 11.149]","(1096.814, 1210.1]"
"(9.248, 9.881]","(756.957, 870.243]"
"(9.248, 9.881]","(756.957, 870.243]"
"(9.248, 9.881]","(983.529, 1096.814]"
"(7.981, 8.614]","(1889.814, 2003.1]"
"(11.149, 11.782]","(870.243, 983.529]"
"(8.614, 9.248]","(756.957, 870.243]"
"(8.614, 9.248]","(756.957, 870.243]"
"(9.881, 10.515]","(1549.957, 1663.243]"
"(11.149, 11.782]","(530.386, 643.671]"
"(7.347, 7.981]","(756.957, 870.243]"
"(6.071, 6.714]","(643.671, 756.957]"
"(13.049, 13.683]","(530.386, 643.671]"
"(7.981, 8.614]","(1436.671, 1549.957]"
"(7.347, 7.981]","(643.671, 756.957]"
"(6.071, 6.714]","(756.957, 870.243]"
"(9.881, 10.515]","(756.957, 870.243]"
"(11.149, 11.782]","(643.671, 756.957]"
"(7.981, 8.614]","(756.957, 870.243]"
"(9.248, 9.881]","(643.671, 756.957]"
"(10.515, 11.149]","(870.243, 983.529]"
"(9.881, 10.515]","(1210.1, 1323.386]"
"(9.881, 10.515]","(643.671, 756.957]"
"(9.881, 10.515]","(756.957, 870.243]"
"(9.881, 10.515]","(643.671, 756.957]"
"(7.981, 8.614]","(983.529, 1096.814]"
"(6.071, 6.714]","(643.671, 756.957]"
"(8.614, 9.248]","(870.243, 983.529]"
"(6.714, 7.347]","(756.957, 870.243]"
"(7.981, 8.614]","(983.529, 1096.814]"
"(11.149, 11.782]","(643.671, 756.957]"
"(10.515, 11.149]","(1323.386, 1436.671]"
"(8.614, 9.248]","(756.957, 870.243]"
"(11.149, 11.782]","(1776.529, 1889.814]"
"(7.347, 7.981]","(415.514, 530.386]"
"(9.881, 10.515]","(870.243, 983.529]"
"(11.782, 12.416]","(756.957, 870.243]"
"(9.248, 9.881]","(870.243, 983.529]"
"(7.347, 7.981]","(643.671, 756.957]"
"(11.782, 12.416]","(415.514, 530.386]"
"(9.881, 10.515]","(870.243, 983.529]"
"(10.515, 11.149]","(643.671, 756.957]"
"(8.614, 9.248]","(756.957, 870.243]"
"(9.248, 9.881]","(643.671, 756.957]"
"(12.416, 13.049]","(643.671, 756.957]"
"(9.881, 10.515]","(643.671, 756.957]"
"(12.416, 13.049]","(530.386, 643.671]"
"(11.782, 12.416]","(415.514, 530.386]"
"(9.248, 9.881]","(983.529, 1096.814]"
"(7.981, 8.614]","(1210.1, 1323.386]"
"(6.714, 7.347]","(756.957, 870.243]"
"(7.347, 7.981]","(756.957, 870.243]"
"(7.981, 8.614]","(643.671, 756.957]"
"(13.683, 14.316]","(530.386, 643.671]"
"(8.614, 9.248]","(983.529, 1096.814]"
"(6.714, 7.347]","(756.957, 870.243]"
"(8.614, 9.248]","(870.243, 983.529]"
"(7.981, 8.614]","(756.957, 870.243]"
"(7.981, 8.614]","(643.671, 756.957]"
"(7.347, 7.981]","(756.957, 870.243]"
"(9.248, 9.881]","(756.957, 870.243]"
"(10.515, 11.149]","(643.671, 756.957]"
"(10.515, 11.149]","(530.386, 643.671]"
"(7.347, 7.981]","(1210.1, 1323.386]"
"(7.347, 7.981]","(756.957, 870.243]"
"(9.881, 10.515]","(530.386, 643.671]"
"(11.149, 11.782]","(415.514, 530.386]"
"(6.714, 7.347]","(870.243, 983.529]"
"(7.981, 8.614]","(643.671, 756.957]"
"(8.614, 9.248]","(643.671, 756.957]"
"(7.347, 7.981]","(1096.814, 1210.1]"
"(9.881, 10.515]","(643.671, 756.957]"
"(12.416, 13.049]","(530.386, 643.671]"
"(12.416, 13.049]","(870.243, 983.529]"
"(11.782, 12.416]","(1096.814, 1210.1]"
"(10.515, 11.149]","(643.671, 756.957]"
"(12.416, 13.049]","(870.243, 983.529]"
"(7.347, 7.981]","(983.529, 1096.814]"
"(13.683, 14.316]","(530.386, 643.671]"
"(11.149, 11.782]","(870.243, 983.529]"
"(11.149, 11.782]","(870.243, 983.529]"
"(11.149, 11.782]","(870.243, 983.529]"
"(7.347, 7.981]","(643.671, 756.957]"
"(13.049, 13.683]","(530.386, 643.671]"
"(6.714, 7.347]","(643.671, 756.957]"
"(9.248, 9.881]","(756.957, 870.243]"
"(9.881, 10.515]","(870.243, 983.529]"
"(12.416, 13.049]","(415.514, 530.386]"
"(7.981, 8.614]","(530.386, 643.671]"
"(13.049, 13.683]","(530.386, 643.671]"
"(8.614, 9.248]","(643.671, 756.957]"
"(9.881, 10.515]","(643.671, 756.957]"
"(6.714, 7.347]","(756.957, 870.243]"
"(6.714, 7.347]","(870.243, 983.529]"
"(10.515, 11.149]","(643.671, 756.957]"
"(9.248, 9.881]","(756.957, 870.243]"
"(11.782, 12.416]","(1210.1, 1323.386]"
"(9.881, 10.515]","(1776.529, 1889.814]"
"(9.248, 9.881]","(756.957, 870.243]"
"(8.614, 9.248]","(643.671, 756.957]"
"(13.049, 13.683]","(530.386, 643.671]"
"(7.981, 8.614]","(756.957, 870.243]"
"(13.049, 13.683]","(870.243, 983.529]"
"(10.515, 11.149]","(643.671, 756.957]"
"(8.614, 9.248]","(756.957, 870.243]"
"(11.782, 12.416]","(530.386, 643.671]"
"(9.881, 10.515]","(643.671, 756.957]"
"(13.049, 13.683]","(530.386, 643.671]"
"(13.049, 13.683]","(530.386, 643.671]"
"(10.515, 11.149]","(415.514, 530.386]"
"(12.416, 13.049]","(1889.814, 2003.1]"
"(6.714, 7.347]","(870.243, 983.529]"
"(11.782, 12.416]","(530.386, 643.671]"
"(12.416, 13.049]","(1663.243, 1776.529]"
"(12.416, 13.049]","(1663.243, 1776.529]"
"(7.347, 7.981]","(870.243, 983.529]"
"(7.347, 7.981]","(983.529, 1096.814]"
"(7.981, 8.614]","(870.243, 983.529]"
"(11.782, 12.416]","(983.529, 1096.814]"
"(11.782, 12.416]","(530.386, 643.671]"
"(7.981, 8.614]","(756.957, 870.243]"
"(11.149, 11.782]","(1549.957, 1663.243]"
"(8.614, 9.248]","(756.957, 870.243]"
"(12.416, 13.049]","(1776.529, 1889.814]"
"(6.714, 7.347]","(756.957, 870.243]"
"(6.714, 7.347]","(756.957, 870.243]"
"(10.515, 11.149]","(870.243, 983.529]"
"(8.614, 9.248]","(756.957, 870.243]"
"(7.981, 8.614]","(1663.243, 1776.529]"
"(7.981, 8.614]","(756.957, 870.243]"
"(8.614, 9.248]","(643.671, 756.957]"
"(8.614, 9.248]","(756.957, 870.243]"
"(10.515, 11.149]","(1210.1, 1323.386]"
"(9.248, 9.881]","(870.243, 983.529]"
"(7.347, 7.981]","(530.386, 643.671]"
"(7.981, 8.614]","(1436.671, 1549.957]"
"(10.515, 11.149]","(1210.1, 1323.386]"
"(8.614, 9.248]","(983.529, 1096.814]"
"(12.416, 13.049]","(1436.671, 1549.957]"
"(8.614, 9.248]","(870.243, 983.529]"
"(9.881, 10.515]","(1096.814, 1210.1]"
"(9.248, 9.881]","(756.957, 870.243]"
"(11.782, 12.416]","(870.243, 983.529]"
"(10.515, 11.149]","(1323.386, 1436.671]"
"(11.149, 11.782]","(530.386, 643.671]"
"(11.149, 11.782]","(530.386, 643.671]"
"(9.881, 10.515]","(756.957, 870.243]"
"(11.782, 12.416]","(756.957, 870.243]"
"(12.416, 13.049]","(870.243, 983.529]"
"(9.248, 9.881]","(756.957, 870.243]"
"(9.881, 10.515]","(643.671, 756.957]"
"(9.881, 10.515]","(643.671, 756.957]"
"(11.782, 12.416]","(415.514, 530.386]"
"(9.248, 9.881]","(983.529, 1096.814]"
"(12.416, 13.049]","(756.957, 870.243]"
"(8.614, 9.248]","(643.671, 756.957]"
"(8.614, 9.248]","(643.671, 756.957]"
"(8.614, 9.248]","(643.671, 756.957]"
"(11.149, 11.782]","(1549.957, 1663.243]"
"(12.416, 13.049]","(530.386, 643.671]"
"(11.782, 12.416]","(530.386, 643.671]"
"(6.714, 7.347]","(983.529, 1096.814]"
"(7.981, 8.614]","(1210.1, 1323.386]"
"(7.981, 8.614]","(1323.386, 1436.671]"
"(7.981, 8.614]","(1889.814, 2003.1]"
"(11.149, 11.782]","(1436.671, 1549.957]"
