A,B,C,D,E
"(19.948, 21.66]","(8.557, 12.031]","(13.602, 15.293]","(58.813, 71.601]","(219.029, 257.347]"
"(21.66, 23.259]","(25.371, 27.651]","(18.732, 20.601]","(119.745, 127.815]","(407.969, 430.705]"
"(16.725, 18.333]","(-4.5520000000000005, 8.557]","(11.89, 13.602]","(5.337, 58.813]","(53.568000000000005, 219.029]"
"(18.333, 19.948]","(27.651, 30.652]","(18.732, 20.601]","(119.745, 127.815]","(407.969, 430.705]"
"(8.793, 12.44]","(8.557, 12.031]","(20.601, 22.777]","(5.337, 58.813]","(53.568000000000005, 219.029]"
"(-4.7700000000000005, 8.793]","(30.652, 47.541]","(18.732, 20.601]","(99.582, 105.659]","(363.089, 383.821]"
"(21.66, 23.259]","(-4.5520000000000005, 8.557]","(4.38, 7.762]","(5.337, 58.813]","(53.568000000000005, 219.029]"
"(12.44, 14.884]","(12.031, 14.431]","(13.602, 15.293]","(58.813, 71.601]","(219.029, 257.347]"
"(21.66, 23.259]","(21.511, 23.29]","(11.89, 13.602]","(105.659, 111.98]","(363.089, 383.821]"
"(25.37, 27.878]","(23.29, 25.371]","(7.762, 10.186]","(127.815, 139.597]","(407.969, 430.705]"
"(18.333, 19.948]","(21.511, 23.29]","(15.293, 16.779]","(105.659, 111.98]","(363.089, 383.821]"
"(21.66, 23.259]","(14.431, 16.337]","(26.182, 45.179]","(79.677, 86.71]","(326.941, 345.863]"
"(-4.7700000000000005, 8.793]","(19.736, 21.511]","(-10.795, 4.38]","(71.601, 79.677]","(219.029, 257.347]"
"(25.37, 27.878]","(8.557, 12.031]","(7.762, 10.186]","(86.71, 93.408]","(281.045, 304.64]"
"(-4.7700000000000005, 8.793]","(19.736, 21.511]","(16.779, 18.732]","(71.601, 79.677]","(257.347, 281.045]"
"(14.884, 16.725]","(18.174, 19.736]","(7.762, 10.186]","(86.71, 93.408]","(281.045, 304.64]"
"(8.793, 12.44]","(27.651, 30.652]","(15.293, 16.779]","(111.98, 119.745]","(407.969, 430.705]"
"(19.948, 21.66]","(16.337, 18.174]","(13.602, 15.293]","(86.71, 93.408]","(304.64, 326.941]"
"(18.333, 19.948]","(27.651, 30.652]","(18.732, 20.601]","(127.815, 139.597]","(469.476, 627.266]"
"(-4.7700000000000005, 8.793]","(21.511, 23.29]","(4.38, 7.762]","(71.601, 79.677]","(219.029, 257.347]"
"(14.884, 16.725]","(-4.5520000000000005, 8.557]","(4.38, 7.762]","(5.337, 58.813]","(53.568000000000005, 219.029]"
"(8.793, 12.44]","(19.736, 21.511]","(-10.795, 4.38]","(58.813, 71.601]","(53.568000000000005, 219.029]"
"(14.884, 16.725]","(16.337, 18.174]","(22.777, 26.182]","(79.677, 86.71]","(304.64, 326.941]"
"(21.66, 23.259]","(8.557, 12.031]","(22.777, 26.182]","(58.813, 71.601]","(257.347, 281.045]"
"(-4.7700000000000005, 8.793]","(25.371, 27.651]","(7.762, 10.186]","(86.71, 93.408]","(281.045, 304.64]"
"(30.959, 48.397]","(18.174, 19.736]","(26.182, 45.179]","(119.745, 127.815]","(430.705, 469.476]"
"(14.884, 16.725]","(30.652, 47.541]","(-10.795, 4.38]","(127.815, 139.597]","(383.821, 407.969]"
"(25.37, 27.878]","(18.174, 19.736]","(-10.795, 4.38]","(111.98, 119.745]","(326.941, 345.863]"
"(30.959, 48.397]","(14.431, 16.337]","(20.601, 22.777]","(119.745, 127.815]","(407.969, 430.705]"
"(-4.7700000000000005, 8.793]","(8.557, 12.031]","(-10.795, 4.38]","(5.337, 58.813]","(53.568000000000005, 219.029]"
"(14.884, 16.725]","(21.511, 23.29]","(15.293, 16.779]","(93.408, 99.582]","(326.941, 345.863]"
"(16.725, 18.333]","(19.736, 21.511]","(20.601, 22.777]","(105.659, 111.98]","(383.821, 407.969]"
"(12.44, 14.884]","(14.431, 16.337]","(10.186, 11.89]","(71.601, 79.677]","(257.347, 281.045]"
"(27.878, 30.959]","(-4.5520000000000005, 8.557]","(20.601, 22.777]","(5.337, 58.813]","(219.029, 257.347]"
"(18.333, 19.948]","(25.371, 27.651]","(11.89, 13.602]","(105.659, 111.98]","(345.863, 363.089]"
"(27.878, 30.959]","(18.174, 19.736]","(13.602, 15.293]","(119.745, 127.815]","(383.821, 407.969]"
