Z1,Y,T
"(3.349, 4.215]","(-3.478, -1.032]",0
"(2.483, 3.349]","(-3.478, -1.032]",0
"(1.617, 2.483]","(-1.032, 1.393]",1
"(3.349, 4.215]","(-1.032, 1.393]",1
"(2.483, 3.349]","(-1.032, 1.393]",0
"(2.483, 3.349]","(3.819, 6.245]",1
"(2.483, 3.349]","(1.393, 3.819]",1
"(4.215, 5.081]","(-1.032, 1.393]",0
"(2.483, 3.349]","(3.819, 6.245]",1
"(2.483, 3.349]","(-1.032, 1.393]",0
"(1.617, 2.483]","(1.393, 3.819]",1
"(3.349, 4.215]","(1.393, 3.819]",1
"(1.617, 2.483]","(-1.032, 1.393]",0
"(1.617, 2.483]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-1.032, 1.393]",0
"(3.349, 4.215]","(-1.032, 1.393]",0
"(3.349, 4.215]","(-1.032, 1.393]",1
"(4.215, 5.081]","(-1.032, 1.393]",0
"(1.617, 2.483]","(-1.032, 1.393]",0
"(3.349, 4.215]","(1.393, 3.819]",1
"(4.215, 5.081]","(1.393, 3.819]",0
"(2.483, 3.349]","(-1.032, 1.393]",0
"(2.483, 3.349]","(1.393, 3.819]",1
"(3.349, 4.215]","(1.393, 3.819]",0
"(2.483, 3.349]","(-3.478, -1.032]",0
"(2.483, 3.349]","(-1.032, 1.393]",1
"(2.483, 3.349]","(-1.032, 1.393]",0
"(2.483, 3.349]","(6.245, 8.671]",1
"(1.617, 2.483]","(-1.032, 1.393]",1
"(5.947, 6.813]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-3.478, -1.032]",1
"(4.215, 5.081]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-1.032, 1.393]",0
"(4.215, 5.081]","(-1.032, 1.393]",0
"(4.215, 5.081]","(-1.032, 1.393]",0
"(1.617, 2.483]","(-1.032, 1.393]",0
"(3.349, 4.215]","(-1.032, 1.393]",0
"(3.349, 4.215]","(1.393, 3.819]",1
"(3.349, 4.215]","(-1.032, 1.393]",0
"(3.349, 4.215]","(-3.478, -1.032]",0
"(1.617, 2.483]","(1.393, 3.819]",1
"(2.483, 3.349]","(1.393, 3.819]",1
"(4.215, 5.081]","(-1.032, 1.393]",0
"(3.349, 4.215]","(1.393, 3.819]",1
"(4.215, 5.081]","(-1.032, 1.393]",0
"(3.349, 4.215]","(-1.032, 1.393]",0
"(1.617, 2.483]","(-3.478, -1.032]",0
"(1.617, 2.483]","(1.393, 3.819]",1
"(1.617, 2.483]","(-1.032, 1.393]",0
"(3.349, 4.215]","(1.393, 3.819]",1
"(3.349, 4.215]","(-1.032, 1.393]",0
"(4.215, 5.081]","(-3.478, -1.032]",0
"(3.349, 4.215]","(-1.032, 1.393]",1
"(4.215, 5.081]","(-1.032, 1.393]",0
"(1.617, 2.483]","(3.819, 6.245]",1
"(3.349, 4.215]","(-1.032, 1.393]",0
"(1.617, 2.483]","(-1.032, 1.393]",1
"(1.617, 2.483]","(1.393, 3.819]",1
"(2.483, 3.349]","(1.393, 3.819]",0
"(0.751, 1.617]","(1.393, 3.819]",1
"(2.483, 3.349]","(1.393, 3.819]",1
"(4.215, 5.081]","(-1.032, 1.393]",0
"(2.483, 3.349]","(1.393, 3.819]",1
"(3.349, 4.215]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-1.032, 1.393]",1
"(-0.122, 0.751]","(1.393, 3.819]",1
"(2.483, 3.349]","(1.393, 3.819]",1
"(1.617, 2.483]","(1.393, 3.819]",0
"(2.483, 3.349]","(-1.032, 1.393]",0
"(3.349, 4.215]","(1.393, 3.819]",0
"(2.483, 3.349]","(-1.032, 1.393]",1
"(4.215, 5.081]","(1.393, 3.819]",0
"(2.483, 3.349]","(1.393, 3.819]",0
"(2.483, 3.349]","(-1.032, 1.393]",1
"(1.617, 2.483]","(-1.032, 1.393]",1
"(2.483, 3.349]","(-1.032, 1.393]",0
"(0.751, 1.617]","(3.819, 6.245]",1
"(1.617, 2.483]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-1.032, 1.393]",0
"(1.617, 2.483]","(-1.032, 1.393]",0
"(0.751, 1.617]","(-1.032, 1.393]",1
"(0.751, 1.617]","(3.819, 6.245]",1
"(1.617, 2.483]","(1.393, 3.819]",1
"(2.483, 3.349]","(1.393, 3.819]",1
"(3.349, 4.215]","(-1.032, 1.393]",0
"(1.617, 2.483]","(-3.478, -1.032]",0
"(4.215, 5.081]","(-1.032, 1.393]",0
"(3.349, 4.215]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-1.032, 1.393]",0
"(3.349, 4.215]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-3.478, -1.032]",0
"(2.483, 3.349]","(-3.478, -1.032]",0
"(4.215, 5.081]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-1.032, 1.393]",1
"(2.483, 3.349]","(1.393, 3.819]",0
"(2.483, 3.349]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-1.032, 1.393]",1
"(3.349, 4.215]","(-1.032, 1.393]",0
"(0.751, 1.617]","(1.393, 3.819]",1
"(2.483, 3.349]","(1.393, 3.819]",1
"(4.215, 5.081]","(-3.478, -1.032]",0
"(3.349, 4.215]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-1.032, 1.393]",1
"(3.349, 4.215]","(3.819, 6.245]",1
"(2.483, 3.349]","(-1.032, 1.393]",1
"(2.483, 3.349]","(-1.032, 1.393]",0
"(3.349, 4.215]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-1.032, 1.393]",0
"(2.483, 3.349]","(1.393, 3.819]",1
"(1.617, 2.483]","(-1.032, 1.393]",1
"(2.483, 3.349]","(-1.032, 1.393]",1
"(1.617, 2.483]","(-1.032, 1.393]",1
"(2.483, 3.349]","(-3.478, -1.032]",0
"(5.081, 5.947]","(1.393, 3.819]",0
"(2.483, 3.349]","(-1.032, 1.393]",1
"(0.751, 1.617]","(1.393, 3.819]",1
"(2.483, 3.349]","(1.393, 3.819]",1
"(3.349, 4.215]","(1.393, 3.819]",1
"(1.617, 2.483]","(-1.032, 1.393]",1
"(3.349, 4.215]","(-1.032, 1.393]",0
"(1.617, 2.483]","(-3.478, -1.032]",0
"(5.081, 5.947]","(-1.032, 1.393]",0
"(1.617, 2.483]","(1.393, 3.819]",1
"(3.349, 4.215]","(-1.032, 1.393]",1
"(3.349, 4.215]","(-3.478, -1.032]",0
"(2.483, 3.349]","(3.819, 6.245]",1
"(3.349, 4.215]","(1.393, 3.819]",0
"(2.483, 3.349]","(-1.032, 1.393]",0
"(4.215, 5.081]","(-3.478, -1.032]",1
"(3.349, 4.215]","(-1.032, 1.393]",0
"(3.349, 4.215]","(-1.032, 1.393]",0
"(1.617, 2.483]","(-1.032, 1.393]",1
"(0.751, 1.617]","(-1.032, 1.393]",1
"(3.349, 4.215]","(-1.032, 1.393]",0
"(3.349, 4.215]","(-1.032, 1.393]",0
"(4.215, 5.081]","(-1.032, 1.393]",0
"(1.617, 2.483]","(-1.032, 1.393]",0
"(2.483, 3.349]","(-1.032, 1.393]",1
