Z1,Y,T
"(3.535, 3.696]","(-1.162, -0.73]",0
"(2.89, 3.016]","(-3.459, -1.162]",0
"(1.715, 1.991]","(-0.432, -0.199]",1
"(3.86, 4.092]","(0.889, 1.082]",1
"(3.016, 3.145]","(-0.432, -0.199]",0
"(3.28, 3.413]","(3.693, 15.948]",1
"(2.89, 3.016]","(1.648, 1.936]",1
"(4.657, 6.813]","(0.291, 0.448]",0
"(2.89, 3.016]","(3.693, 15.948]",1
"(2.761, 2.89]","(-0.73, -0.432]",0
"(1.715, 1.991]","(2.686, 3.693]",1
"(3.696, 3.86]","(2.24, 2.686]",1
"(1.715, 1.991]","(-0.73, -0.432]",0
"(1.991, 2.185]","(-1.162, -0.73]",0
"(2.62, 2.761]","(1.244, 1.435]",0
"(3.28, 3.413]","(-0.432, -0.199]",0
"(3.28, 3.413]","(0.152, 0.291]",1
"(4.308, 4.657]","(-0.432, -0.199]",0
"(2.185, 2.337]","(0.291, 0.448]",0
"(3.696, 3.86]","(1.936, 2.24]",1
"(4.092, 4.308]","(1.648, 1.936]",0
"(3.016, 3.145]","(-0.432, -0.199]",0
"(2.62, 2.761]","(2.686, 3.693]",1
"(3.413, 3.535]","(2.24, 2.686]",0
"(2.62, 2.761]","(-3.459, -1.162]",0
"(2.477, 2.62]","(-1.162, -0.73]",1
"(3.145, 3.28]","(-1.162, -0.73]",0
"(3.145, 3.28]","(3.693, 15.948]",1
"(1.715, 1.991]","(0.152, 0.291]",1
"(4.657, 6.813]","(0.448, 0.591]",0
"(3.145, 3.28]","(-3.459, -1.162]",1
"(4.657, 6.813]","(0.152, 0.291]",0
"(2.761, 2.89]","(0.733, 0.889]",0
"(4.308, 4.657]","(0.448, 0.591]",0
"(4.657, 6.813]","(0.889, 1.082]",0
"(1.991, 2.185]","(1.082, 1.244]",0
"(3.86, 4.092]","(-1.162, -0.73]",0
"(3.535, 3.696]","(1.648, 1.936]",1
"(4.092, 4.308]","(1.082, 1.244]",0
"(3.535, 3.696]","(-1.162, -0.73]",0
"(2.185, 2.337]","(1.435, 1.648]",1
"(2.477, 2.62]","(2.686, 3.693]",1
"(4.308, 4.657]","(1.082, 1.244]",0
"(3.535, 3.696]","(1.936, 2.24]",1
"(4.092, 4.308]","(-1.162, -0.73]",0
"(3.413, 3.535]","(-1.162, -0.73]",0
"(2.337, 2.477]","(-3.459, -1.162]",0
"(2.337, 2.477]","(1.936, 2.24]",1
"(2.337, 2.477]","(1.244, 1.435]",0
"(4.092, 4.308]","(2.686, 3.693]",1
"(3.86, 4.092]","(-1.162, -0.73]",0
"(4.657, 6.813]","(-3.459, -1.162]",0
"(3.413, 3.535]","(0.152, 0.291]",1
