Z1,Y,T
"(3.535, 3.86]","(-3.459, -0.73]",0
"(2.761, 3.016]","(-3.459, -0.73]",0
"(1.715, 2.185]","(-0.73, -0.199]",1
"(3.86, 4.308]","(0.733, 1.082]",1
"(3.016, 3.28]","(-0.73, -0.199]",0
"(3.28, 3.535]","(2.686, 15.948]",1
"(2.761, 3.016]","(1.435, 1.936]",1
"(4.308, 6.813]","(0.152, 0.448]",0
"(2.761, 3.016]","(2.686, 15.948]",1
"(2.761, 3.016]","(-0.73, -0.199]",0
"(1.715, 2.185]","(2.686, 15.948]",1
"(3.535, 3.86]","(1.936, 2.686]",1
"(1.715, 2.185]","(-0.73, -0.199]",0
"(1.715, 2.185]","(-3.459, -0.73]",0
"(2.477, 2.761]","(1.082, 1.435]",0
"(3.28, 3.535]","(-0.73, -0.199]",0
"(3.28, 3.535]","(0.152, 0.448]",1
"(4.308, 6.813]","(-0.73, -0.199]",0
"(2.185, 2.477]","(0.152, 0.448]",0
"(3.535, 3.86]","(1.936, 2.686]",1
"(3.86, 4.308]","(1.435, 1.936]",0
"(3.016, 3.28]","(-0.73, -0.199]",0
"(2.477, 2.761]","(2.686, 15.948]",1
"(3.28, 3.535]","(1.936, 2.686]",0
"(2.477, 2.761]","(-3.459, -0.73]",0
"(2.477, 2.761]","(-3.459, -0.73]",1
"(3.016, 3.28]","(-3.459, -0.73]",0
"(3.016, 3.28]","(2.686, 15.948]",1
"(1.715, 2.185]","(0.152, 0.448]",1
"(4.308, 6.813]","(0.448, 0.733]",0
"(3.016, 3.28]","(-3.459, -0.73]",1
"(4.308, 6.813]","(0.152, 0.448]",0
"(2.761, 3.016]","(0.733, 1.082]",0
"(4.308, 6.813]","(0.448, 0.733]",0
"(4.308, 6.813]","(0.733, 1.082]",0
"(1.715, 2.185]","(1.082, 1.435]",0
"(3.86, 4.308]","(-3.459, -0.73]",0
"(3.535, 3.86]","(1.435, 1.936]",1
"(3.86, 4.308]","(1.082, 1.435]",0
"(3.535, 3.86]","(-3.459, -0.73]",0
"(2.185, 2.477]","(1.435, 1.936]",1
"(2.477, 2.761]","(2.686, 15.948]",1
"(4.308, 6.813]","(1.082, 1.435]",0
"(3.535, 3.86]","(1.936, 2.686]",1
"(3.86, 4.308]","(-3.459, -0.73]",0
"(3.28, 3.535]","(-3.459, -0.73]",0
"(2.185, 2.477]","(-3.459, -0.73]",0
"(2.185, 2.477]","(1.936, 2.686]",1
"(2.185, 2.477]","(1.082, 1.435]",0
"(3.86, 4.308]","(2.686, 15.948]",1
"(3.86, 4.308]","(-3.459, -0.73]",0
"(4.308, 6.813]","(-3.459, -0.73]",0
