Z1,Y,T
"(3.557, 3.742]","(-3.459, -1.072]",0
"(2.945, 3.095]","(-3.459, -1.072]",0
"(1.843, 2.096]","(-0.63, -0.301]",1
"(3.97, 4.228]","(0.828, 1.036]",1
"(3.095, 3.248]","(-0.63, -0.301]",0
"(3.248, 3.402]","(3.452, 15.948]",1
"(2.945, 3.095]","(1.734, 2.077]",1
"(4.587, 6.813]","(0.304, 0.489]",0
"(2.945, 3.095]","(3.452, 15.948]",1
"(2.791, 2.945]","(-0.63, -0.301]",0
"(1.403, 1.843]","(2.513, 3.452]",1
"(3.742, 3.97]","(2.077, 2.513]",1
"(1.843, 2.096]","(-1.072, -0.63]",0
"(1.843, 2.096]","(-1.072, -0.63]",0
"(2.63, 2.791]","(1.234, 1.465]",0
"(3.248, 3.402]","(-0.63, -0.301]",0
"(3.248, 3.402]","(0.139, 0.304]",1
"(4.228, 4.587]","(-0.63, -0.301]",0
"(2.301, 2.459]","(0.304, 0.489]",0
"(3.557, 3.742]","(1.734, 2.077]",1
"(3.97, 4.228]","(1.734, 2.077]",0
"(2.945, 3.095]","(-0.63, -0.301]",0
"(2.63, 2.791]","(2.513, 3.452]",1
"(3.402, 3.557]","(2.513, 3.452]",0
"(2.63, 2.791]","(-3.459, -1.072]",0
"(2.459, 2.63]","(-1.072, -0.63]",1
"(3.248, 3.402]","(-1.072, -0.63]",0
"(3.095, 3.248]","(3.452, 15.948]",1
"(1.843, 2.096]","(0.139, 0.304]",1
"(4.587, 6.813]","(0.489, 0.649]",0
"(3.095, 3.248]","(-3.459, -1.072]",1
"(4.587, 6.813]","(0.139, 0.304]",0
"(2.791, 2.945]","(0.649, 0.828]",0
"(4.587, 6.813]","(0.489, 0.649]",0
"(4.587, 6.813]","(0.828, 1.036]",0
"(1.843, 2.096]","(1.036, 1.234]",0
"(3.742, 3.97]","(-1.072, -0.63]",0
"(3.557, 3.742]","(1.465, 1.734]",1
"(3.97, 4.228]","(1.036, 1.234]",0
"(3.557, 3.742]","(-3.459, -1.072]",0
"(2.096, 2.301]","(1.465, 1.734]",1
"(2.459, 2.63]","(3.452, 15.948]",1
"(4.228, 4.587]","(1.036, 1.234]",0
"(3.557, 3.742]","(2.077, 2.513]",1
"(3.97, 4.228]","(-1.072, -0.63]",0
"(3.402, 3.557]","(-1.072, -0.63]",0
"(2.301, 2.459]","(-3.459, -1.072]",0
"(2.301, 2.459]","(1.734, 2.077]",1
"(2.301, 2.459]","(1.234, 1.465]",0
"(3.97, 4.228]","(2.513, 3.452]",1
"(3.742, 3.97]","(-1.072, -0.63]",0
"(4.587, 6.813]","(-3.459, -1.072]",0
"(3.402, 3.557]","(0.139, 0.304]",1
"(4.587, 6.813]","(0.649, 0.828]",0
"(2.096, 2.301]","(3.452, 15.948]",1
"(3.742, 3.97]","(0.649, 0.828]",0
"(2.096, 2.301]","(0.828, 1.036]",1
