Z1,Y,T
"(3.349, 3.58]","(-1.518, -0.871]",0
"(2.887, 3.118]","(-2.164, -1.518]",0
"(1.732, 1.963]","(-0.871, -0.224]",1
"(4.042, 4.273]","(0.423, 1.07]",1
"(2.887, 3.118]","(-0.871, -0.224]",0
"(3.118, 3.349]","(3.658, 4.304]",1
"(2.887, 3.118]","(1.717, 2.364]",1
"(4.735, 4.965]","(-0.224, 0.423]",0
"(2.887, 3.118]","(4.304, 4.951]",1
"(2.656, 2.887]","(-0.871, -0.224]",0
"(1.501, 1.732]","(3.011, 3.658]",1
"(3.811, 4.042]","(2.364, 3.011]",1
"(1.963, 2.194]","(-0.871, -0.224]",0
"(1.963, 2.194]","(-0.871, -0.224]",0
"(2.425, 2.656]","(1.07, 1.717]",0
"(3.349, 3.58]","(-0.871, -0.224]",0
"(3.349, 3.58]","(-0.224, 0.423]",1
"(4.273, 4.504]","(-0.871, -0.224]",0
"(2.194, 2.425]","(-0.224, 0.423]",0
"(3.58, 3.811]","(1.717, 2.364]",1
"(4.042, 4.273]","(1.717, 2.364]",0
"(2.887, 3.118]","(-0.871, -0.224]",0
"(2.425, 2.656]","(2.364, 3.011]",1
"(3.349, 3.58]","(2.364, 3.011]",0
"(2.656, 2.887]","(-2.164, -1.518]",0
"(2.425, 2.656]","(-0.871, -0.224]",1
"(3.118, 3.349]","(-1.518, -0.871]",0
"(3.118, 3.349]","(6.892, 7.539]",1
"(1.963, 2.194]","(-0.224, 0.423]",1
"(6.12, 6.351]","(0.423, 1.07]",0
"(3.118, 3.349]","(-2.164, -1.518]",1
"(4.504, 4.735]","(-0.224, 0.423]",0
"(2.656, 2.887]","(0.423, 1.07]",0
"(4.504, 4.735]","(0.423, 1.07]",0
"(4.735, 4.965]","(0.423, 1.07]",0
"(1.963, 2.194]","(1.07, 1.717]",0
"(3.811, 4.042]","(-1.518, -0.871]",0
"(3.58, 3.811]","(1.07, 1.717]",1
"(4.042, 4.273]","(1.07, 1.717]",0
"(3.58, 3.811]","(-1.518, -0.871]",0
"(2.194, 2.425]","(1.07, 1.717]",1
"(2.425, 2.656]","(3.011, 3.658]",1
"(4.273, 4.504]","(1.07, 1.717]",0
"(3.58, 3.811]","(1.717, 2.364]",1
"(4.042, 4.273]","(-0.871, -0.224]",0
"(3.349, 3.58]","(-0.871, -0.224]",0
"(2.425, 2.656]","(-1.518, -0.871]",0
"(2.194, 2.425]","(1.717, 2.364]",1
"(2.194, 2.425]","(1.07, 1.717]",0
"(4.042, 4.273]","(3.011, 3.658]",1
"(3.811, 4.042]","(-1.518, -0.871]",0
"(4.965, 5.196]","(-2.164, -1.518]",0
"(3.349, 3.58]","(-0.224, 0.423]",1
"(4.965, 5.196]","(0.423, 1.07]",0
"(1.963, 2.194]","(4.304, 4.951]",1
"(3.58, 3.811]","(0.423, 1.07]",0
