A,B,C,D,E
"(20.01, 20.454]","(21.481, 21.947]","(13.998, 14.456]","(103.701, 105.571]","(357.366, 362.917]"
"(20.454, 20.897]","(18.682, 19.149]","(14.456, 14.913]","(96.221, 98.091]","(335.162, 340.713]"
"(19.124, 19.567]","(18.682, 19.149]","(16.744, 17.201]","(90.611, 92.481]","(324.06, 329.611]"
"(19.567, 20.01]","(21.015, 21.481]","(13.54, 13.998]","(101.831, 103.701]","(340.713, 346.264]"
"(17.352, 17.795]","(21.481, 21.947]","(13.54, 13.998]","(98.091, 99.961]","(335.162, 340.713]"
"(14.694, 15.137]","(18.682, 19.149]","(17.201, 17.659]","(83.131, 85.001]","(301.856, 307.407]"
"(20.454, 20.897]","(20.082, 20.548]","(13.998, 14.456]","(101.831, 103.701]","(340.713, 346.264]"
"(18.238, 18.681]","(16.817, 17.283]","(13.54, 13.998]","(86.871, 88.741]","(307.407, 312.958]"
"(20.454, 20.897]","(19.149, 19.615]","(19.49, 19.947]","(96.221, 98.091]","(351.815, 357.366]"
"(21.783, 22.226]","(16.35, 16.817]","(14.913, 15.371]","(94.351, 96.221]","(324.06, 329.611]"
"(19.567, 20.01]","(19.149, 19.615]","(17.659, 18.117]","(98.091, 99.961]","(346.264, 351.815]"
"(20.454, 20.897]","(19.149, 19.615]","(13.54, 13.998]","(99.961, 101.831]","(340.713, 346.264]"
"(16.909, 17.352]","(19.149, 19.615]","(18.117, 18.574]","(88.741, 90.611]","(318.509, 324.06]"
"(21.34, 21.783]","(24.746, 25.213]","(14.456, 14.913]","(113.051, 114.921]","(385.121, 390.672]"
"(16.466, 16.909]","(19.149, 19.615]","(14.913, 15.371]","(90.611, 92.481]","(318.509, 324.06]"
"(18.681, 19.124]","(16.817, 17.283]","(15.371, 15.828]","(86.871, 88.741]","(307.407, 312.958]"
"(17.795, 18.238]","(20.548, 21.015]","(17.659, 18.117]","(94.351, 96.221]","(335.162, 340.713]"
"(20.01, 20.454]","(19.615, 20.082]","(10.794, 11.252]","(101.831, 103.701]","(340.713, 346.264]"
"(19.567, 20.01]","(20.082, 20.548]","(11.252, 11.71]","(98.091, 99.961]","(329.611, 335.162]"
"(16.466, 16.909]","(17.749, 18.216]","(14.456, 14.913]","(86.871, 88.741]","(301.856, 307.407]"
"(18.681, 19.124]","(23.347, 23.813]","(17.201, 17.659]","(109.311, 111.181]","(379.57, 385.121]"
"(16.909, 17.352]","(21.481, 21.947]","(12.625, 13.083]","(96.221, 98.091]","(324.06, 329.611]"
"(18.681, 19.124]","(20.082, 20.548]","(16.286, 16.744]","(99.961, 101.831]","(351.815, 357.366]"
"(20.454, 20.897]","(17.749, 18.216]","(16.286, 16.744]","(96.221, 98.091]","(340.713, 346.264]"
"(16.909, 17.352]","(18.682, 19.149]","(15.828, 16.286]","(88.741, 90.611]","(312.958, 318.509]"
"(23.112, 23.555]","(21.481, 21.947]","(14.456, 14.913]","(109.311, 111.181]","(374.019, 379.57]"
"(18.681, 19.124]","(21.481, 21.947]","(13.083, 13.54]","(101.831, 103.701]","(351.815, 357.366]"
"(21.34, 21.783]","(17.749, 18.216]","(15.828, 16.286]","(94.351, 96.221]","(335.162, 340.713]"
"(24.441, 24.884]","(19.615, 20.082]","(12.167, 12.625]","(103.701, 105.571]","(346.264, 351.815]"
