A,B,C,D,E
"(19.9, 20.172]","(18.718, 18.991]","(15.764, 16.063]","(97.465, 99.124]","(338.486, 342.051]"
"(20.401, 20.634]","(14.191, 16.538]","(15.076, 15.313]","(77.823, 87.551]","(276.74100000000004, 305.269]"
"(19.181, 19.446]","(21.524, 22.19]","(16.39, 16.739]","(104.68, 105.782]","(363.888, 366.937]"
"(19.446, 19.616]","(14.191, 16.538]","(16.39, 16.739]","(87.551, 89.928]","(305.269, 314.373]"
"(17.454, 17.951]","(18.718, 18.991]","(16.063, 16.39]","(87.551, 89.928]","(305.269, 314.373]"
"(13.807, 16.799]","(18.991, 19.177]","(16.39, 16.739]","(77.823, 87.551]","(305.269, 314.373]"
"(20.401, 20.634]","(21.524, 22.19]","(15.764, 16.063]","(105.782, 107.385]","(366.937, 372.398]"
"(18.216, 18.656]","(20.168, 20.411]","(18.334, 20.606]","(97.465, 99.124]","(348.572, 351.545]"
"(20.634, 20.939]","(20.944, 21.198]","(13.052, 13.417]","(107.385, 108.736]","(363.888, 366.937]"
"(21.708, 22.017]","(19.643, 19.912]","(15.076, 15.313]","(103.797, 104.68]","(354.031, 357.174]"
"(19.9, 20.172]","(18.718, 18.991]","(15.49, 15.764]","(95.803, 96.641]","(338.486, 342.051]"
"(20.401, 20.634]","(22.19, 22.588]","(14.365, 14.567]","(105.782, 107.385]","(360.285, 363.888]"
"(16.799, 17.454]","(22.588, 23.13]","(15.313, 15.49]","(100.261, 101.036]","(348.572, 351.545]"
"(21.347, 21.708]","(19.912, 20.168]","(15.49, 15.764]","(99.124, 100.261]","(345.227, 348.572]"
"(13.807, 16.799]","(20.411, 20.639]","(14.082, 14.365]","(96.641, 97.465]","(335.103, 338.486]"
"(18.921, 19.181]","(20.168, 20.411]","(16.739, 17.216]","(99.124, 100.261]","(348.572, 351.545]"
"(17.951, 18.216]","(18.009, 18.412]","(13.775, 14.082]","(89.928, 92.533]","(314.373, 320.94]"
"(19.9, 20.172]","(21.198, 21.524]","(15.49, 15.764]","(102.018, 102.853]","(351.545, 354.031]"
"(19.616, 19.9]","(23.13, 25.67]","(15.764, 16.063]","(108.736, 110.996]","(380.592, 403.509]"
"(16.799, 17.454]","(18.412, 18.718]","(14.567, 14.869]","(87.551, 89.928]","(305.269, 314.373]"
"(18.656, 18.921]","(19.643, 19.912]","(14.082, 14.365]","(96.641, 97.465]","(335.103, 338.486]"
"(16.799, 17.454]","(20.411, 20.639]","(9.576, 11.605]","(92.533, 93.344]","(305.269, 314.373]"
"(18.656, 18.921]","(18.412, 18.718]","(9.576, 11.605]","(97.465, 99.124]","(320.94, 325.217]"
"(20.634, 20.939]","(22.588, 23.13]","(14.365, 14.567]","(107.385, 108.736]","(363.888, 366.937]"
"(16.799, 17.454]","(18.412, 18.718]","(13.052, 13.417]","(87.551, 89.928]","(305.269, 314.373]"
"(23.237, 26.204]","(20.411, 20.639]","(12.477, 13.052]","(108.736, 110.996]","(366.937, 372.398]"
"(18.921, 19.181]","(19.643, 19.912]","(14.869, 15.076]","(96.641, 97.465]","(332.022, 335.103]"
"(20.939, 21.347]","(19.912, 20.168]","(16.739, 17.216]","(100.261, 101.036]","(348.572, 351.545]"
"(23.237, 26.204]","(19.643, 19.912]","(14.365, 14.567]","(107.385, 108.736]","(366.937, 372.398]"
"(13.807, 16.799]","(22.588, 23.13]","(11.605, 12.477]","(102.018, 102.853]","(342.051, 345.227]"
"(18.921, 19.181]","(20.944, 21.198]","(13.417, 13.775]","(103.797, 104.68]","(354.031, 357.174]"
"(19.181, 19.446]","(22.588, 23.13]","(18.334, 20.606]","(107.385, 108.736]","(372.398, 380.592]"
"(17.951, 18.216]","(22.588, 23.13]","(12.477, 13.052]","(100.261, 101.036]","(342.051, 345.227]"
"(22.017, 22.408]","(17.35, 18.009]","(14.869, 15.076]","(94.944, 95.803]","(328.318, 332.022]"
"(19.616, 19.9]","(18.412, 18.718]","(13.417, 13.775]","(95.803, 96.641]","(328.318, 332.022]"
"(22.408, 23.237]","(20.411, 20.639]","(14.869, 15.076]","(105.782, 107.385]","(360.285, 363.888]"
"(18.656, 18.921]","(22.19, 22.588]","(18.334, 20.606]","(107.385, 108.736]","(372.398, 380.592]"
"(20.634, 20.939]","(19.643, 19.912]","(16.063, 16.39]","(100.261, 101.036]","(345.227, 348.572]"
"(18.921, 19.181]","(22.588, 23.13]","(14.082, 14.365]","(105.782, 107.385]","(354.031, 357.174]"
"(18.921, 19.181]","(18.009, 18.412]","(14.869, 15.076]","(87.551, 89.928]","(305.269, 314.373]"
"(20.401, 20.634]","(18.718, 18.991]","(17.561, 18.334]","(100.261, 101.036]","(354.031, 357.174]"
"(20.939, 21.347]","(19.643, 19.912]","(14.082, 14.365]","(102.018, 102.853]","(345.227, 348.572]"
"(18.216, 18.656]","(20.411, 20.639]","(15.49, 15.764]","(99.124, 100.261]","(342.051, 345.227]"
"(18.216, 18.656]","(20.944, 21.198]","(16.739, 17.216]","(102.018, 102.853]","(360.285, 363.888]"
"(18.656, 18.921]","(18.718, 18.991]","(15.764, 16.063]","(100.261, 101.036]","(348.572, 351.545]"
"(19.616, 19.9]","(23.13, 25.67]","(13.775, 14.082]","(107.385, 108.736]","(360.285, 363.888]"
"(16.799, 17.454]","(19.912, 20.168]","(15.764, 16.063]","(95.803, 96.641]","(332.022, 335.103]"
"(19.446, 19.616]","(19.41, 19.643]","(14.869, 15.076]","(97.465, 99.124]","(335.103, 338.486]"
"(22.017, 22.408]","(19.643, 19.912]","(15.313, 15.49]","(105.782, 107.385]","(366.937, 372.398]"
"(16.799, 17.454]","(22.588, 23.13]","(16.063, 16.39]","(102.018, 102.853]","(351.545, 354.031]"
"(19.446, 19.616]","(20.411, 20.639]","(14.869, 15.076]","(101.036, 102.018]","(348.572, 351.545]"
"(23.237, 26.204]","(20.168, 20.411]","(13.417, 13.775]","(108.736, 110.996]","(366.937, 372.398]"
"(18.656, 18.921]","(17.35, 18.009]","(16.39, 16.739]","(89.928, 92.533]","(320.94, 325.217]"
"(17.951, 18.216]","(14.191, 16.538]","(15.764, 16.063]","(77.823, 87.551]","(276.74100000000004, 305.269]"
"(20.401, 20.634]","(18.718, 18.991]","(16.063, 16.39]","(97.465, 99.124]","(342.051, 345.227]"
"(19.9, 20.172]","(18.991, 19.177]","(14.869, 15.076]","(95.803, 96.641]","(332.022, 335.103]"
"(21.347, 21.708]","(18.718, 18.991]","(17.561, 18.334]","(101.036, 102.018]","(354.031, 357.174]"
"(16.799, 17.454]","(18.991, 19.177]","(16.739, 17.216]","(92.533, 93.344]","(332.022, 335.103]"
"(19.9, 20.172]","(17.35, 18.009]","(14.365, 14.567]","(89.928, 92.533]","(305.269, 314.373]"
"(20.172, 20.401]","(20.639, 20.944]","(14.082, 14.365]","(102.853, 103.797]","(357.174, 360.285]"
"(19.616, 19.9]","(16.538, 17.35]","(16.739, 17.216]","(89.928, 92.533]","(320.94, 325.217]"
"(18.216, 18.656]","(20.411, 20.639]","(14.082, 14.365]","(99.124, 100.261]","(342.051, 345.227]"
"(20.401, 20.634]","(20.639, 20.944]","(16.39, 16.739]","(102.853, 103.797]","(357.174, 360.285]"
"(22.017, 22.408]","(19.41, 19.643]","(13.417, 13.775]","(99.124, 100.261]","(335.103, 338.486]"
"(19.9, 20.172]","(16.538, 17.35]","(14.567, 14.869]","(94.944, 95.803]","(320.94, 325.217]"
"(20.172, 20.401]","(19.643, 19.912]","(14.567, 14.869]","(100.261, 101.036]","(345.227, 348.572]"
"(20.634, 20.939]","(18.412, 18.718]","(12.477, 13.052]","(100.261, 101.036]","(338.486, 342.051]"
"(19.446, 19.616]","(20.411, 20.639]","(14.869, 15.076]","(102.018, 102.853]","(348.572, 351.545]"
"(18.656, 18.921]","(18.009, 18.412]","(16.739, 17.216]","(92.533, 93.344]","(328.318, 332.022]"
"(20.401, 20.634]","(23.13, 25.67]","(18.334, 20.606]","(107.385, 108.736]","(380.592, 403.509]"
"(22.408, 23.237]","(20.168, 20.411]","(14.082, 14.365]","(108.736, 110.996]","(366.937, 372.398]"
"(20.939, 21.347]","(18.009, 18.412]","(14.869, 15.076]","(100.261, 101.036]","(345.227, 348.572]"
"(19.446, 19.616]","(18.718, 18.991]","(16.39, 16.739]","(94.944, 95.803]","(332.022, 335.103]"
"(22.017, 22.408]","(19.912, 20.168]","(13.417, 13.775]","(102.853, 103.797]","(348.572, 351.545]"
"(21.708, 22.017]","(19.41, 19.643]","(18.334, 20.606]","(102.853, 103.797]","(366.937, 372.398]"
"(22.408, 23.237]","(19.912, 20.168]","(13.775, 14.082]","(101.036, 102.018]","(345.227, 348.572]"
"(13.807, 16.799]","(19.177, 19.41]","(15.313, 15.49]","(87.551, 89.928]","(305.269, 314.373]"
"(20.401, 20.634]","(20.944, 21.198]","(18.334, 20.606]","(103.797, 104.68]","(363.888, 366.937]"
"(23.237, 26.204]","(18.718, 18.991]","(13.052, 13.417]","(102.853, 103.797]","(348.572, 351.545]"
"(23.237, 26.204]","(20.639, 20.944]","(14.869, 15.076]","(108.736, 110.996]","(372.398, 380.592]"
"(19.616, 19.9]","(20.944, 21.198]","(15.076, 15.313]","(102.018, 102.853]","(351.545, 354.031]"
"(18.656, 18.921]","(18.991, 19.177]","(15.313, 15.49]","(95.803, 96.641]","(335.103, 338.486]"
"(18.216, 18.656]","(20.411, 20.639]","(14.082, 14.365]","(96.641, 97.465]","(335.103, 338.486]"
"(19.616, 19.9]","(22.588, 23.13]","(13.417, 13.775]","(104.68, 105.782]","(354.031, 357.174]"
"(19.616, 19.9]","(21.524, 22.19]","(9.576, 11.605]","(104.68, 105.782]","(348.572, 351.545]"
"(20.634, 20.939]","(18.009, 18.412]","(14.365, 14.567]","(93.344, 94.944]","(325.217, 328.318]"
"(19.446, 19.616]","(19.912, 20.168]","(14.869, 15.076]","(97.465, 99.124]","(338.486, 342.051]"
"(18.656, 18.921]","(23.13, 25.67]","(15.076, 15.313]","(103.797, 104.68]","(360.285, 363.888]"
"(19.446, 19.616]","(21.198, 21.524]","(16.063, 16.39]","(102.853, 103.797]","(357.174, 360.285]"
"(19.446, 19.616]","(20.639, 20.944]","(15.49, 15.764]","(102.018, 102.853]","(351.545, 354.031]"
"(18.921, 19.181]","(18.009, 18.412]","(12.477, 13.052]","(87.551, 89.928]","(276.74100000000004, 305.269]"
"(16.799, 17.454]","(21.524, 22.19]","(9.576, 11.605]","(99.124, 100.261]","(328.318, 332.022]"
"(19.446, 19.616]","(16.538, 17.35]","(14.082, 14.365]","(89.928, 92.533]","(314.373, 320.94]"
"(18.656, 18.921]","(18.991, 19.177]","(14.365, 14.567]","(94.944, 95.803]","(328.318, 332.022]"
"(19.181, 19.446]","(18.009, 18.412]","(15.764, 16.063]","(92.533, 93.344]","(328.318, 332.022]"
