Z1,Y,T
"(3.706, 3.868]","(1.195, 1.384]",1
"(2.194, 2.38]","(1.821, 2.151]",1
"(1.374, 1.749]","(0.719, 0.869]",1
"(4.07, 4.312]","(-1.032, -0.662]",0
"(2.759, 2.883]","(0.869, 1.034]",0
"(2.51, 2.641]","(0.869, 1.034]",0
"(2.759, 2.883]","(0.869, 1.034]",0
"(4.07, 4.312]","(0.111, 0.253]",0
"(2.641, 2.759]","(3.681, 11.905]",1
"(1.374, 1.749]","(1.034, 1.195]",1
"(3.552, 3.706]","(-0.662, -0.421]",0
"(2.38, 2.51]","(0.253, 0.404]",1
"(3.279, 3.416]","(0.869, 1.034]",0
"(-0.0268, 1.374]","(0.548, 0.719]",1
"(-0.0268, 1.374]","(3.681, 11.905]",1
"(1.749, 2.009]","(1.384, 1.588]",1
"(-0.0268, 1.374]","(-1.032, -0.662]",1
"(2.641, 2.759]","(-0.662, -0.421]",0
"(1.749, 2.009]","(3.681, 11.905]",1
"(4.642, 6.437]","(0.253, 0.404]",0
"(3.416, 3.552]","(0.111, 0.253]",0
"(2.641, 2.759]","(1.821, 2.151]",0
"(2.51, 2.641]","(-0.662, -0.421]",1
"(2.51, 2.641]","(-1.032, -0.662]",1
"(4.642, 6.437]","(0.869, 1.034]",0
"(2.883, 3.021]","(-1.032, -0.662]",0
"(1.374, 1.749]","(0.111, 0.253]",1
"(2.641, 2.759]","(2.632, 3.681]",1
"(2.38, 2.51]","(3.681, 11.905]",1
"(1.374, 1.749]","(-0.421, -0.214]",1
"(3.156, 3.279]","(2.632, 3.681]",1
"(3.156, 3.279]","(-0.0403, 0.111]",0
"(2.194, 2.38]","(2.632, 3.681]",1
"(2.38, 2.51]","(0.111, 0.253]",1
"(1.374, 1.749]","(-0.214, -0.0403]",1
"(3.552, 3.706]","(2.632, 3.681]",0
"(2.759, 2.883]","(-0.662, -0.421]",1
"(3.279, 3.416]","(0.404, 0.548]",1
"(2.759, 2.883]","(3.681, 11.905]",1
"(2.009, 2.194]","(2.151, 2.632]",1
"(3.156, 3.279]","(2.151, 2.632]",1
"(2.194, 2.38]","(1.034, 1.195]",1
"(3.706, 3.868]","(-2.655, -1.032]",0
"(2.38, 2.51]","(0.719, 0.869]",1
"(2.38, 2.51]","(0.111, 0.253]",0
"(3.706, 3.868]","(-1.032, -0.662]",0
"(3.156, 3.279]","(-0.662, -0.421]",1
"(3.706, 3.868]","(-0.662, -0.421]",1
"(2.641, 2.759]","(1.195, 1.384]",1
"(3.552, 3.706]","(-0.421, -0.214]",0
"(2.883, 3.021]","(2.632, 3.681]",1
"(-0.0268, 1.374]","(0.548, 0.719]",1
"(1.749, 2.009]","(0.719, 0.869]",1
"(2.009, 2.194]","(1.195, 1.384]",1
"(4.642, 6.437]","(-2.655, -1.032]",0
"(3.279, 3.416]","(1.384, 1.588]",0
"(4.642, 6.437]","(-0.421, -0.214]",0
"(2.194, 2.38]","(-0.662, -0.421]",0
"(2.883, 3.021]","(0.548, 0.719]",0
"(2.759, 2.883]","(-2.655, -1.032]",1
"(4.642, 6.437]","(1.034, 1.195]",0
"(3.552, 3.706]","(2.632, 3.681]",0
"(2.883, 3.021]","(0.548, 0.719]",0
"(2.759, 2.883]","(2.632, 3.681]",1
"(4.642, 6.437]","(0.404, 0.548]",0
"(3.416, 3.552]","(-1.032, -0.662]",0
"(4.642, 6.437]","(1.588, 1.821]",0
"(3.156, 3.279]","(-1.032, -0.662]",0
"(-0.0268, 1.374]","(2.151, 2.632]",1
"(-0.0268, 1.374]","(-0.214, -0.0403]",1
"(2.759, 2.883]","(3.681, 11.905]",1
"(3.279, 3.416]","(-2.655, -1.032]",0
"(3.156, 3.279]","(1.195, 1.384]",0
"(2.009, 2.194]","(-0.662, -0.421]",0
"(4.312, 4.642]","(0.548, 0.719]",0
"(4.07, 4.312]","(1.034, 1.195]",0
"(3.706, 3.868]","(-1.032, -0.662]",0
"(3.868, 4.07]","(-0.421, -0.214]",0
"(1.374, 1.749]","(-0.214, -0.0403]",1
"(3.021, 3.156]","(-0.421, -0.214]",0
"(2.194, 2.38]","(0.111, 0.253]",1
"(3.706, 3.868]","(0.404, 0.548]",0
"(4.312, 4.642]","(1.588, 1.821]",1
"(2.759, 2.883]","(1.384, 1.588]",1
"(1.374, 1.749]","(2.151, 2.632]",1
"(2.51, 2.641]","(1.384, 1.588]",1
"(2.009, 2.194]","(-1.032, -0.662]",0
"(3.156, 3.279]","(1.384, 1.588]",1
"(2.38, 2.51]","(0.869, 1.034]",1
"(3.279, 3.416]","(1.195, 1.384]",0
"(3.279, 3.416]","(0.111, 0.253]",0
"(4.642, 6.437]","(0.548, 0.719]",0
"(1.749, 2.009]","(3.681, 11.905]",1
"(3.156, 3.279]","(0.548, 0.719]",1
"(2.759, 2.883]","(0.719, 0.869]",1
"(3.021, 3.156]","(-1.032, -0.662]",1
"(2.194, 2.38]","(1.588, 1.821]",1
"(3.279, 3.416]","(0.404, 0.548]",0
"(2.38, 2.51]","(1.588, 1.821]",0
"(3.706, 3.868]","(1.821, 2.151]",1
"(2.51, 2.641]","(-0.0403, 0.111]",0
"(-0.0268, 1.374]","(0.111, 0.253]",1
"(2.641, 2.759]","(1.195, 1.384]",1
"(3.416, 3.552]","(2.151, 2.632]",1
"(2.194, 2.38]","(0.719, 0.869]",1
"(4.07, 4.312]","(2.632, 3.681]",0
"(3.156, 3.279]","(0.404, 0.548]",0
"(1.374, 1.749]","(1.821, 2.151]",1
"(3.552, 3.706]","(-1.032, -0.662]",0
"(2.51, 2.641]","(1.821, 2.151]",1
"(2.759, 2.883]","(0.548, 0.719]",1
"(4.642, 6.437]","(1.195, 1.384]",0
"(3.868, 4.07]","(0.719, 0.869]",0
"(2.759, 2.883]","(1.384, 1.588]",1
"(3.706, 3.868]","(2.151, 2.632]",0
"(1.749, 2.009]","(1.034, 1.195]",1
"(2.194, 2.38]","(-0.421, -0.214]",0
"(2.641, 2.759]","(1.195, 1.384]",1
"(3.868, 4.07]","(-0.421, -0.214]",0
"(2.009, 2.194]","(0.404, 0.548]",0
"(4.642, 6.437]","(-0.214, -0.0403]",0
"(3.552, 3.706]","(1.034, 1.195]",0
"(3.706, 3.868]","(-2.655, -1.032]",0
"(4.312, 4.642]","(0.111, 0.253]",0
"(3.279, 3.416]","(1.034, 1.195]",0
"(3.868, 4.07]","(0.719, 0.869]",1
"(4.07, 4.312]","(1.195, 1.384]",0
"(2.883, 3.021]","(0.111, 0.253]",0
"(2.194, 2.38]","(0.869, 1.034]",0
"(2.759, 2.883]","(1.588, 1.821]",0
"(3.279, 3.416]","(-2.655, -1.032]",1
"(2.641, 2.759]","(0.253, 0.404]",1
"(4.07, 4.312]","(-0.0403, 0.111]",0
"(4.07, 4.312]","(0.548, 0.719]",0
"(1.374, 1.749]","(3.681, 11.905]",1
"(1.749, 2.009]","(-0.662, -0.421]",1
"(2.38, 2.51]","(1.588, 1.821]",1
"(1.374, 1.749]","(1.034, 1.195]",1
"(3.416, 3.552]","(0.548, 0.719]",0
"(2.759, 2.883]","(0.253, 0.404]",0
"(3.279, 3.416]","(1.034, 1.195]",0
"(2.38, 2.51]","(0.719, 0.869]",0
"(3.279, 3.416]","(2.632, 3.681]",1
"(3.279, 3.416]","(0.111, 0.253]",1
"(3.868, 4.07]","(0.719, 0.869]",0
"(3.552, 3.706]","(-2.655, -1.032]",0
