Z1,Y,T
"(3.636, 3.852]","(1.229, 1.714]",1
"(2.128, 2.344]","(1.714, 2.199]",1
"(1.698, 1.913]","(0.743, 1.229]",1
"(4.067, 4.283]","(-1.198, -0.713]",0
"(2.775, 2.99]","(0.743, 1.229]",0
"(2.344, 2.559]","(0.743, 1.229]",0
"(2.775, 2.99]","(0.743, 1.229]",0
"(4.067, 4.283]","(-0.227, 0.258]",0
"(2.559, 2.775]","(8.993, 9.478]",1
"(1.698, 1.913]","(0.743, 1.229]",1
"(3.636, 3.852]","(-0.713, -0.227]",0
"(2.344, 2.559]","(0.258, 0.743]",1
"(3.206, 3.421]","(0.743, 1.229]",0
"(0.62, 0.836]","(0.258, 0.743]",1
"(-0.0322, 0.19]","(4.14, 4.626]",1
"(1.698, 1.913]","(1.229, 1.714]",1
"(0.62, 0.836]","(-0.713, -0.227]",1
"(2.559, 2.775]","(-0.713, -0.227]",0
"(1.913, 2.128]","(5.111, 5.596]",1
"(4.714, 4.929]","(-0.227, 0.258]",0
"(3.421, 3.636]","(-0.227, 0.258]",0
"(2.559, 2.775]","(1.714, 2.199]",0
"(2.559, 2.775]","(-0.713, -0.227]",1
"(2.344, 2.559]","(-1.198, -0.713]",1
"(5.791, 6.006]","(0.743, 1.229]",0
"(2.775, 2.99]","(-1.198, -0.713]",0
"(1.482, 1.698]","(-0.227, 0.258]",1
"(2.559, 2.775]","(3.17, 3.655]",1
"(2.344, 2.559]","(4.14, 4.626]",1
"(1.267, 1.482]","(-0.713, -0.227]",1
"(3.206, 3.421]","(3.17, 3.655]",1
"(3.206, 3.421]","(-0.227, 0.258]",0
"(2.128, 2.344]","(2.684, 3.17]",1
"(2.344, 2.559]","(-0.227, 0.258]",1
"(1.267, 1.482]","(-0.227, 0.258]",1
"(3.421, 3.636]","(2.199, 2.684]",0
"(2.775, 2.99]","(-0.713, -0.227]",1
"(3.206, 3.421]","(0.258, 0.743]",1
"(2.775, 2.99]","(3.655, 4.14]",1
"(2.128, 2.344]","(2.199, 2.684]",1
"(3.206, 3.421]","(2.199, 2.684]",1
"(2.128, 2.344]","(0.743, 1.229]",1
"(3.636, 3.852]","(-1.683, -1.198]",0
"(2.344, 2.559]","(0.743, 1.229]",1
"(2.344, 2.559]","(-0.227, 0.258]",0
"(3.636, 3.852]","(-0.713, -0.227]",0
"(3.206, 3.421]","(-0.713, -0.227]",1
"(3.636, 3.852]","(-0.713, -0.227]",1
"(2.559, 2.775]","(0.743, 1.229]",1
"(3.421, 3.636]","(-0.713, -0.227]",0
"(2.775, 2.99]","(2.684, 3.17]",1
"(0.836, 1.051]","(0.258, 0.743]",1
"(1.913, 2.128]","(0.743, 1.229]",1
"(1.913, 2.128]","(1.229, 1.714]",1
"(5.791, 6.006]","(-2.168, -1.683]",0
"(3.206, 3.421]","(1.229, 1.714]",0
"(4.714, 4.929]","(-0.227, 0.258]",0
"(2.128, 2.344]","(-0.713, -0.227]",0
"(2.775, 2.99]","(0.258, 0.743]",0
"(2.775, 2.99]","(-1.683, -1.198]",1
"(5.36, 5.575]","(0.743, 1.229]",0
"(3.421, 3.636]","(2.684, 3.17]",0
"(2.99, 3.206]","(0.258, 0.743]",0
"(2.775, 2.99]","(3.17, 3.655]",1
"(4.714, 4.929]","(0.258, 0.743]",0
"(3.421, 3.636]","(-1.198, -0.713]",0
"(4.714, 4.929]","(1.229, 1.714]",0
"(3.206, 3.421]","(-1.198, -0.713]",0
"(0.405, 0.62]","(2.199, 2.684]",1
"(0.19, 0.405]","(-0.227, 0.258]",1
"(2.775, 2.99]","(3.655, 4.14]",1
"(3.206, 3.421]","(-1.198, -0.713]",0
"(3.206, 3.421]","(1.229, 1.714]",0
"(1.913, 2.128]","(-0.713, -0.227]",0
"(4.283, 4.498]","(0.258, 0.743]",0
"(4.067, 4.283]","(0.743, 1.229]",0
"(3.636, 3.852]","(-1.198, -0.713]",0
"(3.852, 4.067]","(-0.713, -0.227]",0
