A,B,C,D,E
20.052749545699125,21.2868813968939,13.880859404259255,102.38441843433732,348.7113436474853
20.5206434028453,21.09603281947068,12.701194458130038,101.67991825591756,340.7866021868463
19.209708916964413,23.436803773359,14.004891618936409,111.03901885221418,370.8610621883356
19.591398189923478,22.58911895470506,15.20531572730543,106.55429751252065,365.15432419508045
17.456734690561195,20.00542407741334,14.61893166359147,94.56906734551654,327.76997200447414
14.806242739485972,16.80485005479629,15.287468676633171,82.74986596054353,294.5334696246989
20.579361823701092,19.59373234528701,15.582510107851514,98.02064336548257,342.5968520985642
18.253390712375545,19.803661436734156,15.349547064418887,93.64935907763032,328.2266429345604
20.788145313122566,20.098383255717145,14.104326781120072,103.3741103165897,350.87492821463
21.87021108776982,23.053102664960825,13.811011337610307,107.09176898323335,362.82513866603244
19.968630584888025,18.144021191630955,14.364854824371513,95.01341640084566,326.78864177633557
20.51919193250666,21.849319579720014,15.51778789971376,106.9101123936565,371.0050302290919
17.053371517819517,24.220310667213568,14.904230419988691,105.00343573821118,360.1209104261792
21.603853192152506,18.712807428689363,16.347628339658765,99.60284968245624,348.0810439038289
16.49849522665696,18.82079403873334,18.157565932515155,91.95850669375656,327.6820335257892
19.009896137151227,21.72636441373163,15.867373647596091,102.20559623437651,355.35535532077967
17.98279838135377,22.35394253787033,16.87422787793913,106.54821554073392,367.0503550886837
20.050488371748806,19.503687708043284,17.361587587639516,97.96971792069158,345.7106221067187
19.75698629063737,20.266729201637222,11.683673261255043,96.0138792597309,324.48325090328234
16.90625363615997,17.432099280070613,13.01350130568023,84.68829035068902,288.524686003617
18.78611205292071,21.518250116166655,13.063620085330083,105.20335449227055,355.27677121137634
17.212374655288095,18.809080024539842,17.995096981670706,89.93454052957362,324.53488077045006
18.744609010877095,20.120671402262936,16.336165552786387,101.4937765470475,354.29709488068954
20.665264308711965,19.460998844719423,12.640309367246951,100.90002676063912,339.039310674221
16.917266316306844,21.71031063185921,12.633478794918071,98.42035852584085,330.4591038530121
23.340599640743193,19.036857218570198,11.032339035528048,103.69484663447167,344.9150178385074
19.000908269377366,18.1490861719768,11.54371970206851,91.30264264417399,309.7150445867259
21.346257929132122,19.907109108957126,19.121738887953107,102.10869065138438,367.1266572687697
24.49617914636375,22.189041792753294,15.837444058148069,114.65460687166377,388.77517590373844
16.691474497901517,19.643431198733172,17.797746037879506,93.16602971200297,332.30289434257554
19.051205967653452,23.639569873030453,13.06704685162288,111.41813657961018,373.4981376576822
19.396169518198686,21.324649932580893,15.567652409496088,100.16012910310569,345.91168157045587
18.13794724582499,19.423270271539227,14.171420899066108,95.86592076383234,332.52308159446784
22.22197211938675,19.876198177533546,14.730770681028476,105.83129134727747,362.4837422947275
19.620634083107724,20.980922496242243,12.977489288854672,104.58013202752062,349.377799213786
22.55681918198685,22.45244844796367,8.807676226948669,111.04379548568653,359.94484388147004
18.891845762087193,24.34763115563972,15.496138374588298,107.85183587250688,369.3671832064777
20.708605479985273,22.354119743982455,12.513583165059904,107.54060393642663,357.5117376815848
19.11944765533209,21.800403791817704,17.130341279588922,104.98138331942236,363.8398116809088
19.151102345423897,21.58875988854425,14.587142088092174,105.11172816990721,358.19779036450876
20.456163249702897,22.3764553006329,12.800536581549888,108.54783448694842,363.4273172769985
21.158088333914705,17.410741156520103,13.827387960754823,91.96612910890848,314.4813035889435
18.2916232935987,21.97489148350179,16.863377265856037,100.82676193284874,353.89745952645745
18.31731933289506,19.91102639944306,15.814853277992066,95.07072822205762,333.64458747670056
18.688591775605406,22.36479552618067,11.019960775989041,104.6013217154316,349.6385285070657
19.70623459690016,23.08581968205656,17.166589145203847,108.6642461764351,383.16247135858123
17.176048998098306,20.814896006695083,15.053960250358296,96.97593619888015,334.70958247130557
19.4588863508896,17.557347222664454,20.422787637963438,93.59139458828416,347.4615839085564
22.258606608993496,18.352045742278627,13.463858653993087,101.30475357092384,344.5970370201846
17.319483856847633,17.511894267187188,17.084015990637692,83.7085011700114,304.91494579842873
19.501407943483443,22.54887374555709,14.920346904385482,104.73906667303991,357.97444077211094
23.526984425090916,20.0548052394342,12.6957295554055,103.41025934956707,348.13384310027226
18.816081146321643,16.316634700677177,14.52557770596262,86.52077016570594,303.6270459826679
18.184376637565258,18.933131064999355,14.208190923762249,91.30124565788029,315.5233419268809
20.543599234773808,16.802801099095447,15.286478345498734,90.96286828701768,320.1551104395272
19.990876658858895,20.41481995594225,11.723086532579806,96.79446396147848,323.6624828373369
21.70821387255755,23.002727288676475,17.054284633421528,112.96710961172049,387.5042778401523
16.819990232145543,26.204051030173073,13.842584384866047,113.20319094888802,379.42113773809007
20.112097973822152,21.39183975732805,17.016027773196,106.58341211610231,368.37359713052024
20.211725133032015,18.547733570541286,13.259037056091863,92.45052481188641,316.2672088841899
19.81832484470717,17.918012396321732,19.1231656318674,91.495709164731,332.814353601028
18.57224788794748,17.58643277129606,13.309942717556009,89.1847740733291,302.3490311292849
20.407430787803676,22.041928005655546,14.940346453586331,106.0807146455957,363.75529467080787
22.406063674844056,20.350740578113495,11.893803053247213,106.37531183572274,358.67610947185324
20.168626137046786,19.374403129500955,13.95082908614059,97.1629372390373,333.0192958697812
20.327867846684185,19.19877692648523,15.36811696580765,95.90645072050243,332.31257393151435
20.747503099946382,18.148437764356174,16.38848624103128,96.67805189626887,338.1894668616004
19.546186299439594,17.47185004957025,16.930739256731435,88.04574100556418,313.11154288771303
18.657451190824922,19.576216662891152,13.102348257368007,96.07400240924893,329.04324359296413
20.628219758850033,20.64360330812546,15.117019245742544,102.33841583160954,354.82857940598905
22.968836226188685,18.07521614972225,13.833325825867583,101.23933847767792,348.082317289769
21.304328315987654,18.846443327474386,16.08213613252909,99.32125213211184,346.9000654798352
19.534853264833856,21.856055403130657,15.398951762066236,105.11667454146296,362.4382258593786
22.369492373119392,18.844033926109482,14.650865072598211,96.24976104049308,333.41349315556823
21.841894624038478,20.93198399013904,18.24739669299476,108.25407928787796,378.24123920134696
22.433001577353146,15.331918591897036,16.708542357088092,89.8478292927505,320.6443990684497
16.233474389585638,16.368383307423617,15.587597235895245,83.4792426490956,295.71208635854293
20.442583954673086,19.020402924796148,14.221642619814649,98.50273050523654,341.5287826360998
23.633190509190026,22.16469456403379,12.921450015711848,116.96376444090352,394.31765326031024
23.485767950153274,19.448087971225085,15.990837530783375,102.07882048275088,355.6261709346242
19.879044425141878,22.27868102140925,11.943608631262038,106.82595032683216,355.1270645820627
18.820904303780996,21.356369120706393,15.76560928161737,101.79874530133951,352.81399137945925
18.355940814693593,22.207871572430054,18.244622730988283,103.8659285374736,365.6471309640119
19.895563685796944,24.716788465955908,12.75596191541341,117.06798066230301,387.85632653995617
19.829525062816742,21.681257508907,17.605111695141346,105.02954862060142,365.31601541564606
20.86210565676509,19.32700564029893,13.361125619310911,99.43288746602069,337.76197301145015
19.606640881053654,20.367370625576974,15.288965498821689,98.5600786568343,342.94598362786945
18.678817175327413,20.812722066359065,14.347598963749121,100.80747973904754,344.9849597323358
19.507006710965886,20.438977752667718,13.076844111848988,101.47489711254144,342.0047355280743
19.58091439248318,21.87816293251708,15.87169800889558,104.43731504103418,360.3129082859884
18.98757798073497,20.517857535554732,12.59608742818809,98.91521777930903,337.53676229022125
17.122757608509183,21.640087925557197,16.497858791539873,97.0418699240252,342.8528573138495
19.59197800816673,19.60961075438871,14.586242284341354,99.48100704389772,340.47212393321587
18.8651312255668,21.40364838177794,12.791234412109443,101.8282437306331,342.58461978892853
19.30244212806103,18.887083488848784,14.230351027868146,98.47294664689942,340.3369743722295
