A,B,C,D,E
"(20.023, 26.222]","(15.578, 22.142]","(2.918, 9.152]","(75.27, 99.167]","(270.751, 341.832]"
"(20.023, 26.222]","(15.578, 22.142]","(9.152, 15.386]","(99.167, 123.064]","(341.832, 412.912]"
"(13.825, 20.023]","(28.706, 35.27]","(9.152, 15.386]","(99.167, 123.064]","(341.832, 412.912]"
"(13.825, 20.023]","(22.142, 28.706]","(15.386, 21.621]","(99.167, 123.064]","(341.832, 412.912]"
"(7.627, 13.825]","(15.578, 22.142]","(15.386, 21.621]","(51.373, 75.27]","(270.751, 341.832]"
"(-4.819, 1.429]","(15.578, 22.142]","(15.386, 21.621]","(51.373, 75.27]","(199.671, 270.751]"
"(20.023, 26.222]","(22.142, 28.706]","(21.621, 27.855]","(99.167, 123.064]","(412.912, 483.992]"
"(7.627, 13.825]","(22.142, 28.706]","(-3.317, 2.918]","(75.27, 99.167]","(270.751, 341.832]"
"(20.023, 26.222]","(9.014, 15.578]","(9.152, 15.386]","(75.27, 99.167]","(270.751, 341.832]"
"(26.222, 32.42]","(9.014, 15.578]","(15.386, 21.621]","(99.167, 123.064]","(341.832, 412.912]"
"(13.825, 20.023]","(9.014, 15.578]","(9.152, 15.386]","(51.373, 75.27]","(199.671, 270.751]"
"(20.023, 26.222]","(28.706, 35.27]","(34.09, 40.324]","(123.064, 146.961]","(483.992, 555.072]"
"(7.627, 13.825]","(15.578, 22.142]","(2.918, 9.152]","(51.373, 75.27]","(199.671, 270.751]"
"(26.222, 32.42]","(15.578, 22.142]","(15.386, 21.621]","(99.167, 123.064]","(341.832, 412.912]"
"(1.429, 7.627]","(22.142, 28.706]","(21.621, 27.855]","(75.27, 99.167]","(270.751, 341.832]"
"(13.825, 20.023]","(9.014, 15.578]","(27.855, 34.09]","(51.373, 75.27]","(270.751, 341.832]"
"(7.627, 13.825]","(15.578, 22.142]","(15.386, 21.621]","(75.27, 99.167]","(341.832, 412.912]"
"(20.023, 26.222]","(15.578, 22.142]","(21.621, 27.855]","(75.27, 99.167]","(270.751, 341.832]"
"(13.825, 20.023]","(15.578, 22.142]","(15.386, 21.621]","(75.27, 99.167]","(270.751, 341.832]"
"(1.429, 7.627]","(15.578, 22.142]","(21.621, 27.855]","(51.373, 75.27]","(270.751, 341.832]"
"(13.825, 20.023]","(15.578, 22.142]","(21.621, 27.855]","(75.27, 99.167]","(341.832, 412.912]"
"(7.627, 13.825]","(9.014, 15.578]","(15.386, 21.621]","(27.476, 51.373]","(128.591, 199.671]"
"(13.825, 20.023]","(22.142, 28.706]","(34.09, 40.324]","(99.167, 123.064]","(412.912, 483.992]"
"(20.023, 26.222]","(15.578, 22.142]","(-9.601, -3.317]","(99.167, 123.064]","(270.751, 341.832]"
"(7.627, 13.825]","(15.578, 22.142]","(9.152, 15.386]","(51.373, 75.27]","(199.671, 270.751]"
"(32.42, 38.618]","(15.578, 22.142]","(34.09, 40.324]","(99.167, 123.064]","(412.912, 483.992]"
"(13.825, 20.023]","(28.706, 35.27]","(9.152, 15.386]","(99.167, 123.064]","(341.832, 412.912]"
"(20.023, 26.222]","(9.014, 15.578]","(9.152, 15.386]","(75.27, 99.167]","(270.751, 341.832]"
"(32.42, 38.618]","(9.014, 15.578]","(9.152, 15.386]","(123.064, 146.961]","(412.912, 483.992]"
"(1.429, 7.627]","(15.578, 22.142]","(9.152, 15.386]","(75.27, 99.167]","(270.751, 341.832]"
"(13.825, 20.023]","(2.451, 9.014]","(-3.317, 2.918]","(27.476, 51.373]","(128.591, 199.671]"
"(13.825, 20.023]","(15.578, 22.142]","(9.152, 15.386]","(75.27, 99.167]","(270.751, 341.832]"
"(7.627, 13.825]","(22.142, 28.706]","(2.918, 9.152]","(99.167, 123.064]","(270.751, 341.832]"
"(26.222, 32.42]","(22.142, 28.706]","(9.152, 15.386]","(99.167, 123.064]","(341.832, 412.912]"
"(13.825, 20.023]","(22.142, 28.706]","(15.386, 21.621]","(99.167, 123.064]","(341.832, 412.912]"
"(26.222, 32.42]","(15.578, 22.142]","(21.621, 27.855]","(99.167, 123.064]","(341.832, 412.912]"
"(13.825, 20.023]","(2.451, 9.014]","(15.386, 21.621]","(51.373, 75.27]","(199.671, 270.751]"
"(20.023, 26.222]","(15.578, 22.142]","(15.386, 21.621]","(75.27, 99.167]","(270.751, 341.832]"
"(13.825, 20.023]","(22.142, 28.706]","(9.152, 15.386]","(99.167, 123.064]","(341.832, 412.912]"
"(13.825, 20.023]","(9.014, 15.578]","(15.386, 21.621]","(51.373, 75.27]","(199.671, 270.751]"
"(20.023, 26.222]","(2.451, 9.014]","(9.152, 15.386]","(51.373, 75.27]","(199.671, 270.751]"
