A,B,C,D,E
"(19.367, 21.361]","(17.214, 19.168]","(12.446, 14.545]","(94.802, 102.667]","(335.097, 360.728]"
"(21.361, 23.354]","(32.842, 34.795]","(8.248, 10.347]","(149.855, 157.72]","(488.881, 514.512]"
"(17.373, 19.367]","(17.214, 19.168]","(6.149, 8.248]","(86.937, 94.802]","(283.835, 309.466]"
"(17.373, 19.367]","(13.307, 15.261]","(18.743, 20.842]","(63.343, 71.208]","(258.205, 283.835]"
"(11.392, 13.386]","(13.307, 15.261]","(1.951, 4.05]","(63.343, 71.208]","(206.943, 232.574]"
"(3.417, 5.411]","(9.4, 11.354]","(18.743, 20.842]","(47.614, 55.478]","(206.943, 232.574]"
"(21.361, 23.354]","(13.307, 15.261]","(25.04, 27.139]","(86.937, 94.802]","(335.097, 360.728]"
"(13.386, 15.379]","(25.028, 26.982]","(16.644, 18.743]","(118.396, 126.261]","(411.989, 437.62]"
"(21.361, 23.354]","(26.982, 28.935]","(20.842, 22.941]","(126.261, 134.126]","(437.62, 463.251]"
"(25.348, 27.342]","(1.548, 3.54]","(18.743, 20.842]","(71.208, 79.073]","(258.205, 283.835]"
"(19.367, 21.361]","(23.075, 25.028]","(18.743, 20.842]","(102.667, 110.531]","(360.728, 386.358]"
"(21.361, 23.354]","(13.307, 15.261]","(20.842, 22.941]","(86.937, 94.802]","(309.466, 335.097]"
"(9.398, 11.392]","(15.261, 17.214]","(8.248, 10.347]","(71.208, 79.073]","(232.574, 258.205]"
"(23.354, 25.348]","(17.214, 19.168]","(14.545, 16.644]","(110.531, 118.396]","(360.728, 386.358]"
"(9.398, 11.392]","(9.4, 11.354]","(8.248, 10.347]","(47.614, 55.478]","(181.312, 206.943]"
"(15.379, 17.373]","(21.121, 23.075]","(10.347, 12.446]","(86.937, 94.802]","(309.466, 335.097]"
"(13.386, 15.379]","(15.261, 17.214]","(18.743, 20.842]","(71.208, 79.073]","(283.835, 309.466]"
"(19.367, 21.361]","(13.307, 15.261]","(18.743, 20.842]","(86.937, 94.802]","(309.466, 335.097]"
"(17.373, 19.367]","(15.261, 17.214]","(12.446, 14.545]","(79.073, 86.937]","(283.835, 309.466]"
"(9.398, 11.392]","(23.075, 25.028]","(18.743, 20.842]","(94.802, 102.667]","(360.728, 386.358]"
"(15.379, 17.373]","(15.261, 17.214]","(10.347, 12.446]","(63.343, 71.208]","(232.574, 258.205]"
"(11.392, 13.386]","(32.842, 34.795]","(18.743, 20.842]","(118.396, 126.261]","(411.989, 437.62]"
"(15.379, 17.373]","(19.168, 21.121]","(12.446, 14.545]","(79.073, 86.937]","(258.205, 283.835]"
"(21.361, 23.354]","(17.214, 19.168]","(6.149, 8.248]","(86.937, 94.802]","(283.835, 309.466]"
"(9.398, 11.392]","(19.168, 21.121]","(29.238, 31.337]","(79.073, 86.937]","(309.466, 335.097]"
"(29.336, 31.329]","(23.075, 25.028]","(8.248, 10.347]","(134.126, 141.99]","(411.989, 437.62]"
"(15.379, 17.373]","(23.075, 25.028]","(16.644, 18.743]","(102.667, 110.531]","(335.097, 360.728]"
"(23.354, 25.348]","(21.121, 23.075]","(6.149, 8.248]","(102.667, 110.531]","(309.466, 335.097]"
"(33.323, 35.317]","(23.075, 25.028]","(10.347, 12.446]","(126.261, 134.126]","(411.989, 437.62]"
"(9.398, 11.392]","(19.168, 21.121]","(12.446, 14.545]","(71.208, 79.073]","(232.574, 258.205]"
"(15.379, 17.373]","(26.982, 28.935]","(18.743, 20.842]","(102.667, 110.531]","(360.728, 386.358]"
"(17.373, 19.367]","(26.982, 28.935]","(22.941, 25.04]","(126.261, 134.126]","(437.62, 463.251]"
"(13.386, 15.379]","(21.121, 23.075]","(18.743, 20.842]","(86.937, 94.802]","(335.097, 360.728]"
"(25.348, 27.342]","(21.121, 23.075]","(16.644, 18.743]","(102.667, 110.531]","(360.728, 386.358]"
"(17.373, 19.367]","(23.075, 25.028]","(16.644, 18.743]","(102.667, 110.531]","(335.097, 360.728]"
"(27.342, 29.336]","(19.168, 21.121]","(10.347, 12.446]","(110.531, 118.396]","(360.728, 386.358]"
"(15.379, 17.373]","(19.168, 21.121]","(12.446, 14.545]","(86.937, 94.802]","(283.835, 309.466]"
"(21.361, 23.354]","(9.4, 11.354]","(10.347, 12.446]","(79.073, 86.937]","(283.835, 309.466]"
"(15.379, 17.373]","(21.121, 23.075]","(10.347, 12.446]","(94.802, 102.667]","(335.097, 360.728]"
"(17.373, 19.367]","(17.214, 19.168]","(8.248, 10.347]","(79.073, 86.937]","(283.835, 309.466]"
"(21.361, 23.354]","(9.4, 11.354]","(8.248, 10.347]","(63.343, 71.208]","(232.574, 258.205]"
"(23.354, 25.348]","(15.261, 17.214]","(20.842, 22.941]","(86.937, 94.802]","(335.097, 360.728]"
"(13.386, 15.379]","(25.028, 26.982]","(16.644, 18.743]","(94.802, 102.667]","(360.728, 386.358]"
"(13.386, 15.379]","(25.028, 26.982]","(12.446, 14.545]","(118.396, 126.261]","(386.358, 411.989]"
"(15.379, 17.373]","(26.982, 28.935]","(-2.247, -0.148]","(118.396, 126.261]","(335.097, 360.728]"
"(17.373, 19.367]","(11.354, 13.307]","(12.446, 14.545]","(63.343, 71.208]","(206.943, 232.574]"
"(11.392, 13.386]","(23.075, 25.028]","(10.347, 12.446]","(94.802, 102.667]","(335.097, 360.728]"
"(17.373, 19.367]","(25.028, 26.982]","(12.446, 14.545]","(118.396, 126.261]","(386.358, 411.989]"
"(25.348, 27.342]","(15.261, 17.214]","(10.347, 12.446]","(102.667, 110.531]","(335.097, 360.728]"
"(11.392, 13.386]","(28.935, 30.888]","(14.545, 16.644]","(110.531, 118.396]","(386.358, 411.989]"
"(17.373, 19.367]","(26.982, 28.935]","(8.248, 10.347]","(126.261, 134.126]","(386.358, 411.989]"
"(29.336, 31.329]","(21.121, 23.075]","(18.743, 20.842]","(118.396, 126.261]","(411.989, 437.62]"
"(15.379, 17.373]","(5.494, 7.447]","(18.743, 20.842]","(55.478, 63.343]","(232.574, 258.205]"
"(13.386, 15.379]","(13.307, 15.261]","(22.941, 25.04]","(63.343, 71.208]","(258.205, 283.835]"
"(21.361, 23.354]","(25.028, 26.982]","(16.644, 18.743]","(110.531, 118.396]","(386.358, 411.989]"
"(19.367, 21.361]","(25.028, 26.982]","(16.644, 18.743]","(110.531, 118.396]","(386.358, 411.989]"
"(23.354, 25.348]","(28.935, 30.888]","(14.545, 16.644]","(126.261, 134.126]","(437.62, 463.251]"
"(9.398, 11.392]","(15.261, 17.214]","(18.743, 20.842]","(71.208, 79.073]","(258.205, 283.835]"
"(19.367, 21.361]","(26.982, 28.935]","(12.446, 14.545]","(118.396, 126.261]","(386.358, 411.989]"
"(19.367, 21.361]","(9.4, 11.354]","(10.347, 12.446]","(79.073, 86.937]","(258.205, 283.835]"
"(19.367, 21.361]","(17.214, 19.168]","(10.347, 12.446]","(71.208, 79.073]","(258.205, 283.835]"
"(15.379, 17.373]","(19.168, 21.121]","(12.446, 14.545]","(79.073, 86.937]","(283.835, 309.466]"
"(19.367, 21.361]","(15.261, 17.214]","(16.644, 18.743]","(86.937, 94.802]","(309.466, 335.097]"
"(25.348, 27.342]","(9.4, 11.354]","(18.743, 20.842]","(79.073, 86.937]","(309.466, 335.097]"
"(19.367, 21.361]","(25.028, 26.982]","(16.644, 18.743]","(118.396, 126.261]","(386.358, 411.989]"
"(19.367, 21.361]","(15.261, 17.214]","(14.545, 16.644]","(86.937, 94.802]","(283.835, 309.466]"
"(21.361, 23.354]","(13.307, 15.261]","(20.842, 22.941]","(94.802, 102.667]","(360.728, 386.358]"
"(17.373, 19.367]","(15.261, 17.214]","(14.545, 16.644]","(86.937, 94.802]","(309.466, 335.097]"
"(15.379, 17.373]","(13.307, 15.261]","(12.446, 14.545]","(71.208, 79.073]","(232.574, 258.205]"
"(21.361, 23.354]","(25.028, 26.982]","(27.139, 29.238]","(110.531, 118.396]","(411.989, 437.62]"
"(27.342, 29.336]","(9.4, 11.354]","(16.644, 18.743]","(86.937, 94.802]","(309.466, 335.097]"
"(23.354, 25.348]","(26.982, 28.935]","(22.941, 25.04]","(126.261, 134.126]","(437.62, 463.251]"
"(17.373, 19.367]","(23.075, 25.028]","(10.347, 12.446]","(102.667, 110.531]","(335.097, 360.728]"
"(25.348, 27.342]","(23.075, 25.028]","(4.05, 6.149]","(110.531, 118.396]","(335.097, 360.728]"
"(25.348, 27.342]","(17.214, 19.168]","(25.04, 27.139]","(102.667, 110.531]","(386.358, 411.989]"
"(25.348, 27.342]","(26.982, 28.935]","(16.644, 18.743]","(134.126, 141.99]","(463.251, 488.881]"
"(7.404, 9.398]","(11.354, 13.307]","(18.743, 20.842]","(55.478, 63.343]","(206.943, 232.574]"
"(19.367, 21.361]","(21.121, 23.075]","(8.248, 10.347]","(110.531, 118.396]","(335.097, 360.728]"
"(29.336, 31.329]","(15.261, 17.214]","(25.04, 27.139]","(102.667, 110.531]","(386.358, 411.989]"
"(29.336, 31.329]","(21.121, 23.075]","(14.545, 16.644]","(110.531, 118.396]","(386.358, 411.989]"
"(19.367, 21.361]","(21.121, 23.075]","(6.149, 8.248]","(94.802, 102.667]","(309.466, 335.097]"
"(15.379, 17.373]","(21.121, 23.075]","(12.446, 14.545]","(94.802, 102.667]","(335.097, 360.728]"
"(13.386, 15.379]","(15.261, 17.214]","(12.446, 14.545]","(71.208, 79.073]","(258.205, 283.835]"
"(19.367, 21.361]","(17.214, 19.168]","(25.04, 27.139]","(86.937, 94.802]","(335.097, 360.728]"
"(19.367, 21.361]","(17.214, 19.168]","(16.644, 18.743]","(94.802, 102.667]","(335.097, 360.728]"
"(21.361, 23.354]","(9.4, 11.354]","(10.347, 12.446]","(79.073, 86.937]","(258.205, 283.835]"
"(17.373, 19.367]","(13.307, 15.261]","(12.446, 14.545]","(63.343, 71.208]","(258.205, 283.835]"
"(15.379, 17.373]","(25.028, 26.982]","(6.149, 8.248]","(94.802, 102.667]","(309.466, 335.097]"
"(17.373, 19.367]","(17.214, 19.168]","(18.743, 20.842]","(94.802, 102.667]","(335.097, 360.728]"
"(17.373, 19.367]","(23.075, 25.028]","(12.446, 14.545]","(110.531, 118.396]","(335.097, 360.728]"
