A,B,C,D,E
"(19.87, 20.606]","(19.974, 20.699]","(15.742, 16.57]","(99.591, 102.141]","(343.368, 351.668]"
"(20.606, 21.252]","(24.311, 25.697]","(9.443, 10.96]","(111.638, 115.9]","(361.039, 371.27]"
"(17.785, 18.498]","(18.452, 19.282]","(20.823, 26.232]","(91.423, 94.235]","(351.668, 361.039]"
"(19.161, 19.87]","(21.375, 22.206]","(19.282, 20.823]","(104.865, 107.919]","(371.27, 381.88]"
"(14.047, 15.827]","(18.452, 19.282]","(11.968, 12.854]","(78.593, 84.073]","(210.92, 277.948]"
"(7.614, 14.047]","(24.311, 25.697]","(9.443, 10.96]","(88.244, 91.423]","(277.948, 296.463]"
"(20.606, 21.252]","(23.098, 24.311]","(13.596, 14.303]","(115.9, 121.253]","(393.335, 412.187]"
"(15.827, 16.837]","(19.974, 20.699]","(10.96, 11.968]","(96.802, 99.591]","(327.309, 334.744]"
"(21.252, 22.149]","(17.71, 18.452]","(12.854, 13.596]","(91.423, 94.235]","(317.303, 327.309]"
"(23.123, 24.388]","(17.71, 18.452]","(2.56, 9.443]","(94.235, 96.802]","(307.562, 317.303]"
"(19.87, 20.606]","(19.974, 20.699]","(9.443, 10.96]","(94.235, 96.802]","(317.303, 327.309]"
"(20.606, 21.252]","(23.098, 24.311]","(14.303, 14.979]","(111.638, 115.9]","(381.88, 393.335]"
"(14.047, 15.827]","(21.375, 22.206]","(2.56, 9.443]","(99.591, 102.141]","(317.303, 327.309]"
"(23.123, 24.388]","(25.697, 34.199]","(14.303, 14.979]","(121.253, 167.474]","(412.187, 547.71]"
"(7.614, 14.047]","(22.206, 23.098]","(12.854, 13.596]","(91.423, 94.235]","(317.303, 327.309]"
"(17.785, 18.498]","(16.742, 17.71]","(18.226, 19.282]","(88.244, 91.423]","(317.303, 327.309]"
"(15.827, 16.837]","(19.974, 20.699]","(14.303, 14.979]","(88.244, 91.423]","(317.303, 327.309]"
