A,B,C,D,E
"(19.789, 20.454]","(21.676, 22.327]","(17.647, 18.347]","(103.229, 105.645]","(362.389, 369.695]"
"(20.454, 21.118]","(19.723, 20.374]","(17.647, 18.347]","(98.396, 100.813]","(347.777, 355.083]"
"(19.124, 19.789]","(15.816, 16.467]","(16.947, 17.647]","(83.899, 86.315]","(303.941, 311.247]"
"(19.124, 19.789]","(21.025, 21.676]","(9.251, 9.951]","(105.645, 108.061]","(347.777, 355.083]"
"(17.131, 17.795]","(18.42, 19.071]","(16.248, 16.947]","(88.731, 91.148]","(311.247, 318.553]"
"(14.472, 15.137]","(21.025, 21.676]","(16.248, 16.947]","(88.731, 91.148]","(318.553, 325.859]"
"(20.454, 21.118]","(20.374, 21.025]","(14.149, 14.848]","(100.813, 103.229]","(340.471, 347.777]"
"(17.795, 18.46]","(19.071, 19.723]","(16.248, 16.947]","(95.98, 98.396]","(340.471, 347.777]"
"(20.454, 21.118]","(20.374, 21.025]","(17.647, 18.347]","(103.229, 105.645]","(362.389, 369.695]"
"(21.783, 22.447]","(20.374, 21.025]","(12.749, 13.449]","(105.645, 108.061]","(355.083, 362.389]"
"(19.789, 20.454]","(16.467, 17.118]","(14.149, 14.848]","(88.731, 91.148]","(311.247, 318.553]"
"(20.454, 21.118]","(20.374, 21.025]","(16.947, 17.647]","(100.813, 103.229]","(355.083, 362.389]"
"(16.466, 17.131]","(20.374, 21.025]","(17.647, 18.347]","(95.98, 98.396]","(347.777, 355.083]"
"(21.118, 21.783]","(21.676, 22.327]","(13.449, 14.149]","(108.061, 110.477]","(369.695, 377.001]"
"(16.466, 17.131]","(20.374, 21.025]","(13.449, 14.149]","(95.98, 98.396]","(325.859, 333.165]"
"(18.46, 19.124]","(17.118, 17.769]","(10.65, 11.35]","(86.315, 88.731]","(296.635, 303.941]"
"(17.795, 18.46]","(21.025, 21.676]","(16.248, 16.947]","(98.396, 100.813]","(347.777, 355.083]"
"(19.789, 20.454]","(19.723, 20.374]","(16.248, 16.947]","(98.396, 100.813]","(340.471, 347.777]"
"(19.124, 19.789]","(24.932, 25.583]","(12.749, 13.449]","(112.894, 115.31]","(384.308, 391.614]"
