A,B,C,D,E
"(19.818, 20.398]","(16.711, 17.292]","(16.888, 17.428]","(89.628, 91.834]","(318.292, 324.789]"
"(20.398, 20.979]","(21.357, 21.938]","(17.428, 17.969]","(107.275, 109.481]","(376.758, 383.254]"
"(18.657, 19.237]","(20.777, 21.357]","(14.187, 14.727]","(100.657, 102.863]","(337.781, 344.277]"
"(19.237, 19.818]","(18.454, 19.034]","(12.566, 13.106]","(94.04, 96.246]","(324.789, 331.285]"
"(16.915, 17.496]","(17.292, 17.873]","(15.808, 16.348]","(87.422, 89.628]","(311.796, 318.292]"
"(14.581, 15.173]","(18.454, 19.034]","(15.808, 16.348]","(87.422, 89.628]","(311.796, 318.292]"
"(20.398, 20.979]","(20.196, 20.777]","(14.727, 15.267]","(102.863, 105.069]","(350.773, 357.269]"
"(18.076, 18.657]","(19.615, 20.196]","(12.566, 13.106]","(96.246, 98.451]","(324.789, 331.285]"
"(20.398, 20.979]","(20.196, 20.777]","(10.405, 10.945]","(98.451, 100.657]","(324.789, 331.285]"
"(21.56, 22.14]","(20.196, 20.777]","(14.727, 15.267]","(107.275, 109.481]","(370.261, 376.758]"
"(19.818, 20.398]","(20.196, 20.777]","(14.727, 15.267]","(102.863, 105.069]","(350.773, 357.269]"
"(20.398, 20.979]","(19.034, 19.615]","(15.267, 15.808]","(100.657, 102.863]","(350.773, 357.269]"
"(16.915, 17.496]","(18.454, 19.034]","(16.348, 16.888]","(87.422, 89.628]","(311.796, 318.292]"
"(21.56, 22.14]","(19.034, 19.615]","(15.808, 16.348]","(100.657, 102.863]","(350.773, 357.269]"
"(16.335, 16.915]","(20.196, 20.777]","(13.106, 13.647]","(94.04, 96.246]","(318.292, 324.789]"
"(18.657, 19.237]","(19.615, 20.196]","(14.727, 15.267]","(94.04, 96.246]","(324.789, 331.285]"
"(17.496, 18.076]","(20.777, 21.357]","(13.647, 14.187]","(96.246, 98.451]","(331.285, 337.781]"
"(19.818, 20.398]","(23.1, 23.681]","(18.509, 19.049]","(105.069, 107.275]","(370.261, 376.758]"
"(19.237, 19.818]","(20.777, 21.357]","(15.267, 15.808]","(100.657, 102.863]","(344.277, 350.773]"
"(16.335, 16.915]","(21.357, 21.938]","(14.727, 15.267]","(102.863, 105.069]","(357.269, 363.765]"
"(18.657, 19.237]","(21.938, 22.519]","(12.026, 12.566]","(100.657, 102.863]","(337.781, 344.277]"
"(16.915, 17.496]","(16.131, 16.711]","(15.808, 16.348]","(87.422, 89.628]","(311.796, 318.292]"
"(18.657, 19.237]","(17.873, 18.454]","(11.486, 12.026]","(91.834, 94.04]","(311.796, 318.292]"
"(20.398, 20.979]","(17.873, 18.454]","(14.187, 14.727]","(89.628, 91.834]","(318.292, 324.789]"
"(16.915, 17.496]","(22.519, 23.1]","(16.348, 16.888]","(102.863, 105.069]","(363.765, 370.261]"
"(23.301, 23.882]","(20.777, 21.357]","(10.405, 10.945]","(109.481, 111.687]","(363.765, 370.261]"
"(18.657, 19.237]","(17.292, 17.873]","(15.267, 15.808]","(87.422, 89.628]","(311.796, 318.292]"
"(20.979, 21.56]","(17.292, 17.873]","(15.267, 15.808]","(98.451, 100.657]","(344.277, 350.773]"
"(24.462, 25.043]","(15.55, 16.131]","(15.267, 15.808]","(94.04, 96.246]","(331.285, 337.781]"
"(16.335, 16.915]","(16.131, 16.711]","(13.106, 13.647]","(80.804, 83.01]","(285.812, 292.308]"
"(18.657, 19.237]","(23.681, 24.261]","(12.026, 12.566]","(109.481, 111.687]","(363.765, 370.261]"
"(19.237, 19.818]","(20.777, 21.357]","(15.267, 15.808]","(102.863, 105.069]","(357.269, 363.765]"
"(18.076, 18.657]","(22.519, 23.1]","(15.808, 16.348]","(107.275, 109.481]","(370.261, 376.758]"
"(22.14, 22.721]","(17.873, 18.454]","(17.969, 18.509]","(98.451, 100.657]","(344.277, 350.773]"
"(19.237, 19.818]","(20.196, 20.777]","(12.026, 12.566]","(100.657, 102.863]","(337.781, 344.277]"
"(22.14, 22.721]","(19.034, 19.615]","(14.187, 14.727]","(100.657, 102.863]","(344.277, 350.773]"
"(18.657, 19.237]","(19.615, 20.196]","(14.727, 15.267]","(91.834, 94.04]","(324.789, 331.285]"
"(20.398, 20.979]","(17.873, 18.454]","(13.647, 14.187]","(94.04, 96.246]","(324.789, 331.285]"
"(18.657, 19.237]","(13.796, 14.388]","(16.888, 17.428]","(78.598, 80.804]","(285.812, 292.308]"
"(18.657, 19.237]","(20.196, 20.777]","(15.267, 15.808]","(98.451, 100.657]","(337.781, 344.277]"
"(20.398, 20.979]","(17.292, 17.873]","(11.486, 12.026]","(94.04, 96.246]","(311.796, 318.292]"
"(20.979, 21.56]","(21.938, 22.519]","(15.267, 15.808]","(105.069, 107.275]","(363.765, 370.261]"
"(18.076, 18.657]","(19.034, 19.615]","(14.187, 14.727]","(91.834, 94.04]","(318.292, 324.789]"
"(18.076, 18.657]","(17.292, 17.873]","(12.026, 12.566]","(87.422, 89.628]","(305.3, 311.796]"
"(18.657, 19.237]","(18.454, 19.034]","(12.026, 12.566]","(89.628, 91.834]","(305.3, 311.796]"
"(19.237, 19.818]","(21.357, 21.938]","(13.647, 14.187]","(105.069, 107.275]","(350.773, 357.269]"
"(16.915, 17.496]","(20.777, 21.357]","(14.187, 14.727]","(98.451, 100.657]","(337.781, 344.277]"
"(19.237, 19.818]","(15.55, 16.131]","(12.026, 12.566]","(85.216, 87.422]","(292.308, 298.804]"
"(22.14, 22.721]","(21.938, 22.519]","(15.808, 16.348]","(109.481, 111.687]","(376.758, 383.254]"
"(16.915, 17.496]","(19.615, 20.196]","(15.808, 16.348]","(98.451, 100.657]","(337.781, 344.277]"
"(19.237, 19.818]","(24.842, 25.423]","(17.428, 17.969]","(113.893, 116.099]","(396.246, 402.742]"
"(23.301, 23.882]","(18.454, 19.034]","(20.13, 20.67]","(100.657, 102.863]","(363.765, 370.261]"
"(18.657, 19.237]","(21.938, 22.519]","(13.106, 13.647]","(102.863, 105.069]","(350.773, 357.269]"
"(18.076, 18.657]","(19.615, 20.196]","(20.13, 20.67]","(96.246, 98.451]","(350.773, 357.269]"
"(20.398, 20.979]","(17.292, 17.873]","(15.267, 15.808]","(96.246, 98.451]","(331.285, 337.781]"
"(19.818, 20.398]","(19.034, 19.615]","(17.428, 17.969]","(96.246, 98.451]","(337.781, 344.277]"
"(21.56, 22.14]","(19.034, 19.615]","(13.647, 14.187]","(98.451, 100.657]","(331.285, 337.781]"
"(16.335, 16.915]","(20.196, 20.777]","(14.727, 15.267]","(87.422, 89.628]","(311.796, 318.292]"
"(19.818, 20.398]","(16.711, 17.292]","(15.267, 15.808]","(87.422, 89.628]","(311.796, 318.292]"
"(19.818, 20.398]","(21.938, 22.519]","(13.647, 14.187]","(102.863, 105.069]","(350.773, 357.269]"
"(19.818, 20.398]","(18.454, 19.034]","(16.348, 16.888]","(91.834, 94.04]","(324.789, 331.285]"
"(18.076, 18.657]","(21.938, 22.519]","(13.106, 13.647]","(102.863, 105.069]","(350.773, 357.269]"
"(20.398, 20.979]","(17.873, 18.454]","(12.026, 12.566]","(94.04, 96.246]","(324.789, 331.285]"
"(22.14, 22.721]","(23.681, 24.261]","(13.106, 13.647]","(116.099, 118.305]","(389.75, 396.246]"
"(19.818, 20.398]","(17.873, 18.454]","(12.566, 13.106]","(94.04, 96.246]","(318.292, 324.789]"
"(19.818, 20.398]","(19.615, 20.196]","(13.647, 14.187]","(102.863, 105.069]","(350.773, 357.269]"
"(20.398, 20.979]","(16.711, 17.292]","(15.808, 16.348]","(91.834, 94.04]","(324.789, 331.285]"
"(19.237, 19.818]","(18.454, 19.034]","(9.854, 10.405]","(91.834, 94.04]","(305.3, 311.796]"
"(18.657, 19.237]","(20.196, 20.777]","(15.267, 15.808]","(98.451, 100.657]","(344.277, 350.773]"
"(20.398, 20.979]","(21.357, 21.938]","(18.509, 19.049]","(102.863, 105.069]","(363.765, 370.261]"
"(22.721, 23.301]","(21.357, 21.938]","(14.187, 14.727]","(109.481, 111.687]","(376.758, 383.254]"
"(20.979, 21.56]","(17.873, 18.454]","(13.106, 13.647]","(96.246, 98.451]","(324.789, 331.285]"
"(19.237, 19.818]","(19.615, 20.196]","(13.647, 14.187]","(96.246, 98.451]","(324.789, 331.285]"
"(22.14, 22.721]","(18.454, 19.034]","(13.106, 13.647]","(98.451, 100.657]","(337.781, 344.277]"
"(21.56, 22.14]","(20.777, 21.357]","(16.348, 16.888]","(109.481, 111.687]","(376.758, 383.254]"
"(22.14, 22.721]","(20.196, 20.777]","(17.428, 17.969]","(105.069, 107.275]","(370.261, 376.758]"
"(15.754, 16.335]","(19.615, 20.196]","(17.428, 17.969]","(91.834, 94.04]","(331.285, 337.781]"
"(20.398, 20.979]","(23.1, 23.681]","(15.267, 15.808]","(107.275, 109.481]","(370.261, 376.758]"
"(23.301, 23.882]","(21.357, 21.938]","(15.808, 16.348]","(107.275, 109.481]","(370.261, 376.758]"
"(23.301, 23.882]","(20.196, 20.777]","(15.267, 15.808]","(105.069, 107.275]","(363.765, 370.261]"
"(19.818, 20.398]","(19.034, 19.615]","(13.647, 14.187]","(100.657, 102.863]","(344.277, 350.773]"
"(18.657, 19.237]","(17.873, 18.454]","(15.808, 16.348]","(91.834, 94.04]","(318.292, 324.789]"
"(18.076, 18.657]","(20.777, 21.357]","(13.106, 13.647]","(102.863, 105.069]","(344.277, 350.773]"
"(19.818, 20.398]","(16.711, 17.292]","(17.969, 18.509]","(87.422, 89.628]","(318.292, 324.789]"
"(19.818, 20.398]","(20.196, 20.777]","(19.589, 20.13]","(98.451, 100.657]","(350.773, 357.269]"
"(20.398, 20.979]","(23.1, 23.681]","(16.348, 16.888]","(109.481, 111.687]","(383.254, 389.75]"
"(19.237, 19.818]","(17.292, 17.873]","(13.647, 14.187]","(91.834, 94.04]","(318.292, 324.789]"
"(18.657, 19.237]","(22.519, 23.1]","(14.727, 15.267]","(100.657, 102.863]","(344.277, 350.773]"
"(19.237, 19.818]","(17.873, 18.454]","(14.187, 14.727]","(89.628, 91.834]","(311.796, 318.292]"
"(19.237, 19.818]","(20.196, 20.777]","(13.106, 13.647]","(94.04, 96.246]","(324.789, 331.285]"
"(18.657, 19.237]","(19.034, 19.615]","(12.026, 12.566]","(98.451, 100.657]","(331.285, 337.781]"
"(16.915, 17.496]","(17.873, 18.454]","(14.187, 14.727]","(87.422, 89.628]","(311.796, 318.292]"
"(19.237, 19.818]","(20.777, 21.357]","(16.348, 16.888]","(100.657, 102.863]","(350.773, 357.269]"
"(18.657, 19.237]","(17.292, 17.873]","(14.187, 14.727]","(87.422, 89.628]","(305.3, 311.796]"
"(19.237, 19.818]","(21.357, 21.938]","(13.106, 13.647]","(102.863, 105.069]","(350.773, 357.269]"
"(17.496, 18.076]","(19.034, 19.615]","(14.187, 14.727]","(96.246, 98.451]","(331.285, 337.781]"
"(20.979, 21.56]","(17.292, 17.873]","(17.969, 18.509]","(94.04, 96.246]","(331.285, 337.781]"
"(20.398, 20.979]","(19.034, 19.615]","(16.888, 17.428]","(98.451, 100.657]","(344.277, 350.773]"
"(15.173, 15.754]","(20.196, 20.777]","(13.106, 13.647]","(91.834, 94.04]","(311.796, 318.292]"
"(21.56, 22.14]","(21.357, 21.938]","(13.647, 14.187]","(109.481, 111.687]","(370.261, 376.758]"
"(19.818, 20.398]","(17.873, 18.454]","(16.888, 17.428]","(96.246, 98.451]","(337.781, 344.277]"
"(20.398, 20.979]","(21.357, 21.938]","(14.727, 15.267]","(109.481, 111.687]","(370.261, 376.758]"
"(20.979, 21.56]","(17.292, 17.873]","(14.727, 15.267]","(94.04, 96.246]","(324.789, 331.285]"
"(20.979, 21.56]","(18.454, 19.034]","(12.566, 13.106]","(100.657, 102.863]","(337.781, 344.277]"
"(17.496, 18.076]","(14.388, 14.969]","(15.267, 15.808]","(76.392, 78.598]","(272.69, 279.316]"
"(22.721, 23.301]","(21.938, 22.519]","(11.486, 12.026]","(116.099, 118.305]","(383.254, 389.75]"
"(18.076, 18.657]","(16.131, 16.711]","(16.888, 17.428]","(87.422, 89.628]","(311.796, 318.292]"
"(19.237, 19.818]","(18.454, 19.034]","(13.106, 13.647]","(94.04, 96.246]","(324.789, 331.285]"
