A,B
"(508.714, 540.0]","(76.866, 82.6]"
"(508.714, 540.0]","(59.666, 65.399]"
"(321.0, 352.286]","(36.731, 42.465]"
"(321.0, 352.286]","(36.731, 42.465]"
"(195.857, 227.143]","(42.465, 48.199]"
"(258.429, 289.714]","(42.465, 48.199]"
"(352.286, 383.571]","(42.465, 48.199]"
"(352.286, 383.571]","(30.998, 36.731]"
"(258.429, 289.714]","(42.465, 48.199]"
"(446.143, 477.429]","(36.731, 42.465]"
"(195.857, 227.143]","(36.731, 42.465]"
"(195.857, 227.143]","(25.264, 30.998]"
"(414.857, 446.143]","(42.465, 48.199]"
"(164.571, 195.857]","(36.731, 42.465]"
"(289.714, 321.0]","(42.465, 48.199]"
"(352.286, 383.571]","(48.199, 53.932]"
"(133.286, 164.571]","(36.731, 42.465]"
"(321.0, 352.286]","(53.932, 59.666]"
"(352.286, 383.571]","(36.731, 42.465]"
"(446.143, 477.429]","(42.465, 48.199]"
"(414.857, 446.143]","(36.731, 42.465]"
"(133.286, 164.571]","(25.264, 30.998]"
"(133.286, 164.571]","(2.25, 8.064]"
"(133.286, 164.571]","(42.465, 48.199]"
"(352.286, 383.571]","(48.199, 53.932]"
"(352.286, 383.571]","(48.199, 53.932]"
"(352.286, 383.571]","(36.731, 42.465]"
"(321.0, 352.286]","(48.199, 53.932]"
"(414.857, 446.143]","(36.731, 42.465]"
"(446.143, 477.429]","(36.731, 42.465]"
"(289.714, 321.0]","(53.932, 59.666]"
"(258.429, 289.714]","(48.199, 53.932]"
"(195.857, 227.143]","(36.731, 42.465]"
"(446.143, 477.429]","(36.731, 42.465]"
"(164.571, 195.857]","(48.199, 53.932]"
"(227.143, 258.429]","(36.731, 42.465]"
"(227.143, 258.429]","(25.264, 30.998]"
"(321.0, 352.286]","(36.731, 42.465]"
"(446.143, 477.429]","(36.731, 42.465]"
"(227.143, 258.429]","(30.998, 36.731]"
"(321.0, 352.286]","(48.199, 53.932]"
"(414.857, 446.143]","(42.465, 48.199]"
"(227.143, 258.429]","(36.731, 42.465]"
"(352.286, 383.571]","(48.199, 53.932]"
"(414.857, 446.143]","(36.731, 42.465]"
"(414.857, 446.143]","(30.998, 36.731]"
"(321.0, 352.286]","(13.797, 19.531]"
"(352.286, 383.571]","(36.731, 42.465]"
"(227.143, 258.429]","(25.264, 30.998]"
"(352.286, 383.571]","(30.998, 36.731]"
"(321.0, 352.286]","(36.731, 42.465]"
"(164.571, 195.857]","(42.465, 48.199]"
"(227.143, 258.429]","(30.998, 36.731]"
