A,B
"(6.071, 6.714]","(9.686, 10.8]"
"(9.881, 10.515]","(7.457, 8.571]"
"(8.614, 9.248]","(6.343, 7.457]"
"(13.049, 13.683]","(7.457, 8.571]"
"(9.881, 10.515]","(5.229, 6.343]"
"(7.981, 8.614]","(8.571, 9.686]"
"(11.782, 12.416]","(7.457, 8.571]"
"(13.683, 14.316]","(7.457, 8.571]"
"(12.416, 13.049]","(6.343, 7.457]"
"(10.515, 11.149]","(7.457, 8.571]"
"(10.515, 11.149]","(7.457, 8.571]"
"(13.049, 13.683]","(7.457, 8.571]"
"(7.981, 8.614]","(7.457, 8.571]"
"(11.149, 11.782]","(7.457, 8.571]"
"(10.515, 11.149]","(7.457, 8.571]"
"(9.248, 9.881]","(7.457, 8.571]"
"(7.347, 7.981]","(7.457, 8.571]"
"(7.981, 8.614]","(6.343, 7.457]"
"(10.515, 11.149]","(7.457, 8.571]"
"(8.614, 9.248]","(8.571, 9.686]"
"(11.149, 11.782]","(7.457, 8.571]"
"(11.782, 12.416]","(6.343, 7.457]"
"(8.614, 9.248]","(7.457, 8.571]"
"(12.416, 13.049]","(8.571, 9.686]"
"(7.347, 7.981]","(9.686, 10.8]"
"(7.981, 8.614]","(6.343, 7.457]"
"(13.049, 13.683]","(8.571, 9.686]"
"(13.049, 13.683]","(8.571, 9.686]"
"(13.049, 13.683]","(8.571, 9.686]"
"(13.049, 13.683]","(8.571, 9.686]"
"(11.149, 11.782]","(8.571, 9.686]"
"(6.714, 7.347]","(9.686, 10.8]"
"(6.071, 6.714]","(8.571, 9.686]"
"(7.981, 8.614]","(7.457, 8.571]"
"(9.248, 9.881]","(7.457, 8.571]"
"(11.782, 12.416]","(9.686, 10.8]"
"(6.071, 6.714]","(8.571, 9.686]"
"(10.515, 11.149]","(7.457, 8.571]"
"(11.149, 11.782]","(7.457, 8.571]"
"(6.714, 7.347]","(9.686, 10.8]"
"(7.981, 8.614]","(6.343, 7.457]"
"(6.714, 7.347]","(8.571, 9.686]"
"(9.248, 9.881]","(7.457, 8.571]"
"(7.981, 8.614]","(8.571, 9.686]"
"(9.248, 9.881]","(7.457, 8.571]"
"(10.515, 11.149]","(5.229, 6.343]"
"(9.881, 10.515]","(8.571, 9.686]"
"(8.614, 9.248]","(8.571, 9.686]"
"(7.981, 8.614]","(8.571, 9.686]"
"(10.515, 11.149]","(1.886, 3.0]"
"(11.782, 12.416]","(7.457, 8.571]"
"(9.248, 9.881]","(7.457, 8.571]"
"(9.248, 9.881]","(7.457, 8.571]"
"(9.881, 10.515]","(7.457, 8.571]"
"(8.614, 9.248]","(8.571, 9.686]"
"(9.881, 10.515]","(8.571, 9.686]"
"(12.416, 13.049]","(7.457, 8.571]"
"(12.416, 13.049]","(7.457, 8.571]"
"(9.881, 10.515]","(5.229, 6.343]"
