A,B
"(6.079, 7.147]","(9.3, 9.714]"
"(10.197, 10.627]","(8.1, 8.3]"
"(8.97, 9.421]","(6.1, 6.7]"
"(12.323, 13.08]","(7.9, 8.1]"
"(10.197, 10.627]","(6.1, 6.7]"
"(7.944, 8.241]","(9.3, 9.714]"
"(11.783, 12.323]","(7.7, 7.9]"
"(13.08, 14.95]","(8.1, 8.3]"
"(12.323, 13.08]","(6.1, 6.7]"
"(10.197, 10.627]","(8.1, 8.3]"
"(10.197, 10.627]","(7.2, 7.7]"
"(13.08, 14.95]","(7.7, 7.9]"
"(7.944, 8.241]","(8.3, 8.5]"
"(11.104, 11.783]","(8.3, 8.5]"
"(10.627, 11.104]","(7.9, 8.1]"
"(9.421, 9.83]","(7.2, 7.7]"
"(7.147, 7.944]","(8.3, 8.5]"
"(8.241, 8.539]","(6.7, 7.2]"
"(10.627, 11.104]","(8.3, 8.5]"
"(8.539, 8.97]","(8.5, 8.7]"
"(11.104, 11.783]","(7.2, 7.7]"
"(11.783, 12.323]","(6.1, 6.7]"
"(8.539, 8.97]","(7.9, 8.1]"
"(12.323, 13.08]","(8.7, 8.8]"
"(7.944, 8.241]","(9.714, 10.8]"
"(8.241, 8.539]","(6.7, 7.2]"
"(13.08, 14.95]","(8.7, 8.8]"
"(13.08, 14.95]","(8.8, 9.043]"
"(13.08, 14.95]","(9.043, 9.3]"
"(13.08, 14.95]","(9.3, 9.714]"
"(11.104, 11.783]","(9.043, 9.3]"
"(6.079, 7.147]","(9.714, 10.8]"
"(6.079, 7.147]","(8.7, 8.8]"
"(8.241, 8.539]","(7.2, 7.7]"
"(9.421, 9.83]","(7.2, 7.7]"
"(11.783, 12.323]","(9.714, 10.8]"
"(6.079, 7.147]","(9.3, 9.714]"
"(10.627, 11.104]","(8.1, 8.3]"
"(11.104, 11.783]","(8.3, 8.5]"
"(6.079, 7.147]","(9.714, 10.8]"
"(8.241, 8.539]","(6.7, 7.2]"
"(6.079, 7.147]","(9.043, 9.3]"
"(9.421, 9.83]","(8.1, 8.3]"
"(8.241, 8.539]","(8.7, 8.8]"
"(9.421, 9.83]","(7.9, 8.1]"
"(10.197, 10.627]","(-4.801, 6.1]"
"(10.197, 10.627]","(8.7, 8.8]"
"(8.539, 8.97]","(8.7, 8.8]"
"(8.539, 8.97]","(8.8, 9.043]"
"(10.197, 10.627]","(-4.801, 6.1]"
"(11.783, 12.323]","(7.7, 7.9]"
"(9.421, 9.83]","(7.7, 7.9]"
"(8.97, 9.421]","(7.9, 8.1]"
"(9.83, 10.197]","(7.7, 7.9]"
"(8.97, 9.421]","(9.043, 9.3]"
"(9.83, 10.197]","(8.8, 9.043]"
"(12.323, 13.08]","(7.7, 7.9]"
"(12.323, 13.08]","(7.7, 7.9]"
"(10.197, 10.627]","(6.1, 6.7]"
"(13.08, 14.95]","(8.8, 9.043]"
"(8.539, 8.97]","(8.8, 9.043]"
"(8.539, 8.97]","(9.714, 10.8]"
"(6.079, 7.147]","(7.7, 7.9]"
"(8.241, 8.539]","(7.2, 7.7]"
"(13.08, 14.95]","(8.3, 8.5]"
"(8.241, 8.539]","(6.7, 7.2]"
"(13.08, 14.95]","(8.8, 9.043]"
"(8.97, 9.421]","(8.1, 8.3]"
"(8.241, 8.539]","(6.7, 7.2]"
"(6.079, 7.147]","(9.714, 10.8]"
"(6.079, 7.147]","(9.714, 10.8]"
"(9.83, 10.197]","(8.7, 8.8]"
"(11.104, 11.783]","(8.3, 8.5]"
"(9.83, 10.197]","(7.2, 7.7]"
"(6.079, 7.147]","(9.714, 10.8]"
"(7.147, 7.944]","(9.043, 9.3]"
"(7.147, 7.944]","(8.7, 8.8]"
"(7.147, 7.944]","(8.5, 8.7]"
"(8.97, 9.421]","(6.7, 7.2]"
"(8.241, 8.539]","(6.7, 7.2]"
"(11.783, 12.323]","(7.7, 7.9]"
"(8.97, 9.421]","(8.1, 8.3]"
"(10.627, 11.104]","(7.7, 7.9]"
"(9.421, 9.83]","(8.7, 8.8]"
"(10.627, 11.104]","(8.5, 8.7]"
"(7.147, 7.944]","(9.714, 10.8]"
"(6.079, 7.147]","(9.3, 9.714]"
"(7.944, 8.241]","(-4.801, 6.1]"
"(12.323, 13.08]","(-4.801, 6.1]"
"(8.97, 9.421]","(8.1, 8.3]"
