A,B,C,D,E
"(18.983, 20.214]","(12.975, 14.546]","(6.015, 7.911]","(86.19, 91.407]","(257.935, 282.067]"
"(21.403, 22.481]","(25.276, 26.938]","(13.497, 14.778]","(119.64, 126.043]","(403.944, 425.067]"
"(16.774, 18.028]","(31.997, 42.68]","(7.911, 9.803]","(133.748, 142.923]","(447.352, 479.557]"
"(18.028, 18.983]","(14.546, 15.951]","(13.497, 14.778]","(86.19, 91.407]","(293.752, 308.871]"
"(7.411, 10.456]","(17.821, 18.918]","(27.752, 43.397]","(78.216, 82.481]","(322.736, 334.869]"
"(-4.7700000000000005, 7.411]","(21.495, 22.552]","(19.461, 21.331]","(63.327, 72.472]","(257.935, 282.067]"
"(21.403, 22.481]","(12.975, 14.546]","(11.311, 12.496]","(91.407, 95.713]","(293.752, 308.871]"
"(12.404, 14.19]","(29.577, 31.997]","(13.497, 14.778]","(110.126, 115.038]","(374.086, 391.008]"
"(22.481, 23.945]","(14.546, 15.951]","(24.885, 27.752]","(95.713, 100.05]","(347.026, 359.417]"
"(27.428, 29.122]","(21.495, 22.552]","(11.311, 12.496]","(126.043, 133.748]","(403.944, 425.067]"
"(18.983, 20.214]","(17.821, 18.918]","(16.807, 18.031]","(86.19, 91.407]","(322.736, 334.869]"
"(21.403, 22.481]","(18.918, 20.392]","(21.331, 23.241]","(104.547, 110.126]","(391.008, 403.944]"
"(7.411, 10.456]","(18.918, 20.392]","(18.031, 19.461]","(72.472, 78.216]","(257.935, 282.067]"
"(25.61, 27.428]","(29.577, 31.997]","(9.803, 11.311]","(142.923, 172.911]","(447.352, 479.557]"
"(-4.7700000000000005, 7.411]","(23.822, 25.276]","(18.031, 19.461]","(82.481, 86.19]","(308.871, 322.736]"
"(15.535, 16.774]","(29.577, 31.997]","(13.497, 14.778]","(115.038, 119.64]","(391.008, 403.944]"
"(10.456, 12.404]","(29.577, 31.997]","(16.807, 18.031]","(126.043, 133.748]","(425.067, 447.352]"
"(18.983, 20.214]","(6.922, 10.242]","(19.461, 21.331]","(63.327, 72.472]","(282.067, 293.752]"
"(18.983, 20.214]","(12.975, 14.546]","(13.497, 14.778]","(91.407, 95.713]","(322.736, 334.869]"
"(7.411, 10.456]","(21.495, 22.552]","(9.803, 11.311]","(82.481, 86.19]","(282.067, 293.752]"
"(14.19, 15.535]","(26.938, 29.577]","(19.461, 21.331]","(119.64, 126.043]","(425.067, 447.352]"
"(7.411, 10.456]","(18.918, 20.392]","(18.031, 19.461]","(52.897, 63.327]","(235.888, 257.935]"
"(14.19, 15.535]","(29.577, 31.997]","(18.031, 19.461]","(133.748, 142.923]","(447.352, 479.557]"
