A,B,C,D,E
"(20.023, 24.156]","(12.072, 15.898]","(5.832, 10.006]","(82.451, 95.374]","(268.101, 310.609]"
"(20.023, 24.156]","(23.55, 27.376]","(14.18, 18.354]","(108.297, 121.22]","(395.624, 438.132]"
"(15.891, 20.023]","(31.202, 35.028]","(5.832, 10.006]","(134.143, 147.065]","(438.132, 480.64]"
"(15.891, 20.023]","(12.072, 15.898]","(14.18, 18.354]","(82.451, 95.374]","(268.101, 310.609]"
"(7.627, 11.759]","(15.898, 19.724]","(30.875, 35.049]","(69.528, 82.451]","(310.609, 353.116]"
"(-4.819, -0.637]","(19.724, 23.55]","(18.354, 22.527]","(56.605, 69.528]","(225.593, 268.101]"
"(20.023, 24.156]","(12.072, 15.898]","(10.006, 14.18]","(82.451, 95.374]","(268.101, 310.609]"
"(11.759, 15.891]","(27.376, 31.202]","(14.18, 18.354]","(108.297, 121.22]","(353.116, 395.624]"
"(20.023, 24.156]","(12.072, 15.898]","(22.527, 26.701]","(95.374, 108.297]","(353.116, 395.624]"
"(24.156, 28.288]","(19.724, 23.55]","(10.006, 14.18]","(121.22, 134.143]","(395.624, 438.132]"
"(15.891, 20.023]","(15.898, 19.724]","(14.18, 18.354]","(82.451, 95.374]","(310.609, 353.116]"
"(20.023, 24.156]","(19.724, 23.55]","(22.527, 26.701]","(95.374, 108.297]","(395.624, 438.132]"
"(7.627, 11.759]","(15.898, 19.724]","(18.354, 22.527]","(69.528, 82.451]","(268.101, 310.609]"
"(24.156, 28.288]","(31.202, 35.028]","(10.006, 14.18]","(147.065, 159.988]","(438.132, 480.64]"
"(3.495, 7.627]","(23.55, 27.376]","(14.18, 18.354]","(82.451, 95.374]","(268.101, 310.609]"
"(15.891, 20.023]","(31.202, 35.028]","(14.18, 18.354]","(108.297, 121.22]","(353.116, 395.624]"
"(11.759, 15.891]","(27.376, 31.202]","(14.18, 18.354]","(121.22, 134.143]","(438.132, 480.64]"
"(20.023, 24.156]","(8.246, 12.072]","(18.354, 22.527]","(69.528, 82.451]","(268.101, 310.609]"
"(15.891, 20.023]","(12.072, 15.898]","(14.18, 18.354]","(82.451, 95.374]","(310.609, 353.116]"
"(3.495, 7.627]","(19.724, 23.55]","(10.006, 14.18]","(82.451, 95.374]","(268.101, 310.609]"
"(11.759, 15.891]","(27.376, 31.202]","(18.354, 22.527]","(121.22, 134.143]","(395.624, 438.132]"
"(7.627, 11.759]","(15.898, 19.724]","(18.354, 22.527]","(56.605, 69.528]","(225.593, 268.101]"
"(11.759, 15.891]","(27.376, 31.202]","(18.354, 22.527]","(134.143, 147.065]","(438.132, 480.64]"
"(20.023, 24.156]","(12.072, 15.898]","(14.18, 18.354]","(95.374, 108.297]","(310.609, 353.116]"
"(7.627, 11.759]","(12.072, 15.898]","(26.701, 30.875]","(56.605, 69.528]","(268.101, 310.609]"
"(32.42, 36.552]","(15.898, 19.724]","(22.527, 26.701]","(108.297, 121.22]","(395.624, 438.132]"
"(15.891, 20.023]","(19.724, 23.55]","(10.006, 14.18]","(95.374, 108.297]","(310.609, 353.116]"
"(24.156, 28.288]","(23.55, 27.376]","(10.006, 14.18]","(108.297, 121.22]","(353.116, 395.624]"
"(36.552, 40.684]","(12.072, 15.898]","(18.354, 22.527]","(108.297, 121.22]","(395.624, 438.132]"
"(3.495, 7.627]","(31.202, 35.028]","(10.006, 14.18]","(108.297, 121.22]","(353.116, 395.624]"
"(15.891, 20.023]","(19.724, 23.55]","(18.354, 22.527]","(82.451, 95.374]","(310.609, 353.116]"
"(15.891, 20.023]","(15.898, 19.724]","(5.832, 10.006]","(82.451, 95.374]","(268.101, 310.609]"
"(11.759, 15.891]","(15.898, 19.724]","(10.006, 14.18]","(69.528, 82.451]","(268.101, 310.609]"
"(28.288, 32.42]","(27.376, 31.202]","(10.006, 14.18]","(147.065, 159.988]","(480.64, 523.148]"
"(15.891, 20.023]","(19.724, 23.55]","(5.832, 10.006]","(95.374, 108.297]","(268.101, 310.609]"
"(28.288, 32.42]","(19.724, 23.55]","(14.18, 18.354]","(108.297, 121.22]","(353.116, 395.624]"
"(11.759, 15.891]","(8.246, 12.072]","(22.527, 26.701]","(56.605, 69.528]","(268.101, 310.609]"
"(20.023, 24.156]","(0.594, 4.42]","(35.049, 39.223]","(43.682, 56.605]","(225.593, 268.101]"
"(15.891, 20.023]","(12.072, 15.898]","(10.006, 14.18]","(69.528, 82.451]","(225.593, 268.101]"
"(15.891, 20.023]","(15.898, 19.724]","(14.18, 18.354]","(56.605, 69.528]","(225.593, 268.101]"
"(20.023, 24.156]","(12.072, 15.898]","(18.354, 22.527]","(82.451, 95.374]","(310.609, 353.116]"
"(24.156, 28.288]","(15.898, 19.724]","(5.832, 10.006]","(95.374, 108.297]","(310.609, 353.116]"
"(11.759, 15.891]","(8.246, 12.072]","(26.701, 30.875]","(30.759, 43.682]","(183.085, 225.593]"
