A,B,C,D,E
"(18.767, 20.779]","(7.754, 9.985]","(23.23, 25.252]","(63.079, 70.439]","(252.238, 277.491]"
"(20.779, 22.792]","(25.605, 27.836]","(13.123, 15.144]","(129.326, 136.687]","(454.258, 479.511]"
"(14.741, 16.754]","(14.448, 16.679]","(5.036, 7.058]","(55.718, 63.079]","(201.733, 226.986]"
"(16.754, 18.767]","(18.911, 21.142]","(9.08, 11.101]","(85.161, 92.522]","(302.743, 327.996]"
"(6.691, 8.704]","(16.679, 18.911]","(23.23, 25.252]","(63.079, 70.439]","(252.238, 277.491]"
"(-3.422, -1.359]","(25.605, 27.836]","(17.166, 19.187]","(70.439, 77.8]","(252.238, 277.491]"
"(20.779, 22.792]","(14.448, 16.679]","(-3.05, -1.028]","(92.522, 99.883]","(252.238, 277.491]"
"(10.716, 12.729]","(9.985, 12.217]","(23.23, 25.252]","(48.357, 55.718]","(226.986, 252.238]"
"(22.792, 24.804]","(18.911, 21.142]","(15.144, 17.166]","(92.522, 99.883]","(302.743, 327.996]"
"(26.817, 28.829]","(27.836, 30.067]","(37.381, 39.403]","(144.048, 151.409]","(555.268, 580.521]"
"(18.767, 20.779]","(16.679, 18.911]","(7.058, 9.08]","(77.8, 85.161]","(252.238, 277.491]"
"(20.779, 22.792]","(34.53, 36.761]","(23.23, 25.252]","(151.409, 158.77]","(530.016, 555.268]"
"(6.691, 8.704]","(25.605, 27.836]","(13.123, 15.144]","(85.161, 92.522]","(277.491, 302.743]"
"(26.817, 28.829]","(16.679, 18.911]","(3.015, 5.036]","(107.244, 114.604]","(327.996, 353.248]"
"(2.666, 4.678]","(18.911, 21.142]","(11.101, 13.123]","(63.079, 70.439]","(252.238, 277.491]"
"(14.741, 16.754]","(23.373, 25.605]","(11.101, 13.123]","(99.883, 107.244]","(353.248, 378.501]"
"(10.716, 12.729]","(30.067, 32.299]","(15.144, 17.166]","(85.161, 92.522]","(302.743, 327.996]"
"(18.767, 20.779]","(38.993, 41.224]","(-1.028, 0.993]","(166.13, 173.491]","(479.511, 504.763]"
"(18.767, 20.779]","(30.067, 32.299]","(23.23, 25.252]","(121.965, 129.326]","(454.258, 479.511]"
"(4.678, 6.691]","(27.836, 30.067]","(9.08, 11.101]","(99.883, 107.244]","(327.996, 353.248]"
"(12.729, 14.741]","(25.605, 27.836]","(23.23, 25.252]","(107.244, 114.604]","(403.753, 429.006]"
"(6.691, 8.704]","(30.067, 32.299]","(7.058, 9.08]","(114.604, 121.965]","(353.248, 378.501]"
"(12.729, 14.741]","(7.754, 9.985]","(33.338, 35.359]","(33.635, 40.996]","(201.733, 226.986]"
"(22.792, 24.804]","(27.836, 30.067]","(7.058, 9.08]","(129.326, 136.687]","(403.753, 429.006]"
"(4.678, 6.691]","(18.911, 21.142]","(13.123, 15.144]","(70.439, 77.8]","(252.238, 277.491]"
"(34.867, 36.88]","(30.067, 32.299]","(0.993, 3.015]","(158.77, 166.13]","(479.511, 504.763]"
"(14.741, 16.754]","(32.299, 34.53]","(9.08, 11.101]","(144.048, 151.409]","(454.258, 479.511]"
"(24.804, 26.817]","(23.373, 25.605]","(15.144, 17.166]","(121.965, 129.326]","(403.753, 429.006]"
"(38.892, 40.905]","(7.754, 9.985]","(21.209, 23.23]","(99.883, 107.244]","(353.248, 378.501]"
"(4.678, 6.691]","(12.217, 14.448]","(23.23, 25.252]","(33.635, 40.996]","(176.48, 201.733]"
"(14.741, 16.754]","(7.754, 9.985]","(5.036, 7.058]","(55.718, 63.079]","(201.733, 226.986]"
"(16.754, 18.767]","(30.067, 32.299]","(15.144, 17.166]","(129.326, 136.687]","(429.006, 454.258]"
"(10.716, 12.729]","(18.911, 21.142]","(9.08, 11.101]","(77.8, 85.161]","(252.238, 277.491]"
"(28.829, 30.842]","(3.291, 5.523]","(19.187, 21.209]","(63.079, 70.439]","(252.238, 277.491]"
"(16.754, 18.767]","(14.448, 16.679]","(15.144, 17.166]","(70.439, 77.8]","(252.238, 277.491]"
"(30.842, 32.855]","(5.523, 7.754]","(13.123, 15.144]","(85.161, 92.522]","(277.491, 302.743]"
"(14.741, 16.754]","(21.142, 23.373]","(29.295, 31.316]","(92.522, 99.883]","(353.248, 378.501]"
"(22.792, 24.804]","(32.299, 34.53]","(21.209, 23.23]","(158.77, 166.13]","(555.268, 580.521]"
"(14.741, 16.754]","(45.687, 47.918]","(17.166, 19.187]","(188.213, 195.574]","(631.026, 656.278]"
"(14.741, 16.754]","(25.605, 27.836]","(11.101, 13.123]","(114.604, 121.965]","(378.501, 403.753]"
"(20.779, 22.792]","(12.217, 14.448]","(5.036, 7.058]","(77.8, 85.161]","(226.986, 252.238]"
"(24.804, 26.817]","(9.985, 12.217]","(19.187, 21.209]","(63.079, 70.439]","(226.986, 252.238]"
"(10.716, 12.729]","(7.754, 9.985]","(0.993, 3.015]","(55.718, 63.079]","(151.228, 176.48]"
"(10.716, 12.729]","(27.836, 30.067]","(17.166, 19.187]","(92.522, 99.883]","(327.996, 353.248]"
"(12.729, 14.741]","(21.142, 23.373]","(29.295, 31.316]","(85.161, 92.522]","(353.248, 378.501]"
"(16.754, 18.767]","(16.679, 18.911]","(3.015, 5.036]","(85.161, 92.522]","(277.491, 302.743]"
"(6.691, 8.704]","(14.448, 16.679]","(25.252, 27.273]","(55.718, 63.079]","(226.986, 252.238]"
"(16.754, 18.767]","(9.985, 12.217]","(7.058, 9.08]","(77.8, 85.161]","(252.238, 277.491]"
