A,B
"(6.079, 7.765]","(9.4, 10.8]"
"(9.83, 10.525]","(7.95, 8.3]"
"(8.42, 9.1]","(-4.801, 6.6]"
"(12.585, 14.95]","(7.95, 8.3]"
"(9.83, 10.525]","(-4.801, 6.6]"
"(7.765, 8.42]","(8.9, 9.4]"
"(11.53, 12.585]","(7.5, 7.95]"
"(12.585, 14.95]","(7.95, 8.3]"
"(12.585, 14.95]","(-4.801, 6.6]"
"(10.525, 11.53]","(7.95, 8.3]"
"(10.525, 11.53]","(6.6, 7.5]"
"(12.585, 14.95]","(7.5, 7.95]"
"(7.765, 8.42]","(8.3, 8.6]"
"(10.525, 11.53]","(8.3, 8.6]"
"(10.525, 11.53]","(7.95, 8.3]"
"(9.1, 9.83]","(7.5, 7.95]"
"(6.079, 7.765]","(8.3, 8.6]"
"(7.765, 8.42]","(6.6, 7.5]"
"(10.525, 11.53]","(8.3, 8.6]"
"(8.42, 9.1]","(8.3, 8.6]"
"(11.53, 12.585]","(7.5, 7.95]"
"(11.53, 12.585]","(-4.801, 6.6]"
"(8.42, 9.1]","(7.95, 8.3]"
"(12.585, 14.95]","(8.6, 8.9]"
"(7.765, 8.42]","(9.4, 10.8]"
"(7.765, 8.42]","(6.6, 7.5]"
"(12.585, 14.95]","(8.6, 8.9]"
"(12.585, 14.95]","(8.6, 8.9]"
"(12.585, 14.95]","(8.9, 9.4]"
"(12.585, 14.95]","(8.9, 9.4]"
"(11.53, 12.585]","(8.9, 9.4]"
"(6.079, 7.765]","(9.4, 10.8]"
"(6.079, 7.765]","(8.6, 8.9]"
"(8.42, 9.1]","(7.5, 7.95]"
"(9.1, 9.83]","(6.6, 7.5]"
"(11.53, 12.585]","(9.4, 10.8]"
"(6.079, 7.765]","(8.9, 9.4]"
"(10.525, 11.53]","(7.95, 8.3]"
"(10.525, 11.53]","(8.3, 8.6]"
"(6.079, 7.765]","(9.4, 10.8]"
"(7.765, 8.42]","(6.6, 7.5]"
"(6.079, 7.765]","(8.9, 9.4]"
"(9.1, 9.83]","(7.95, 8.3]"
"(8.42, 9.1]","(8.6, 8.9]"
"(9.1, 9.83]","(7.95, 8.3]"
"(10.525, 11.53]","(-4.801, 6.6]"
"(9.83, 10.525]","(8.6, 8.9]"
"(8.42, 9.1]","(8.6, 8.9]"
"(8.42, 9.1]","(8.9, 9.4]"
"(10.525, 11.53]","(-4.801, 6.6]"
"(11.53, 12.585]","(7.5, 7.95]"
"(9.1, 9.83]","(7.5, 7.95]"
"(9.1, 9.83]","(7.95, 8.3]"
"(9.83, 10.525]","(7.5, 7.95]"
"(8.42, 9.1]","(8.9, 9.4]"
"(9.83, 10.525]","(8.6, 8.9]"
"(12.585, 14.95]","(7.5, 7.95]"
"(12.585, 14.95]","(7.5, 7.95]"
"(9.83, 10.525]","(-4.801, 6.6]"
"(12.585, 14.95]","(8.6, 8.9]"
"(8.42, 9.1]","(8.6, 8.9]"
"(8.42, 9.1]","(9.4, 10.8]"
"(6.079, 7.765]","(7.5, 7.95]"
"(8.42, 9.1]","(6.6, 7.5]"
"(12.585, 14.95]","(8.3, 8.6]"
"(8.42, 9.1]","(6.6, 7.5]"
"(12.585, 14.95]","(8.6, 8.9]"
"(8.42, 9.1]","(7.95, 8.3]"
"(8.42, 9.1]","(6.6, 7.5]"
"(6.079, 7.765]","(9.4, 10.8]"
"(6.079, 7.765]","(9.4, 10.8]"
"(9.83, 10.525]","(8.6, 8.9]"
"(11.53, 12.585]","(8.3, 8.6]"
"(9.83, 10.525]","(7.5, 7.95]"
"(6.079, 7.765]","(9.4, 10.8]"
"(6.079, 7.765]","(8.9, 9.4]"
"(6.079, 7.765]","(8.6, 8.9]"
"(6.079, 7.765]","(8.3, 8.6]"
"(9.1, 9.83]","(6.6, 7.5]"
"(8.42, 9.1]","(6.6, 7.5]"
"(11.53, 12.585]","(7.5, 7.95]"
"(9.1, 9.83]","(7.95, 8.3]"
"(10.525, 11.53]","(7.5, 7.95]"
"(9.1, 9.83]","(8.6, 8.9]"
"(10.525, 11.53]","(8.3, 8.6]"
"(6.079, 7.765]","(9.4, 10.8]"
"(6.079, 7.765]","(9.4, 10.8]"
"(7.765, 8.42]","(-4.801, 6.6]"
"(12.585, 14.95]","(-4.801, 6.6]"
"(9.1, 9.83]","(7.95, 8.3]"
"(8.42, 9.1]","(9.4, 10.8]"
"(8.42, 9.1]","(9.4, 10.8]"
"(12.585, 14.95]","(8.6, 8.9]"
"(7.765, 8.42]","(8.9, 9.4]"
"(9.1, 9.83]","(8.3, 8.6]"
"(7.765, 8.42]","(-4.801, 6.6]"
"(7.765, 8.42]","(-4.801, 6.6]"
"(10.525, 11.53]","(6.6, 7.5]"
"(9.1, 9.83]","(8.9, 9.4]"
"(7.765, 8.42]","(8.6, 8.9]"
"(9.1, 9.83]","(7.95, 8.3]"
"(10.525, 11.53]","(8.3, 8.6]"
"(10.525, 11.53]","(-4.801, 6.6]"
"(7.765, 8.42]","(9.4, 10.8]"
"(11.53, 12.585]","(8.3, 8.6]"
"(11.53, 12.585]","(7.5, 7.95]"
"(8.42, 9.1]","(9.4, 10.8]"
"(8.42, 9.1]","(8.9, 9.4]"
"(9.1, 9.83]","(8.3, 8.6]"
"(12.585, 14.95]","(7.95, 8.3]"
"(9.83, 10.525]","(8.6, 8.9]"
"(11.53, 12.585]","(7.95, 8.3]"
"(10.525, 11.53]","(7.95, 8.3]"
"(12.585, 14.95]","(7.95, 8.3]"
"(11.53, 12.585]","(7.5, 7.95]"
"(7.765, 8.42]","(8.6, 8.9]"
"(12.585, 14.95]","(-4.801, 6.6]"
