A,B
"(4.317, 4.942]","(4.927, 7.048]"
"(2.8320000000000003, 3.912]","(4.927, 7.048]"
"(2.8320000000000003, 3.912]","(4.927, 7.048]"
"(2.8320000000000003, 3.912]","(4.927, 7.048]"
"(2.8320000000000003, 3.912]","(4.14, 4.927]"
"(2.8320000000000003, 3.912]","(4.927, 7.048]"
"(2.8320000000000003, 3.912]","(4.927, 7.048]"
"(2.8320000000000003, 3.912]","(4.927, 7.048]"
"(2.8320000000000003, 3.912]","(4.927, 7.048]"
"(2.8320000000000003, 3.912]","(4.927, 7.048]"
"(5.704, 7.313]","(3.178, 3.638]"
"(5.704, 7.313]","(3.638, 4.14]"
"(3.912, 4.317]","(4.14, 4.927]"
"(2.8320000000000003, 3.912]","(4.14, 4.927]"
"(5.704, 7.313]","(1.7910000000000001, 3.178]"
"(4.942, 5.704]","(3.178, 3.638]"
"(4.942, 5.704]","(1.7910000000000001, 3.178]"
"(4.942, 5.704]","(3.178, 3.638]"
"(4.942, 5.704]","(3.178, 3.638]"
"(4.317, 4.942]","(4.14, 4.927]"
"(4.942, 5.704]","(3.178, 3.638]"
"(4.942, 5.704]","(3.178, 3.638]"
"(4.942, 5.704]","(3.638, 4.14]"
"(4.317, 4.942]","(4.14, 4.927]"
"(5.704, 7.313]","(1.7910000000000001, 3.178]"
"(5.704, 7.313]","(4.14, 4.927]"
"(5.704, 7.313]","(3.178, 3.638]"
"(5.704, 7.313]","(3.178, 3.638]"
"(5.704, 7.313]","(4.14, 4.927]"
"(5.704, 7.313]","(3.178, 3.638]"
"(2.8320000000000003, 3.912]","(4.927, 7.048]"
"(2.8320000000000003, 3.912]","(4.927, 7.048]"
"(2.8320000000000003, 3.912]","(3.178, 3.638]"
"(2.8320000000000003, 3.912]","(4.14, 4.927]"
"(3.912, 4.317]","(4.14, 4.927]"
"(3.912, 4.317]","(4.927, 7.048]"
"(2.8320000000000003, 3.912]","(1.7910000000000001, 3.178]"
"(2.8320000000000003, 3.912]","(3.178, 3.638]"
"(2.8320000000000003, 3.912]","(4.14, 4.927]"
"(2.8320000000000003, 3.912]","(3.178, 3.638]"
"(2.8320000000000003, 3.912]","(3.178, 3.638]"
"(2.8320000000000003, 3.912]","(3.638, 4.14]"
"(2.8320000000000003, 3.912]","(3.638, 4.14]"
"(2.8320000000000003, 3.912]","(3.638, 4.14]"
"(4.317, 4.942]","(4.14, 4.927]"
"(4.317, 4.942]","(4.14, 4.927]"
"(5.704, 7.313]","(1.7910000000000001, 3.178]"
"(5.704, 7.313]","(1.7910000000000001, 3.178]"
"(5.704, 7.313]","(3.638, 4.14]"
"(4.942, 5.704]","(3.638, 4.14]"
"(5.704, 7.313]","(1.7910000000000001, 3.178]"
"(5.704, 7.313]","(1.7910000000000001, 3.178]"
"(4.317, 4.942]","(4.14, 4.927]"
"(4.942, 5.704]","(3.178, 3.638]"
"(4.317, 4.942]","(3.178, 3.638]"
"(4.317, 4.942]","(3.638, 4.14]"
"(4.942, 5.704]","(4.14, 4.927]"
"(5.704, 7.313]","(1.7910000000000001, 3.178]"
"(5.704, 7.313]","(1.7910000000000001, 3.178]"
"(5.704, 7.313]","(1.7910000000000001, 3.178]"
"(5.704, 7.313]","(1.7910000000000001, 3.178]"
"(5.704, 7.313]","(1.7910000000000001, 3.178]"
"(4.317, 4.942]","(3.178, 3.638]"
"(3.912, 4.317]","(4.927, 7.048]"
"(3.912, 4.317]","(4.927, 7.048]"
"(3.912, 4.317]","(4.927, 7.048]"
"(4.317, 4.942]","(1.7910000000000001, 3.178]"
"(4.317, 4.942]","(3.178, 3.638]"
"(4.317, 4.942]","(3.178, 3.638]"
"(4.317, 4.942]","(3.178, 3.638]"
