X,Y
0,"(2.166, 23.609]"
1,"(25.201, 25.934]"
1,"(25.934, 35.164]"
1,"(25.934, 35.164]"
1,"(24.557, 25.201]"
1,"(23.609, 24.557]"
1,"(23.609, 24.557]"
1,"(24.557, 25.201]"
1,"(24.557, 25.201]"
1,"(25.201, 25.934]"
0,"(2.166, 23.609]"
1,"(23.609, 24.557]"
0,"(2.166, 23.609]"
1,"(24.557, 25.201]"
1,"(23.609, 24.557]"
1,"(2.166, 23.609]"
0,"(2.166, 23.609]"
1,"(23.609, 24.557]"
1,"(24.557, 25.201]"
1,"(23.609, 24.557]"
1,"(25.201, 25.934]"
1,"(25.201, 25.934]"
1,"(2.166, 23.609]"
1,"(25.934, 35.164]"
1,"(24.557, 25.201]"
1,"(25.201, 25.934]"
0,"(25.934, 35.164]"
1,"(25.201, 25.934]"
0,"(2.166, 23.609]"
1,"(25.934, 35.164]"
1,"(23.609, 24.557]"
1,"(24.557, 25.201]"
1,"(25.201, 25.934]"
1,"(2.166, 23.609]"
0,"(25.934, 35.164]"
1,"(23.609, 24.557]"
1,"(23.609, 24.557]"
1,"(25.934, 35.164]"
1,"(2.166, 23.609]"
1,"(2.166, 23.609]"
1,"(25.201, 25.934]"
1,"(23.609, 24.557]"
0,"(2.166, 23.609]"
1,"(24.557, 25.201]"
1,"(25.201, 25.934]"
0,"(2.166, 23.609]"
1,"(25.201, 25.934]"
1,"(23.609, 24.557]"
0,"(25.934, 35.164]"
1,"(2.166, 23.609]"
1,"(24.557, 25.201]"
1,"(25.934, 35.164]"
0,"(2.166, 23.609]"
1,"(25.934, 35.164]"
1,"(23.609, 24.557]"
1,"(23.609, 24.557]"
0,"(2.166, 23.609]"
1,"(23.609, 24.557]"
1,"(25.934, 35.164]"
1,"(25.201, 25.934]"
1,"(25.201, 25.934]"
1,"(25.934, 35.164]"
1,"(25.201, 25.934]"
1,"(24.557, 25.201]"
1,"(25.201, 25.934]"
1,"(25.934, 35.164]"
1,"(24.557, 25.201]"
1,"(25.201, 25.934]"
1,"(24.557, 25.201]"
1,"(24.557, 25.201]"
1,"(25.934, 35.164]"
0,"(2.166, 23.609]"
0,"(23.609, 24.557]"
1,"(24.557, 25.201]"
1,"(25.201, 25.934]"
1,"(23.609, 24.557]"
0,"(2.166, 23.609]"
1,"(24.557, 25.201]"
1,"(25.201, 25.934]"
1,"(24.557, 25.201]"
1,"(25.934, 35.164]"
1,"(25.934, 35.164]"
0,"(24.557, 25.201]"
1,"(24.557, 25.201]"
0,"(23.609, 24.557]"
1,"(25.201, 25.934]"
0,"(2.166, 23.609]"
1,"(25.934, 35.164]"
1,"(25.934, 35.164]"
0,"(2.166, 23.609]"
1,"(24.557, 25.201]"
1,"(25.934, 35.164]"
1,"(23.609, 24.557]"
1,"(23.609, 24.557]"
1,"(23.609, 24.557]"
0,"(2.166, 23.609]"
0,"(25.934, 35.164]"
1,"(25.201, 25.934]"
1,"(24.557, 25.201]"
1,"(25.201, 25.934]"
