A,B,C,D,E
"(18.799, 20.548]","(20.193, 21.954]","(16.767, 18.487]","(95.597, 101.972]","(348.002, 366.828]"
"(18.799, 20.548]","(18.432, 20.193]","(15.046, 16.767]","(95.597, 101.972]","(348.002, 366.828]"
"(18.799, 20.548]","(18.432, 20.193]","(13.325, 15.046]","(95.597, 101.972]","(329.177, 348.002]"
"(18.799, 20.548]","(16.672, 18.432]","(13.325, 15.046]","(89.223, 95.597]","(310.352, 329.177]"
"(17.05, 18.799]","(18.432, 20.193]","(11.604, 13.325]","(89.223, 95.597]","(310.352, 329.177]"
"(13.537, 15.301]","(16.672, 18.432]","(15.046, 16.767]","(76.422, 82.848]","(272.551, 291.527]"
"(20.548, 22.297]","(16.672, 18.432]","(15.046, 16.767]","(89.223, 95.597]","(329.177, 348.002]"
"(17.05, 18.799]","(18.432, 20.193]","(11.604, 13.325]","(89.223, 95.597]","(310.352, 329.177]"
"(20.548, 22.297]","(20.193, 21.954]","(9.884, 11.604]","(101.972, 108.347]","(329.177, 348.002]"
"(20.548, 22.297]","(18.432, 20.193]","(13.325, 15.046]","(95.597, 101.972]","(329.177, 348.002]"
"(18.799, 20.548]","(20.193, 21.954]","(15.046, 16.767]","(95.597, 101.972]","(329.177, 348.002]"
"(18.799, 20.548]","(20.193, 21.954]","(13.325, 15.046]","(101.972, 108.347]","(348.002, 366.828]"
"(17.05, 18.799]","(20.193, 21.954]","(13.325, 15.046]","(95.597, 101.972]","(329.177, 348.002]"
"(20.548, 22.297]","(20.193, 21.954]","(13.325, 15.046]","(101.972, 108.347]","(348.002, 366.828]"
"(15.301, 17.05]","(20.193, 21.954]","(13.325, 15.046]","(89.223, 95.597]","(310.352, 329.177]"
"(18.799, 20.548]","(18.432, 20.193]","(15.046, 16.767]","(89.223, 95.597]","(329.177, 348.002]"
"(17.05, 18.799]","(18.432, 20.193]","(15.046, 16.767]","(89.223, 95.597]","(310.352, 329.177]"
