A,B,C,D,E
"(19.631, 20.169]","(17.261, 17.854]","(14.079, 14.713]","(98.79, 100.881]","(334.896, 341.941]"
"(21.331, 21.881]","(30.665, 40.656]","(8.302, 9.397]","(137.865, 181.314]","(460.232, 617.035]"
"(17.248, 17.935]","(18.568, 19.11]","(6.571, 8.302]","(90.103, 92.269]","(295.681, 303.219]"
"(18.478, 18.974]","(14.044, 14.918]","(18.584, 19.207]","(68.346, 73.448]","(263.474, 276.447]"
"(11.413, 12.835]","(14.044, 14.918]","(-4.347, 4.925]","(59.579, 68.346]","(104.419, 219.866]"
"(1.4220000000000002, 9.267]","(9.619, 11.422]","(20.0, 20.826]","(24.017999999999997, 59.579]","(104.419, 219.866]"
"(21.331, 21.881]","(13.101, 14.044]","(23.616, 25.607]","(92.269, 94.311]","(349.178, 355.648]"
"(14.105, 14.875]","(26.055, 27.14]","(17.904, 18.584]","(119.757, 123.089]","(416.373, 427.543]"
"(21.881, 22.559]","(28.411, 30.665]","(21.878, 23.616]","(126.913, 131.651]","(441.419, 460.232]"
"(24.929, 26.053]","(1.586, 9.619]","(20.0, 20.826]","(68.346, 73.448]","(263.474, 276.447]"
"(19.631, 20.169]","(23.64, 24.431]","(18.584, 19.207]","(105.083, 107.598]","(380.211, 388.892]"
"(21.331, 21.881]","(14.044, 14.918]","(20.826, 21.878]","(87.384, 90.103]","(327.295, 334.896]"
"(9.267, 11.413]","(14.918, 15.76]","(6.571, 8.302]","(68.346, 73.448]","(219.866, 247.406]"
"(24.15, 24.929]","(17.261, 17.854]","(15.857, 16.541]","(110.521, 113.28]","(370.185, 380.211]"
"(9.267, 11.413]","(9.619, 11.422]","(9.397, 10.276]","(24.017999999999997, 59.579]","(104.419, 219.866]"
"(16.621, 17.248]","(21.526, 22.234]","(11.123, 11.779]","(92.269, 94.311]","(321.042, 327.295]"
"(12.835, 14.105]","(15.76, 16.491]","(19.207, 20.0]","(73.448, 77.969]","(286.635, 295.681]"
"(19.631, 20.169]","(14.918, 15.76]","(19.207, 20.0]","(90.103, 92.269]","(327.295, 334.896]"
"(18.974, 19.631]","(15.76, 16.491]","(12.374, 12.941]","(81.795, 84.748]","(286.635, 295.681]"
"(9.267, 11.413]","(24.431, 25.232]","(18.584, 19.207]","(100.881, 102.959]","(355.648, 362.418]"
"(15.873, 16.621]","(16.491, 17.261]","(10.276, 11.123]","(68.346, 73.448]","(219.866, 247.406]"
"(11.413, 12.835]","(30.665, 40.656]","(19.207, 20.0]","(119.757, 123.089]","(416.373, 427.543]"
"(15.873, 16.621]","(20.336, 20.901]","(12.941, 13.566]","(81.795, 84.748]","(276.447, 286.635]"
"(21.881, 22.559]","(17.854, 18.568]","(6.571, 8.302]","(92.269, 94.311]","(295.681, 303.219]"
"(9.267, 11.413]","(19.11, 19.759]","(25.607, 37.634]","(77.969, 81.795]","(327.295, 334.896]"
"(28.236, 30.308]","(24.431, 25.232]","(9.397, 10.276]","(131.651, 137.865]","(416.373, 427.543]"
"(16.621, 17.248]","(23.64, 24.431]","(16.541, 17.175]","(105.083, 107.598]","(355.648, 362.418]"
"(23.31, 24.15]","(20.901, 21.526]","(4.925, 6.571]","(105.083, 107.598]","(327.295, 334.896]"
"(30.308, 41.298]","(23.64, 24.431]","(11.779, 12.374]","(126.913, 131.651]","(405.28, 416.373]"
"(9.267, 11.413]","(20.336, 20.901]","(14.079, 14.713]","(68.346, 73.448]","(247.406, 263.474]"
"(16.621, 17.248]","(26.055, 27.14]","(18.584, 19.207]","(107.598, 110.521]","(380.211, 388.892]"
"(17.935, 18.478]","(28.411, 30.665]","(23.616, 25.607]","(126.913, 131.651]","(441.419, 460.232]"
"(14.105, 14.875]","(21.526, 22.234]","(18.584, 19.207]","(92.269, 94.311]","(334.896, 341.941]"
"(26.053, 27.087]","(20.901, 21.526]","(16.541, 17.175]","(105.083, 107.598]","(362.418, 370.185]"
"(18.478, 18.974]","(24.431, 25.232]","(17.175, 17.904]","(102.959, 105.083]","(355.648, 362.418]"
"(27.087, 28.236]","(19.759, 20.336]","(10.276, 11.123]","(113.28, 116.116]","(370.185, 380.211]"
"(16.621, 17.248]","(19.11, 19.759]","(12.374, 12.941]","(90.103, 92.269]","(295.681, 303.219]"
"(21.881, 22.559]","(9.619, 11.422]","(11.123, 11.779]","(77.969, 81.795]","(276.447, 286.635]"
"(17.248, 17.935]","(22.234, 22.993]","(11.779, 12.374]","(98.79, 100.881]","(334.896, 341.941]"
"(17.248, 17.935]","(18.568, 19.11]","(8.302, 9.397]","(81.795, 84.748]","(276.447, 286.635]"
"(21.331, 21.881]","(9.619, 11.422]","(8.302, 9.397]","(68.346, 73.448]","(219.866, 247.406]"
"(23.31, 24.15]","(15.76, 16.491]","(20.826, 21.878]","(92.269, 94.311]","(341.941, 349.178]"
"(14.105, 14.875]","(25.232, 26.055]","(17.904, 18.584]","(100.881, 102.959]","(362.418, 370.185]"
"(14.875, 15.873]","(25.232, 26.055]","(12.941, 13.566]","(119.757, 123.089]","(388.892, 397.399]"
"(15.873, 16.621]","(27.14, 28.411]","(-4.347, 4.925]","(119.757, 123.089]","(355.648, 362.418]"
"(18.974, 19.631]","(13.101, 14.044]","(12.941, 13.566]","(59.579, 68.346]","(219.866, 247.406]"
"(11.413, 12.835]","(24.431, 25.232]","(12.374, 12.941]","(96.86, 98.79]","(334.896, 341.941]"
"(17.935, 18.478]","(26.055, 27.14]","(12.941, 13.566]","(116.116, 119.757]","(397.399, 405.28]"
"(26.053, 27.087]","(16.491, 17.261]","(11.779, 12.374]","(105.083, 107.598]","(349.178, 355.648]"
"(11.413, 12.835]","(28.411, 30.665]","(15.857, 16.541]","(113.28, 116.116]","(397.399, 405.28]"
"(18.478, 18.974]","(27.14, 28.411]","(9.397, 10.276]","(126.913, 131.651]","(405.28, 416.373]"
"(30.308, 41.298]","(20.901, 21.526]","(19.207, 20.0]","(123.089, 126.913]","(416.373, 427.543]"
"(15.873, 16.621]","(1.586, 9.619]","(19.207, 20.0]","(24.017999999999997, 59.579]","(219.866, 247.406]"
"(14.105, 14.875]","(14.044, 14.918]","(21.878, 23.616]","(68.346, 73.448]","(276.447, 286.635]"
"(21.331, 21.881]","(25.232, 26.055]","(17.904, 18.584]","(113.28, 116.116]","(388.892, 397.399]"
"(19.631, 20.169]","(25.232, 26.055]","(17.904, 18.584]","(116.116, 119.757]","(397.399, 405.28]"
"(24.929, 26.053]","(28.411, 30.665]","(14.079, 14.713]","(131.651, 137.865]","(427.543, 441.419]"
"(9.267, 11.413]","(16.491, 17.261]","(18.584, 19.207]","(73.448, 77.969]","(276.447, 286.635]"
"(20.169, 20.794]","(28.411, 30.665]","(12.941, 13.566]","(123.089, 126.913]","(397.399, 405.28]"
"(20.169, 20.794]","(9.619, 11.422]","(10.276, 11.123]","(81.795, 84.748]","(276.447, 286.635]"
"(18.974, 19.631]","(17.854, 18.568]","(11.123, 11.779]","(73.448, 77.969]","(276.447, 286.635]"
"(14.875, 15.873]","(19.11, 19.759]","(14.079, 14.713]","(84.748, 87.384]","(286.635, 295.681]"
"(20.794, 21.331]","(16.491, 17.261]","(17.904, 18.584]","(90.103, 92.269]","(313.013, 321.042]"
"(27.087, 28.236]","(9.619, 11.422]","(19.207, 20.0]","(84.748, 87.384]","(327.295, 334.896]"
"(20.169, 20.794]","(26.055, 27.14]","(16.541, 17.175]","(119.757, 123.089]","(405.28, 416.373]"
"(20.794, 21.331]","(15.76, 16.491]","(15.408, 15.857]","(87.384, 90.103]","(295.681, 303.219]"
"(21.881, 22.559]","(14.044, 14.918]","(21.878, 23.616]","(96.86, 98.79]","(355.648, 362.418]"
"(18.478, 18.974]","(16.491, 17.261]","(14.713, 15.408]","(92.269, 94.311]","(321.042, 327.295]"
"(15.873, 16.621]","(13.101, 14.044]","(12.374, 12.941]","(73.448, 77.969]","(247.406, 263.474]"
