A,B
10,4
13,5
9,4
6,3
10,4
6,3
9,3
13,5
10,4
7,3
10,4
6,3
10,4
6,3
6,3
10,4
11,4
6,3
6,3
10,4
6,3
12,5
11,4
11,4
11,4
10,4
10,4
13,5
7,3
10,4
9,4
6,2
6,3
6,3
13,5
11,4
18,7
6,3
13,5
10,4
13,5
10,4
6,3
10,3
16,6
9,4
10,4
12,5
16,6
9,3
16,6
13,5
6,3
9,3
10,4
8,3
10,4
10,4
12,5
6,3
13,5
10,4
14,5
13,5
6,3
6,3
9,4
11,4
13,5
13,5
10,4
9,3
6,3
19,8
11,4
12,4
18,7
13,5
8,3
13,5
9,4
10,4
10,4
13,5
10,4
6,3
3,2
6,3
7,3
9,4
8,3
6,3
4,2
10,4
7,3
12,5
10,4
11,4
8,3
6,3
8,3
7,3
10,4
6,3
6,3
13,5
6,3
10,4
9,4
10,4
6,3
10,4
6,3
9,3
13,5
7,3
6,3
7,3
6,3
6,3
6,3
8,3
10,4
6,3
6,3
10,4
12,4
6,3
4,2
6,3
4,2
10,4
4,2
10,4
6,3
10,4
6,3
10,4
6,3
16,6
6,3
10,4
11,5
6,3
5,2
13,5
6,3
6,3
5,2
11,4
6,3
13,5
11,4
6,3
6,3
19,8
1,1
7,3
15,5
8,3
6,3
18,7
7,3
13,5
18,7
9,4
13,5
13,5
7,3
17,6
13,5
10,4
9,3
21,10
12,5
16,6
6,3
12,5
14,5
5,3
5,3
16,6
13,5
11,4
19,8
13,5
7,3
18,7
18,7
9,4
18,7
19,8
18,7
16,6
15,6
18,7
16,6
19,8
16,6
13,5
2,2
10,4
16,6
16,6
16,6
11,4
10,4
6,3
16,6
10,4
18,7
13,5
11,4
16,6
6,3
16,6
3,2
3,2
3,2
16,6
6,3
1,1
4,3
4,2
2,1
2,1
1,1
9,3
18,7
1,1
9,4
6,4
3,2
16,6
10,4
9,4
1,2
4,3
6,3
0,0
3,2
1,1
17,7
1,1
4,3
5,3
10,4
15,6
6,3
3,2
8,4
13,5
0,0
6,3
6,3
9,4
9,4
9,4
1,1
3,2
3,2
6,3
6,3
13,5
3,3
6,3
6,3
3,2
0,0
2,2
2,2
5,3
5,3
3,2
13,5
6,3
18,7
18,7
15,6
14,6
18,7
16,6
13,5
13,5
13,5
17,7
13,5
18,7
15,6
6,3
13,5
8,3
16,6
19,7
6,3
12,4
11,4
12,5
13,5
10,4
19,8
7,3
4,2
18,7
16,6
6,3
4,2
10,4
3,2
3,2
6,3
5,3
8,3
7,3
10,4
10,4
18,7
6,3
12,5
10,4
6,3
3,2
13,5
16,6
15,6
8,3
3,2
6,3
15,5
13,5
12,5
12,5
10,4
13,5
8,3
18,7
11,4
18,7
16,5
18,7
16,6
11,4
11,4
13,5
11,4
16,6
16,6
9,4
9,4
6,3
6,2
16,6
6,3
9,3
6,3
6,3
3,2
6,3
3,2
10,4
5,3
9,4
10,4
6,3
6,3
15,6
6,3
5,3
6,3
6,3
10,4
7,3
6,3
3,2
6,3
4,2
11,5
10,4
4,2
16,6
9,2
9,4
11,5
13,5
3,2
15,6
3,2
16,6
10,4
10,4
10,4
6,3
10,4
4,3
7,3
6,3
3,2
9,4
18,7
6,3
6,3
13,5
11,5
6,3
1,1
7,3
7,3
8,3
5,3
6,3
10,4
13,5
10,4
6,3
18,7
6,3
1,1
11,5
10,4
8,4
6,3
16,6
9,4
13,5
6,3
7,3
6,3
7,3
3,2
10,4
13,5
5,3
9,4
4,2
6,3
7,3
5,3
5,3
6,3
6,3
3,2
10,4
6,3
10,3
3,2
3,2
13,5
6,3
7,3
5,2
6,3
7,3
3,2
9,4
4,2
9,4
6,3
4,2
6,3
8,4
16,6
10,4
6,3
5,3
10,4
7,3
6,3
6,3
5,3
10,4
5,3
6,3
1,1
6,3
6,3
16,6
10,4
3,2
6,3
5,3
11,4
9,4
3,2
10,4
3,2
1,1
7,3
4,2
6,3
6,3
10,4
10,4
9,4
3,2
3,2
11,4
6,3
6,3
6,3
10,4
11,5
10,4
10,4
3,2
7,3
8,3
1,1
3,2
6,3
12,5
4,2
6,3
6,3
7,3
16,6
2,1
12,5
3,2
5,2
10,4
6,3
2,1
9,4
12,5
4,2
2,2
0,0
13,5
5,3
7,3
0,0
6,3
3,2
9,3
5,3
6,3
6,3
6,3
6,3
6,3
6,3
12,4
10,4
4,2
3,2
3,2
7,3
8,4
10,4
2,2
5,3
6,3
3,2
7,3
2,2
11,5
3,2
5,3
13,5
6,3
6,3
10,4
3,2
10,4
3,2
7,3
6,3
16,6
10,4
6,3
6,3
10,4
11,5
20,9
8,4
6,3
13,5
7,3
8,4
18,7
9,4
4,3
10,4
9,4
6,3
10,4
10,4
4,2
6,3
10,4
5,3
9,4
3,2
5,3
12,5
10,4
12,5
6,3
10,4
8,4
9,4
6,3
16,6
13,5
10,4
12,5
18,7
13,5
7,3
10,4
10,4
10,4
10,4
15,6
13,5
14,5
11,4
16,6
10,4
6,3
7,3
6,3
6,3
7,3
8,4
10,4
10,4
6,3
10,4
16,6
9,3
6,3
7,3
3,2
5,2
3,2
10,4
7,3
16,6
16,6
10,4
16,6
5,3
3,2
9,4
4,2
11,5
14,5
7,3
13,5
6,3
9,4
6,3
7,3
7,3
12,5
16,6
11,4
16,6
10,4
10,4
16,6
12,5
6,3
6,3
10,4
6,3
8,4
10,4
13,5
9,4
10,4
6,3
10,4
10,4
9,4
10,4
13,5
10,4
14,6
10,4
12,5
7,3
8,3
7,4
10,4
13,5
10,4
13,5
10,4
10,4
13,5
11,4
13,5
10,4
10,4
10,4
9,4
10,4
9,4
13,5
10,4
12,5
9,4
18,7
13,5
10,4
14,5
18,7
10,4
6,3
10,4
13,5
10,4
11,4
6,3
10,4
3,2
7,3
6,3
6,3
7,3
6,3
13,5
10,4
6,3
10,4
10,4
9,4
8,3
16,6
8,3
10,4
7,3
9,3
9,4
8,3
4,2
13,5
6,3
3,2
16,6
7,3
13,5
10,4
5,3
10,4
9,4
13,5
9,4
9,4
10,4
6,3
3,2
6,3
6,3
5,3
9,4
14,6
10,4
9,4
9,4
8,4
7,3
6,3
9,4
6,3
7,4
11,5
6,3
6,3
5,3
8,4
8,4
12,5
7,3
10,4
5,3
6,3
7,3
10,4
6,3
13,5
6,3
9,4
8,4
6,3
6,3
6,3
6,3
6,3
7,3
6,3
9,4
6,3
7,4
6,3
6,3
5,3
6,3
9,4
10,4
6,3
13,5
8,4
6,3
9,4
10,4
16,6
6,3
6,3
6,3
6,3
9,4
10,4
10,4
6,3
6,3
6,3
6,3
6,3
10,4
6,3
5,3
7,4
6,3
9,4
6,3
16,6
13,5
7,4
3,2
6,3
16,6
6,3
10,4
13,5
7,3
5,3
6,3
5,3
10,4
10,4
8,4
5,3
10,4
6,3
9,4
13,5
5,3
6,3
6,3
5,3
7,3
3,2
10,4
6,3
6,3
10,4
2,2
3,2
9,4
3,2
2,2
6,3
6,3
6,3
2,2
10,4
10,4
3,2
8,4
6,3
13,5
3,2
3,2
10,4
3,2
9,4
9,4
9,4
10,4
3,2
3,2
4,3
3,2
1,1
5,3
2,2
4,3
10,4
3,2
1,1
6,3
6,3
3,2
16,6
3,2
5,3
3,2
9,4
1,1
11,4
3,2
5,3
3,2
10,4
10,4
6,3
6,3
3,2
9,4
5,3
10,4
3,2
3,2
6,3
7,3
3,2
3,2
6,3
3,2
3,2
5,3
4,3
6,3
6,3
3,2
12,5
4,3
6,3
12,5
4,2
3,2
5,3
11,5
3,2
17,7
7,4
15,6
3,2
4,3
3,2
3,2
1,1
3,2
9,4
5,3
3,2
3,2
1,1
5,3
2,2
6,3
3,2
16,6
6,3
6,3
6,3
5,3
10,4
6,3
10,4
10,4
7,3
11,4
9,4
4,2
6,3
6,3
10,4
6,3
6,3
10,4
13,5
3,2
6,3
9,3
6,3
12,4
10,4
9,3
6,3
6,3
4,2
13,5
6,3
3,2
6,3
16,6
6,3
11,4
10,4
5,3
3,2
6,3
6,3
10,4
8,3
6,3
10,4
4,2
13,5
10,4
6,3
6,3
10,4
6,3
3,2
10,4
6,2
18,7
10,4
9,3
14,5
7,3
10,3
6,3
10,4
6,3
4,2
6,3
10,3
6,3
7,3
6,3
9,4
3,2
12,5
6,3
6,3
11,4
6,3
7,3
9,4
6,3
7,3
9,3
3,2
7,3
6,3
6,3
8,3
6,3
10,4
10,4
4,2
9,3
10,4
5,3
3,2
6,3
10,4
13,5
6,3
10,4
1,1
6,3
7,3
6,3
9,4
9,4
6,3
3,2
9,4
6,3
6,3
3,2
7,3
13,5
6,3
6,3
6,3
10,4
3,2
7,3
11,4
9,3
11,4
9,3
10,4
10,4
6,3
13,5
16,6
16,6
6,3
6,3
6,3
7,3
9,3
9,4
16,6
6,3
7,3
10,4
9,3
6,3
12,5
10,4
7,3
18,7
10,4
15,6
13,5
6,3
10,4
12,4
6,3
10,4
10,4
18,7
14,5
10,4
9,3
14,5
6,3
9,3
9,3
12,5
10,4
6,2
9,4
10,4
13,5
10,4
12,5
13,5
13,5
5,2
13,5
9,3
11,4
11,4
10,4
10,4
7,3
6,3
6,2
7,3
13,5
13,5
16,6
10,4
10,4
13,5
10,4
9,4
11,4
14,5
7,3
10,4
10,4
10,4
10,4
14,5
13,5
17,7
18,7
10,4
9,4
13,5
12,5
13,5
10,4
13,5
10,4
15,6
13,6
6,3
18,7
18,7
9,4
12,5
7,3
9,4
13,5
12,5
10,4
18,7
15,5
15,6
18,7
5,3
18,7
12,5
18,7
14,6
19,8
3,2
18,7
18,7
18,7
18,7
6,2
6,3
13,5
10,4
6,3
6,3
5,2
10,4
13,5
6,3
16,6
10,4
15,5
11,4
8,3
8,3
10,4
9,3
11,5
6,3
10,4
9,4
13,5
9,4
18,7
8,3
8,3
11,5
10,4
10,4
10,4
10,4
16,6
11,4
10,3
6,3
11,4
15,6
16,6
6,3
18,7
1,1
4,2
13,5
6,3
13,5
13,5
3,2
6,3
18,7
9,3
13,5
10,4
10,4
10,4
13,5
6,3
14,5
10,4
4,2
15,6
10,4
19,8
9,3
6,3
6,3
7,3
3,2
6,3
15,6
6,3
6,3
16,6
14,5
11,5
10,4
5,2
13,5
11,4
12,5
16,6
19,8
9,4
6,3
16,6
10,4
10,4
9,4
4,3
11,5
10,4
10,4
10,4
8,3
6,3
9,4
11,5
5,2
3,2
6,3
10,4
16,6
6,3
10,4
8,3
9,4
10,4
10,4
4,2
19,8
7,3
6,3
9,4
10,4
6,3
6,3
10,4
3,2
7,3
6,3
6,3
3,2
9,4
5,3
9,4
10,4
3,2
6,3
9,4
8,4
7,3
10,4
10,4
6,3
10,4
9,4
6,3
13,5
11,4
6,3
8,3
6,3
10,4
6,3
18,7
3,2
7,3
8,4
10,4
6,3
6,3
16,6
10,4
10,4
6,3
13,5
10,4
6,3
6,3
9,4
3,2
7,4
6,3
7,4
13,5
6,3
5,3
10,4
12,5
6,3
10,4
10,4
6,3
8,3
5,2
10,4
6,3
6,3
7,3
5,2
6,3
6,3
8,3
10,4
10,4
6,3
11,5
12,5
5,2
6,3
6,3
9,4
9,4
15,5
16,6
9,3
6,3
1,1
8,4
13,5
7,3
5,2
6,3
12,5
6,3
10,4
9,4
13,5
6,3
7,3
12,5
10,4
10,4
12,4
10,4
9,4
10,4
10,4
6,3
9,4
8,3
6,3
10,4
10,4
10,4
6,3
10,4
8,4
9,4
6,3
13,5
9,4
4,2
9,4
6,3
6,3
10,4
7,3
8,3
7,3
7,3
6,2
9,4
6,3
11,4
13,5
7,3
6,3
6,3
7,3
6,3
10,4
9,4
6,3
5,3
10,4
9,4
6,3
6,3
6,3
6,3
13,5
13,5
10,4
5,3
10,4
8,3
12,5
6,3
3,2
11,5
6,3
6,3
9,4
5,3
14,6
6,3
11,5
6,3
7,3
4,2
6,3
5,3
5,3
6,3
6,3
10,4
13,5
6,3
4,3
16,6
6,3
6,3
8,3
3,2
3,2
6,3
10,4
6,3
18,7
13,5
15,6
10,4
3,2
9,4
10,4
10,4
6,3
9,4
6,3
6,3
6,3
6,3
6,3
4,2
10,4
3,2
7,3
6,3
