A,B,C,D,E
"(20.012, 20.838]","(20.196, 21.071]","(15.193, 16.024]","(111.693, 115.022]","(375.064, 385.418]"
"(20.838, 21.665]","(19.321, 20.196]","(13.531, 14.362]","(91.713, 95.043]","(312.945, 323.298]"
"(18.359, 19.185]","(20.196, 21.071]","(24.337, 25.168]","(95.043, 98.373]","(364.711, 375.064]"
"(18.359, 19.185]","(18.445, 19.321]","(14.362, 15.193]","(88.383, 91.713]","(312.945, 323.298]"
"(14.227, 15.053]","(11.444, 12.319]","(13.531, 14.362]","(61.744, 65.074]","(230.119, 240.472]"
"(9.268, 10.095]","(20.196, 21.071]","(8.543, 9.374]","(85.054, 88.383]","(281.885, 292.238]"
"(20.838, 21.665]","(21.946, 22.821]","(18.518, 19.349]","(105.033, 108.363]","(375.064, 385.418]"
"(15.88, 16.706]","(21.071, 21.946]","(21.843, 22.674]","(98.373, 101.703]","(364.711, 375.064]"
"(20.838, 21.665]","(14.945, 15.82]","(11.037, 11.868]","(88.383, 91.713]","(292.238, 302.592]"
"(23.317, 24.144]","(21.071, 21.946]","(12.699, 13.531]","(115.022, 118.352]","(395.771, 406.124]"
"(19.185, 20.012]","(21.946, 22.821]","(17.687, 18.518]","(105.033, 108.363]","(364.711, 375.064]"
"(20.838, 21.665]","(25.447, 26.322]","(18.518, 19.349]","(115.022, 118.352]","(406.124, 416.477]"
"(13.4, 14.227]","(18.445, 19.321]","(15.193, 16.024]","(88.383, 91.713]","(302.592, 312.945]"
"(22.491, 23.317]","(17.57, 18.445]","(20.181, 21.012]","(101.703, 105.033]","(375.064, 385.418]"
"(12.574, 13.4]","(14.07, 14.945]","(16.856, 17.687]","(68.404, 71.734]","(261.179, 271.532]"
"(17.532, 18.359]","(15.82, 16.695]","(12.699, 13.531]","(88.383, 91.713]","(312.945, 323.298]"
"(15.88, 16.706]","(26.322, 27.197]","(21.012, 21.843]","(108.363, 111.693]","(385.418, 395.771]"
"(20.012, 20.838]","(18.445, 19.321]","(16.856, 17.687]","(95.043, 98.373]","(333.651, 344.005]"
"(19.185, 20.012]","(14.945, 15.82]","(19.349, 20.181]","(85.054, 88.383]","(312.945, 323.298]"
"(13.4, 14.227]","(23.697, 24.572]","(16.856, 17.687]","(98.373, 101.703]","(354.358, 364.711]"
"(17.532, 18.359]","(16.695, 17.57]","(12.699, 13.531]","(88.383, 91.713]","(302.592, 312.945]"
"(14.227, 15.053]","(13.194, 14.07]","(12.699, 13.531]","(71.734, 75.064]","(261.179, 271.532]"
"(16.706, 17.532]","(15.82, 16.695]","(14.362, 15.193]","(85.054, 88.383]","(292.238, 302.592]"
"(20.838, 21.665]","(24.572, 25.447]","(18.518, 19.349]","(111.693, 115.022]","(395.771, 406.124]"
"(13.4, 14.227]","(17.57, 18.445]","(18.518, 19.349]","(78.394, 81.724]","(302.592, 312.945]"
"(26.623, 27.45]","(20.196, 21.071]","(13.531, 14.362]","(111.693, 115.022]","(375.064, 385.418]"
"(17.532, 18.359]","(20.196, 21.071]","(7.712, 8.543]","(95.043, 98.373]","(302.592, 312.945]"
"(22.491, 23.317]","(24.572, 25.447]","(11.037, 11.868]","(118.352, 121.682]","(385.418, 395.771]"
"(28.276, 29.102]","(21.946, 22.821]","(11.868, 12.699]","(131.672, 135.002]","(426.831, 437.184]"
"(12.574, 13.4]","(24.572, 25.447]","(20.181, 21.012]","(91.713, 95.043]","(333.651, 344.005]"
"(17.532, 18.359]","(13.194, 14.07]","(12.699, 13.531]","(75.064, 78.394]","(261.179, 271.532]"
"(18.359, 19.185]","(25.447, 26.322]","(4.387, 5.218]","(115.022, 118.352]","(354.358, 364.711]"
"(15.88, 16.706]","(24.572, 25.447]","(6.049, 6.881]","(101.703, 105.033]","(333.651, 344.005]"
"(24.144, 24.97]","(24.572, 25.447]","(16.024, 16.856]","(121.682, 125.012]","(416.477, 426.831]"
"(19.185, 20.012]","(17.57, 18.445]","(9.374, 10.206]","(91.713, 95.043]","(302.592, 312.945]"
"(24.97, 25.797]","(19.321, 20.196]","(12.699, 13.531]","(111.693, 115.022]","(364.711, 375.064]"
"(17.532, 18.359]","(20.196, 21.071]","(17.687, 18.518]","(91.713, 95.043]","(333.651, 344.005]"
"(20.838, 21.665]","(14.945, 15.82]","(13.531, 14.362]","(85.054, 88.383]","(292.238, 302.592]"
"(17.532, 18.359]","(14.945, 15.82]","(18.518, 19.349]","(71.734, 75.064]","(281.885, 292.238]"
"(17.532, 18.359]","(11.444, 12.319]","(17.687, 18.518]","(75.064, 78.394]","(281.885, 292.238]"
"(20.838, 21.665]","(16.695, 17.57]","(12.699, 13.531]","(98.373, 101.703]","(323.298, 333.651]"
"(21.665, 22.491]","(28.948, 29.823]","(15.193, 16.024]","(128.342, 131.672]","(437.184, 447.537]"
"(15.88, 16.706]","(12.319, 13.194]","(11.868, 12.699]","(75.064, 78.394]","(271.532, 281.885]"
"(15.88, 16.706]","(27.197, 28.072]","(15.193, 16.024]","(105.033, 108.363]","(354.358, 364.711]"
"(16.706, 17.532]","(21.946, 22.821]","(16.856, 17.687]","(95.043, 98.373]","(323.298, 333.651]"
"(19.185, 20.012]","(11.444, 12.319]","(12.699, 13.531]","(78.394, 81.724]","(271.532, 281.885]"
"(14.227, 15.053]","(23.697, 24.572]","(12.699, 13.531]","(88.383, 91.713]","(312.945, 323.298]"
"(18.359, 19.185]","(18.445, 19.321]","(10.206, 11.037]","(95.043, 98.373]","(312.945, 323.298]"
"(24.144, 24.97]","(14.07, 14.945]","(16.856, 17.687]","(95.043, 98.373]","(344.005, 354.358]"
"(14.227, 15.053]","(25.447, 26.322]","(15.193, 16.024]","(105.033, 108.363]","(354.358, 364.711]"
"(18.359, 19.185]","(14.945, 15.82]","(14.362, 15.193]","(85.054, 88.383]","(302.592, 312.945]"
"(26.623, 27.45]","(16.695, 17.57]","(19.349, 20.181]","(101.703, 105.033]","(364.711, 375.064]"
"(17.532, 18.359]","(20.196, 21.071]","(10.206, 11.037]","(95.043, 98.373]","(323.298, 333.651]"
"(15.88, 16.706]","(23.697, 24.572]","(21.843, 22.674]","(98.373, 101.703]","(364.711, 375.064]"
"(20.838, 21.665]","(26.322, 27.197]","(17.687, 18.518]","(121.682, 125.012]","(406.124, 416.477]"
"(19.185, 20.012]","(19.321, 20.196]","(12.699, 13.531]","(101.703, 105.033]","(344.005, 354.358]"
"(23.317, 24.144]","(21.946, 22.821]","(16.024, 16.856]","(111.693, 115.022]","(385.418, 395.771]"
"(13.4, 14.227]","(18.445, 19.321]","(7.712, 8.543]","(81.724, 85.054]","(261.179, 271.532]"
"(20.012, 20.838]","(13.194, 14.07]","(17.687, 18.518]","(78.394, 81.724]","(292.238, 302.592]"
"(20.012, 20.838]","(20.196, 21.071]","(16.856, 17.687]","(95.043, 98.373]","(344.005, 354.358]"
"(19.185, 20.012]","(18.445, 19.321]","(17.687, 18.518]","(105.033, 108.363]","(364.711, 375.064]"
"(16.706, 17.532]","(17.57, 18.445]","(16.024, 16.856]","(78.394, 81.724]","(281.885, 292.238]"
"(20.012, 20.838]","(21.946, 22.821]","(12.699, 13.531]","(108.363, 111.693]","(375.064, 385.418]"
"(24.144, 24.97]","(16.695, 17.57]","(12.699, 13.531]","(101.703, 105.033]","(344.005, 354.358]"
"(20.012, 20.838]","(15.82, 16.695]","(9.374, 10.206]","(88.383, 91.713]","(302.592, 312.945]"
"(20.012, 20.838]","(17.57, 18.445]","(10.206, 11.037]","(98.373, 101.703]","(323.298, 333.651]"
"(20.838, 21.665]","(11.444, 12.319]","(18.518, 19.349]","(68.404, 71.734]","(261.179, 271.532]"
"(18.359, 19.185]","(20.196, 21.071]","(10.206, 11.037]","(98.373, 101.703]","(323.298, 333.651]"
"(16.706, 17.532]","(23.697, 24.572]","(19.349, 20.181]","(98.373, 101.703]","(354.358, 364.711]"
