A,B,C,D,E
"(19.956, 20.121]","(16.428, 17.028]","(8.55, 11.277]","(89.008, 91.041]","(264.567, 300.468]"
"(20.453, 20.607]","(19.337, 19.522]","(16.688, 16.921]","(98.038, 98.633]","(345.287, 347.03]"
"(19.151, 19.347]","(19.847, 19.998]","(11.968, 12.447]","(99.864, 100.557]","(335.351, 337.362]"
"(19.494, 19.634]","(18.98, 19.148]","(16.688, 16.921]","(94.848, 95.541]","(337.362, 339.463]"
"(17.379, 17.793]","(16.428, 17.028]","(12.867, 13.15]","(72.81299999999999, 86.252]","(264.567, 300.468]"
"(13.807, 16.185]","(21.946, 22.281]","(14.831, 15.01]","(98.038, 98.633]","(335.351, 337.362]"
"(20.453, 20.607]","(18.574, 18.784]","(13.639, 13.842]","(96.202, 96.809]","(329.203, 330.979]"
"(18.082, 18.291]","(18.078, 18.328]","(8.55, 11.277]","(89.008, 91.041]","(264.567, 300.468]"
"(20.607, 20.799]","(18.784, 18.98]","(8.55, 11.277]","(102.437, 103.137]","(337.362, 339.463]"
"(21.665, 21.962]","(17.828, 18.078]","(16.254, 16.456]","(96.809, 97.54]","(341.186, 343.285]"
"(19.956, 20.121]","(21.946, 22.281]","(14.342, 14.526]","(108.353, 109.56]","(364.397, 367.723]"
"(20.453, 20.607]","(16.428, 17.028]","(14.342, 14.526]","(89.008, 91.041]","(300.468, 310.761]"
"(16.898, 17.379]","(22.281, 22.553]","(16.065, 16.254]","(103.89, 104.592]","(358.873, 361.086]"
"(21.444, 21.665]","(21.106, 21.314]","(14.666, 14.831]","(106.261, 107.29]","(364.397, 367.723]"
"(16.185, 16.898]","(21.314, 21.494]","(17.196, 17.561]","(96.809, 97.54]","(345.287, 347.03]"
"(18.985, 19.151]","(19.148, 19.337]","(15.01, 15.189]","(96.202, 96.809]","(335.351, 337.362]"
"(17.793, 18.082]","(22.281, 22.553]","(15.01, 15.189]","(105.365, 106.261]","(361.086, 364.397]"
"(19.956, 20.121]","(17.438, 17.828]","(16.065, 16.254]","(89.008, 91.041]","(316.019, 320.163]"
"(19.634, 19.825]","(20.939, 21.106]","(18.721, 22.545]","(98.633, 99.25]","(352.872, 354.781]"
