A,B
"(6.071, 7.189]","(8.85, 10.8]"
"(9.406, 10.515]","(6.9, 8.85]"
"(8.298, 9.406]","(4.95, 6.9]"
"(12.732, 13.841]","(6.9, 8.85]"
"(9.406, 10.515]","(4.95, 6.9]"
"(7.189, 8.298]","(8.85, 10.8]"
"(11.624, 12.732]","(6.9, 8.85]"
"(13.841, 14.95]","(6.9, 8.85]"
"(12.732, 13.841]","(4.95, 6.9]"
"(10.515, 11.624]","(6.9, 8.85]"
"(10.515, 11.624]","(6.9, 8.85]"
"(12.732, 13.841]","(6.9, 8.85]"
"(7.189, 8.298]","(6.9, 8.85]"
"(10.515, 11.624]","(6.9, 8.85]"
"(10.515, 11.624]","(6.9, 8.85]"
"(9.406, 10.515]","(6.9, 8.85]"
"(7.189, 8.298]","(6.9, 8.85]"
"(7.189, 8.298]","(6.9, 8.85]"
"(10.515, 11.624]","(6.9, 8.85]"
"(8.298, 9.406]","(6.9, 8.85]"
"(10.515, 11.624]","(6.9, 8.85]"
"(11.624, 12.732]","(4.95, 6.9]"
"(8.298, 9.406]","(6.9, 8.85]"
"(12.732, 13.841]","(6.9, 8.85]"
"(7.189, 8.298]","(8.85, 10.8]"
"(8.298, 9.406]","(6.9, 8.85]"
"(12.732, 13.841]","(6.9, 8.85]"
"(12.732, 13.841]","(8.85, 10.8]"
"(12.732, 13.841]","(8.85, 10.8]"
"(12.732, 13.841]","(8.85, 10.8]"
"(11.624, 12.732]","(8.85, 10.8]"
"(6.071, 7.189]","(8.85, 10.8]"
"(6.071, 7.189]","(6.9, 8.85]"
"(8.298, 9.406]","(6.9, 8.85]"
"(9.406, 10.515]","(6.9, 8.85]"
"(11.624, 12.732]","(8.85, 10.8]"
"(6.071, 7.189]","(8.85, 10.8]"
"(10.515, 11.624]","(6.9, 8.85]"
"(10.515, 11.624]","(6.9, 8.85]"
"(6.071, 7.189]","(8.85, 10.8]"
"(8.298, 9.406]","(4.95, 6.9]"
"(6.071, 7.189]","(8.85, 10.8]"
"(9.406, 10.515]","(6.9, 8.85]"
"(8.298, 9.406]","(6.9, 8.85]"
"(9.406, 10.515]","(6.9, 8.85]"
"(10.515, 11.624]","(4.95, 6.9]"
"(9.406, 10.515]","(6.9, 8.85]"
"(8.298, 9.406]","(6.9, 8.85]"
"(8.298, 9.406]","(8.85, 10.8]"
"(10.515, 11.624]","(1.05, 3.0]"
"(11.624, 12.732]","(6.9, 8.85]"
"(9.406, 10.515]","(6.9, 8.85]"
"(8.298, 9.406]","(6.9, 8.85]"
"(9.406, 10.515]","(6.9, 8.85]"
"(8.298, 9.406]","(8.85, 10.8]"
"(9.406, 10.515]","(8.85, 10.8]"
"(11.624, 12.732]","(6.9, 8.85]"
"(12.732, 13.841]","(6.9, 8.85]"
"(9.406, 10.515]","(4.95, 6.9]"
"(13.841, 14.95]","(8.85, 10.8]"
"(8.298, 9.406]","(8.85, 10.8]"
"(8.298, 9.406]","(8.85, 10.8]"
"(6.071, 7.189]","(6.9, 8.85]"
"(8.298, 9.406]","(6.9, 8.85]"
"(12.732, 13.841]","(6.9, 8.85]"
"(8.298, 9.406]","(6.9, 8.85]"
"(12.732, 13.841]","(8.85, 10.8]"
"(8.298, 9.406]","(6.9, 8.85]"
"(8.298, 9.406]","(4.95, 6.9]"
