A,B
"(2.025, 3.35]","(6.587, 8.5]"
"(3.35, 4.675]","(8.5, 10.412]"
"(6.0, 7.325]","(6.587, 8.5]"
"(11.3, 12.625]","(12.325, 14.237]"
"(4.675, 6.0]","(6.587, 8.5]"
"(4.675, 6.0]","(8.5, 10.412]"
"(3.35, 4.675]","(12.325, 14.237]"
"(7.325, 8.65]","(8.5, 10.412]"
"(7.325, 8.65]","(10.412, 12.325]"
"(6.0, 7.325]","(8.5, 10.412]"
"(4.675, 6.0]","(6.587, 8.5]"
"(7.325, 8.65]","(8.5, 10.412]"
"(4.675, 6.0]","(10.412, 12.325]"
"(4.675, 6.0]","(14.237, 16.15]"
"(6.0, 7.325]","(12.325, 14.237]"
"(7.325, 8.65]","(12.325, 14.237]"
"(6.0, 7.325]","(6.587, 8.5]"
"(7.325, 8.65]","(16.15, 18.062]"
"(7.325, 8.65]","(8.5, 10.412]"
"(7.325, 8.65]","(10.412, 12.325]"
"(6.0, 7.325]","(10.412, 12.325]"
"(6.0, 7.325]","(14.237, 16.15]"
"(4.675, 6.0]","(8.5, 10.412]"
"(4.675, 6.0]","(8.5, 10.412]"
"(6.0, 7.325]","(10.412, 12.325]"
"(2.025, 3.35]","(4.675, 6.587]"
"(0.684, 2.025]","(8.5, 10.412]"
"(8.65, 9.975]","(10.412, 12.325]"
"(0.684, 2.025]","(8.5, 10.412]"
"(4.675, 6.0]","(12.325, 14.237]"
"(4.675, 6.0]","(10.412, 12.325]"
"(4.675, 6.0]","(10.412, 12.325]"
"(4.675, 6.0]","(8.5, 10.412]"
"(6.0, 7.325]","(21.888, 23.8]"
"(7.325, 8.65]","(12.325, 14.237]"
"(7.325, 8.65]","(10.412, 12.325]"
"(4.675, 6.0]","(10.412, 12.325]"
"(8.65, 9.975]","(10.412, 12.325]"
"(7.325, 8.65]","(8.5, 10.412]"
"(3.35, 4.675]","(8.5, 10.412]"
"(6.0, 7.325]","(10.412, 12.325]"
"(8.65, 9.975]","(12.325, 14.237]"
"(6.0, 7.325]","(6.587, 8.5]"
"(7.325, 8.65]","(12.325, 14.237]"
"(4.675, 6.0]","(12.325, 14.237]"
