A,B
"(2.776, 3.614]","(6.7, 8.271]"
"(4.4, 4.7]","(9.957, 10.957]"
"(6.033, 6.676]","(6.7, 8.271]"
"(9.421, 16.6]","(12.538, 13.567]"
"(5.0, 5.462]","(8.271, 9.267]"
"(4.4, 4.7]","(9.267, 9.957]"
"(3.614, 4.4]","(12.538, 13.567]"
"(8.474, 8.856]","(9.267, 9.957]"
"(8.474, 8.856]","(10.957, 11.767]"
"(6.676, 7.243]","(9.267, 9.957]"
"(5.0, 5.462]","(6.7, 8.271]"
"(8.474, 8.856]","(8.271, 9.267]"
"(5.462, 6.033]","(9.957, 10.957]"
"(5.0, 5.462]","(15.54, 15.896]"
"(6.033, 6.676]","(13.567, 14.59]"
"(7.89, 8.474]","(12.538, 13.567]"
"(6.033, 6.676]","(6.7, 8.271]"
"(7.243, 7.89]","(16.964, 23.8]"
"(7.243, 7.89]","(9.957, 10.957]"
"(7.243, 7.89]","(10.957, 11.767]"
"(6.676, 7.243]","(10.957, 11.767]"
"(6.676, 7.243]","(13.567, 14.59]"
"(4.7, 5.0]","(8.271, 9.267]"
"(4.7, 5.0]","(8.271, 9.267]"
"(6.676, 7.243]","(10.957, 11.767]"
"(0.699, 2.776]","(5.504, 6.7]"
"(0.699, 2.776]","(8.271, 9.267]"
"(8.856, 9.421]","(9.957, 10.957]"
"(0.699, 2.776]","(9.267, 9.957]"
"(5.0, 5.462]","(12.538, 13.567]"
"(4.7, 5.0]","(11.767, 12.538]"
"(4.7, 5.0]","(11.767, 12.538]"
"(5.462, 6.033]","(8.271, 9.267]"
"(6.033, 6.676]","(16.964, 23.8]"
"(7.243, 7.89]","(11.767, 12.538]"
"(7.243, 7.89]","(9.957, 10.957]"
"(4.7, 5.0]","(10.957, 11.767]"
"(8.856, 9.421]","(11.767, 12.538]"
"(7.243, 7.89]","(8.271, 9.267]"
"(4.4, 4.7]","(9.957, 10.957]"
"(5.462, 6.033]","(10.957, 11.767]"
"(8.856, 9.421]","(12.538, 13.567]"
"(6.033, 6.676]","(6.7, 8.271]"
"(7.89, 8.474]","(12.538, 13.567]"
"(5.462, 6.033]","(12.538, 13.567]"
"(5.462, 6.033]","(14.59, 15.54]"
"(3.614, 4.4]","(9.957, 10.957]"
"(2.776, 3.614]","(6.7, 8.271]"
"(2.776, 3.614]","(0.849, 5.504]"
